"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042110","GO:0042110","T cell activation","19/119","456/15991",1.08230641940281e-09,2.11374443709369e-06,1.89802367865798e-06,"Lck/Il12rb1/Ly9/Tnfsf14/Tnfaip8l2/Cd48/Zap70/Il2ra/Sla2/Cd2/Coro1a/Fgl1/Thy1/Ccr7/Cdkn2a/Cxcr4/Lax1/Tigit/Bcl2a1d",19
"GO:0002694","GO:0002694","regulation of leukocyte activation","18/119","493/15991",2.41637489700785e-08,2.35959008692817e-05,2.11877925179741e-05,"Lck/Il12rb1/Tnfsf14/Tnfaip8l2/Zap70/Il2ra/Bst1/Coro1a/Btk/Fgl1/Slc7a2/Thy1/Ccr7/Milr1/Cdkn2a/Lax1/Cnr2/Tigit",18
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","14/119","311/15991",7.81117067946967e-08,5.08507211233476e-05,4.56610889543736e-05,"Lck/Il12rb1/Tnfsf14/Tnfaip8l2/Zap70/Sell/Il2ra/Coro1a/Fgl1/Thy1/Ccr7/Cdkn2a/Lax1/Tigit",14
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","13/119","281/15991",1.71257455080639e-07,8.15125642734159e-05,7.31937004228371e-05,"Lck/Il12rb1/Tnfsf14/Tnfaip8l2/Zap70/Il2ra/Coro1a/Fgl1/Thy1/Ccr7/Cdkn2a/Lax1/Tigit",13
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","10/119","153/15991",2.08685520413251e-07,8.15125642734159e-05,7.31937004228371e-05,"Lck/Lpxn/Zap70/Btk/Thy1/Ccr7/Rftn1/Klhl6/Lax1/Bcl2a1d",10
"GO:0051249","GO:0051249","regulation of lymphocyte activation","15/119","400/15991",2.80021932836395e-07,9.02377984441504e-05,8.10284702120649e-05,"Lck/Il12rb1/Tnfsf14/Tnfaip8l2/Zap70/Il2ra/Bst1/Coro1a/Btk/Fgl1/Thy1/Ccr7/Cdkn2a/Lax1/Tigit",15
"GO:0050863","GO:0050863","regulation of T cell activation","13/119","297/15991",3.23432969333872e-07,9.02377984441504e-05,8.10284702120649e-05,"Lck/Il12rb1/Tnfsf14/Tnfaip8l2/Zap70/Il2ra/Coro1a/Fgl1/Thy1/Ccr7/Cdkn2a/Lax1/Tigit",13
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","10/119","179/15991",8.91590673915644e-07,0.000203585775641825,0.000182808581787415,"Lck/Lpxn/Zap70/Btk/Thy1/Ccr7/Rftn1/Klhl6/Lax1/Bcl2a1d",10
"GO:0002757","GO:0002757","immune response-activating signal transduction","10/119","180/15991",9.38183297888594e-07,0.000203585775641825,0.000182808581787415,"Lck/Lpxn/Zap70/Btk/Thy1/Ccr7/Rftn1/Klhl6/Lax1/Bcl2a1d",10
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","10/119","189/15991",1.46293016003245e-06,0.000285710260254338,0.000256551752275164,"Lck/Lpxn/Zap70/Btk/Thy1/Ccr7/Rftn1/Klhl6/Lax1/Bcl2a1d",10
"GO:0002764","GO:0002764","immune response-regulating signaling pathway","10/119","192/15991",1.6872739449355e-06,0.000299567819496275,0.00026899506146053,"Lck/Lpxn/Zap70/Btk/Thy1/Ccr7/Rftn1/Klhl6/Lax1/Bcl2a1d",10
"GO:0050778","GO:0050778","positive regulation of immune response","15/119","465/15991",1.85939179406166e-06,0.000302616014483535,0.000271732169202344,"Lck/Il12rb1/Fcgr1/Lpxn/Zap70/Card9/Klrb1c/Btk/Thy1/Ccr7/Rftn1/Klhl6/Ifi209/Lax1/Bcl2a1d",15
"GO:0002253","GO:0002253","activation of immune response","11/119","255/15991",3.1579531388571e-06,0.000474421729245224,0.000426004042861208,"Lck/Lpxn/Zap70/Btk/Thy1/Ccr7/Rftn1/Klhl6/Ifi209/Lax1/Bcl2a1d",11
"GO:0002683","GO:0002683","negative regulation of immune system process","14/119","435/15991",4.32075555237649e-06,0.00060274539955652,0.000541231484981897,"Tnfaip8l2/Lpxn/Il2ra/Btk/Fgl1/Thy1/Milr1/Cdkn2a/Gpr171/Lax1/Pcbp2/Cnr2/Tigit/Klrb1b",14
