"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006820","GO:0006820","anion transport","112/1528","475/15445",7.15843305732472e-19,3.82689831244579e-15,3.03592913557487e-15,"Slc7a7/Slc26a3/Ppard/Psap/Clcn5/Slc1a2/Slc2a9/Slc34a3/Slc5a6/Slc3a2/Ace2/Pltp/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Tnfsf11/Slc7a8/Ank/Slc52a2/Clcn2/Fabp2/Slc10a2/Abcc1/Slc26a6/Clic5/Abcg1/Slc3a1/Abcg8/Slc23a1/Tnf/Nr3c1/Anxa1/Pitpnm1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Cln8/Xpr1/Il1rn/Stk39/Slc52a3/Slc2a2/Slc7a11/Abcd3/Mttp/Clca3a2/Slc2a1/Mfsd2a/Pitpnm2/Slc13a1/Abcg2/Ttyh1/Slc7a9/Slco2b1/Ano1/Abcd1/Slc25a15/Slc25a4/Agt/Slc37a4/Slc37a2/Aqp9/Stra6/Plscr1/Plscr4/Cck/Abcc4/Acsl3/Mif/Slc26a2/Slc51a/Ttyh3/Slc6a20a/Hk1/Clic4/Nmur2/Best1/Atp8a1/Ano2/Slc43a2/Pdzk1/Kmo/Pla2g2d/Tspo/P2ry4/Kcnj10/Slc16a5/Cldn4/P2ry6/Tg/Pla2g4a/Abat/Slc27a4/Atp8b4/Slc4a4/Slc25a3/Ano6/1700057G04Rik/Slc4a11",112
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","110/1528","496/15445",1.73211866616823e-16,4.62995319466769e-13,3.6730032136799e-13,"Hk2/Srr/Ppard/Abhd3/Lipe/Ggt1/Elovl1/Prkag3/Cav1/Acaa1b/Fads1/Acsf3/Aldoc/Alox15/Vnn3/Hkdc1/Tysnd1/Ddit4/Gamt/Pfkl/Acsl6/Fabp6/Ogdh/Aspa/Acox1/Hif1a/Entpd5/Esrrb/Eci3/Acox2/Ephx2/Acod1/Amacr/Cyp2d26/Dgat1/Ehhadh/Gpd1/Fabp2/Cyp1b1/C3/Stard4/Me2/Anxa1/Acsl5/Gk/Jmjd8/Rdh10/Cyp27a1/Kynu/Dhrs9/Gatm/Lpin3/Pck1/Fabp5/Abcd3/Pdpn/Khk/Ppargc1a/Cyp3a13/Tbxas1/Cyp2b10/Idh2/Me3/Aldoa/Fgf15/Pdha1/Abcd1/Erlin2/Hpgd/Ces1f/Agt/Bco2/Slc37a4/Ptgs2/Acsl3/Mif/Tnxb/Fa2h/Akr1c14/Faah/Tkfc/Slc2a6/Acaa2/Hk1/Wdtc1/Pdk2/Cyp7b1/Kyat1/Baat/Kmo/Acot4/Aldh1a1/Phgdh/Rdh9/Pla2g4a/Ces1d/Abat/Adtrp/Slc27a4/Alox5ap/Eno3/Cyp2d22/Cyp2c65/Acnat1/Malrd1/Acsf2/Cyp4v3/Acad11/Cyp4f40/Cyp2d34",110
"GO:0015711","GO:0015711","organic anion transport","89/1528","367/15445",5.18177343191516e-16,9.23392025567281e-13,7.32539128322321e-13,"Slc7a7/Slc26a3/Ppard/Psap/Slc1a2/Slc2a9/Slc5a6/Slc3a2/Ace2/Pltp/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Tnfsf11/Slc7a8/Slc52a2/Fabp2/Slc10a2/Abcc1/Slc26a6/Abcg1/Slc3a1/Abcg8/Slc23a1/Tnf/Nr3c1/Anxa1/Pitpnm1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Cln8/Il1rn/Slc52a3/Slc2a2/Slc7a11/Abcd3/Mttp/Slc2a1/Mfsd2a/Pitpnm2/Slc13a1/Abcg2/Slc7a9/Slco2b1/Abcd1/Slc25a15/Slc25a4/Agt/Slc37a4/Slc37a2/Aqp9/Stra6/Plscr1/Plscr4/Cck/Abcc4/Acsl3/Mif/Slc51a/Slc6a20a/Nmur2/Atp8a1/Slc43a2/Kmo/Pla2g2d/Kcnj10/Slc16a5/Pla2g4a/Abat/Slc27a4/Atp8b4/Slc4a4/Ano6/1700057G04Rik/Slc4a11",89
"GO:0097529","GO:0097529","myeloid leukocyte migration","57/1528","191/15445",8.4566379299777e-15,1.13022965934152e-11,8.96626163681056e-12,"Mmp14/Ccl8/Csf1/Ager/Lbp/Mmp28/Syk/Tnfsf11/Ednrb/Nckap1l/Cxadr/Vegfa/Aif1/Anxa1/Ccl20/Il1rn/Il1f8/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Cd9/Vegfd/Mpp1/Ccl17/Slc37a4/Dapk2/Mif/Vav1/Cxcl10/Ccl7/Ccl2/Serpine1/Ptger4/Trem3/Cmklr1/S100a14/Jaml/Ccr2/Scg2/Plcb1/Cd177/Cx3cr1/Hrh1/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Ano6/Ccl19/Ccl21a",57
"GO:0030595","GO:0030595","leukocyte chemotaxis","58/1528","198/15445",1.22497240330303e-14,1.3097404936116e-11,1.03903448692798e-11,"Ccl8/Csf1/Lbp/Mmp28/Syk/Tnfsf11/Ednrb/Nckap1l/Cxadr/Vegfa/Aif1/Anxa1/Ccl20/Il1rn/Il1f8/Stk39/Pde4b/Csf3r/Padi2/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Vegfd/Mpp1/Ccl17/Slc37a4/Dapk2/Mif/Vav1/Cxcl10/Ccl7/Ccl2/Serpine1/Cyp7b1/Ccr6/Trem3/Cmklr1/S100a14/Jaml/Ccr2/Ch25h/Scg2/Ffar2/Cx3cr1/Hrh1/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Ano6/Ccl19/Ccl21a/2610528A11Rik",58
"GO:0050900","GO:0050900","leukocyte migration","78/1528","319/15445",2.16694594651369e-14,1.9307488383437e-11,1.5316886348252e-11,"Mmp14/Ccl8/Csf1/Ager/Itga2/Eps8/Lbp/Mmp28/Syk/Tnfsf11/Ednrb/Nckap1l/Cxadr/Vegfa/Aif1/Tnf/Anxa1/Capn1/Ccl20/Selp/Il1rn/Il1f8/Stk39/Vcam1/Tlr2/Pde4b/Csf3r/Padi2/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Cd9/Msn/Vegfd/Mpp1/Ccl17/Slc37a4/Dapk2/Mif/Vav1/Plvap/Cxcl10/Ccl7/Ccl2/Fut7/Icam1/Serpine1/Cyp7b1/Ptger4/Ccr6/Bdkrb1/Trem3/Cmklr1/S100a14/Jaml/Ccr2/Ch25h/Scg2/Plcb1/Ffar2/Cd177/Cx3cr1/Hrh1/Slamf8/Nod2/S100a8/S100a9/Adtrp/Cxcl2/Ano6/Ccl19/Nlrp12/Ccl21a/2610528A11Rik",78
"GO:0015849","GO:0015849","organic acid transport","66/1528","260/15445",3.49930710371212e-13,2.67247082520643e-10,2.12010651441446e-10,"Slc7a7/Ppard/Psap/Slc1a2/Slc5a6/Slc3a2/Ace2/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Tnfsf11/Slc7a8/Fabp2/Slc10a2/Abcc1/Slc26a6/Slc3a1/Slc23a1/Tnf/Nr3c1/Anxa1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Cln8/Il1rn/Stk39/Slc7a11/Abcd3/Mfsd2a/Slc13a1/Slc7a9/Slco2b1/Abcd1/Slc25a15/Agt/Aqp9/Stra6/Cck/Abcc4/Acsl3/Mif/Slc51a/Slc6a20a/Nmur2/Slc43a2/Kmo/Pla2g2d/Kcnj10/Slc16a5/Pla2g4a/Abat/Slc27a4",66
"GO:0060326","GO:0060326","cell chemotaxis","68/1528","274/15445",4.87760012984454e-13,3.25945628676862e-10,2.58576985830838e-10,"Ccl8/Csf1/Lbp/Mmp28/Syk/Tnfsf11/Ednrb/Enpp2/Nckap1l/Cxadr/Nr4a1/Abcc1/Vegfa/Aif1/Anxa1/Ccl20/Il1rn/Il1f8/Stk39/Vcam1/Pde4b/Csf3r/Padi2/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Vegfd/Mpp1/Ccl17/Bcar1/Slc37a4/Dapk2/Mif/Vav1/Cxcl10/Ccl7/Ccl2/Fgf1/Serpine1/Lpar1/Cyp7b1/Saa3/Ccr6/Trem3/Cmklr1/S100a14/Jaml/Ccr2/Ch25h/Scg2/Ffar2/Cx3cr1/Hrh1/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Kdr/Ano6/Ccl19/Rhog/Ccl21a/2610528A11Rik",68
"GO:0046942","GO:0046942","carboxylic acid transport","65/1528","257/15445",6.34070033013908e-13,3.76637599610262e-10,2.98791598013221e-10,"Slc7a7/Ppard/Psap/Slc1a2/Slc5a6/Slc3a2/Ace2/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Tnfsf11/Slc7a8/Fabp2/Slc10a2/Abcc1/Slc26a6/Slc3a1/Slc23a1/Tnf/Nr3c1/Anxa1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Cln8/Il1rn/Slc7a11/Abcd3/Mfsd2a/Slc13a1/Slc7a9/Slco2b1/Abcd1/Slc25a15/Agt/Aqp9/Stra6/Cck/Abcc4/Acsl3/Mif/Slc51a/Slc6a20a/Nmur2/Slc43a2/Kmo/Pla2g2d/Kcnj10/Slc16a5/Pla2g4a/Abat/Slc27a4",65
"GO:0071621","GO:0071621","granulocyte chemotaxis","39/1528","113/15445",9.25657889246123e-13,4.94856707590978e-10,3.92576382712909e-10,"Ccl8/Csf1/Lbp/Syk/Nckap1l/Cxadr/Vegfa/Anxa1/Ccl20/Il1rn/Il1f8/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Il17rc/Mpp1/Ccl17/Slc37a4/Dapk2/Vav1/Cxcl10/Ccl7/Ccl2/Trem3/Cmklr1/S100a14/Jaml/Scg2/Hrh1/Nod2/S100a8/S100a9/Cxcl2/Ccl19/Ccl21a",39
