"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","34/164","325/16202",5.67682710101615e-25,1.61278657939869e-21,1.19153613046592e-21,"Itgb2/Tgfb1/Rarres2/Trpm2/Mmp9/Cxcl16/Ccl9/Madcam1/Myo1g/Retnlg/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Il1b/Il1a/Itgam/F7/Rac2/Cd300a/Gpsm3/Sirpa/Prex1/Trem1/Il1f9/Selplg/C5ar1/Fpr2/Cd47/Ptafr/Fcer1g/Fcgr3",34
"GO:0002274","GO:0002274","myeloid leukocyte activation","27/164","206/16202",1.55232516165507e-22,2.20507789213102e-19,1.62912440649485e-19,"Itgb2/Spi1/Tgfb1/Lcp2/Hmox1/Mmp8/Trem2/Slc11a1/Cxcr2/Fgr/Clec4d/Tyrobp/Itgam/Rac2/Crlf2/Batf/Cd300a/C1qa/Cd84/Stx11/Cd300lf/C5ar1/Fpr2/Ptafr/Fcer1g/Pirb/Fcgr3",27
"GO:0006909","GO:0006909","phagocytosis","25/164","197/16202",1.44826368531954e-20,1.3715057099976e-17,1.01327641702707e-17,"Itgb2/Tgfb1/Hck/Cyba/Myo1g/Trem2/Msr1/Slc11a1/Marco/Fcgr2b/Il1b/Fgr/Siglece/Tyrobp/Mfge8/Il2rg/Cd300a/Sirpa/Cd300lf/Pld4/Fpr2/Cd47/Fcer1g/Fcgr3/Ncf4",25
"GO:0097529","GO:0097529","myeloid leukocyte migration","24/164","197/16202",2.37960345947242e-19,1.69011335709029e-16,1.24866560478632e-16,"Itgb2/Rarres2/Ccl9/Retnlg/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Il1b/Il1a/Itgam/Rac2/Cd300a/Sirpa/Prex1/Trem1/Il1f9/C5ar1/Fpr2/Cd47/Fcer1g/Fcgr3",24
"GO:0050764","GO:0050764","regulation of phagocytosis","18/164","99/16202",5.9807586365885e-18,3.39826705730959e-15,2.51065952028578e-15,"Tgfb1/Hck/Cyba/Trem2/Slc11a1/Fcgr2b/Il1b/Fgr/Siglece/Mfge8/Il2rg/Cd300a/Sirpa/Cd300lf/Fpr2/Cd47/Fcer1g/Fcgr3",18
"GO:0030595","GO:0030595","leukocyte chemotaxis","23/164","203/16202",7.31869820066182e-18,3.46540359801337e-15,2.56026038809117e-15,"Itgb2/Rarres2/Trpm2/Cxcl16/Ccl9/Retnlg/Cxcl13/Pla2g7/Adam8/Ccr1/Cxcr2/Il1b/Itgam/F7/Rac2/Gpsm3/Prex1/Trem1/Il1f9/C5ar1/Fpr2/Fcer1g/Fcgr3",23
"GO:0001819","GO:0001819","positive regulation of cytokine production","30/164","434/16202",5.89098709695484e-17,2.39089919177839e-14,1.76641026636511e-14,"Tgfb1/Mmp8/Cyba/Cybb/Clec4n/Trem2/Csf1r/Adam8/Slc11a1/Il1b/Il1a/Fgr/Clec5a/Clec4e/Tyrobp/Crlf2/Gpsm3/Cd84/Il1f9/Cd300c2/C5ar1/Mmp12/Mapk11/Ifi205/Cebpb/Ptafr/Fcer1g/Fcgr3/Lilra5/Mndal",30
"GO:0060326","GO:0060326","cell chemotaxis","25/164","282/16202",9.13496627483463e-17,3.24405489835065e-14,2.3967266778974e-14,"Itgb2/Rarres2/Trpm2/Cxcl16/Ccl9/Retnlg/Cxcl13/Pla2g7/Lox/Adam8/Ccr1/Cxcr2/Il1b/Itgam/F7/Rac2/Gpsm3/Prex1/Trem1/Il1f9/C5ar1/Fpr2/Fcer1g/Fcgr3/Arrb2",25
"GO:0002443","GO:0002443","leukocyte mediated immunity","27/164","345/16202",1.14003458824567e-16,3.59870918356218e-14,2.65874733211915e-14,"Itgb2/Tgfb1/Hmox1/Ncf1/Vsir/Myo1g/Slc11a1/Fcgr2b/Il1b/Fgr/Tyrobp/Itgam/Rac2/Crlf2/Batf/Cd300a/C1qa/C1qc/C1qb/Cd84/Stx11/Trem1/Ptafr/Fcer1g/Pirb/Fcgr3/Arrb2",27
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","18/164","138/16202",2.74580269677903e-15,7.80082546154923e-13,5.76329534460778e-13,"Tgfb1/Rarres2/Mmp9/Madcam1/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Il1b/Il1a/F7/Rac2/Gpsm3/C5ar1/Fpr2/Ptafr",18
"GO:0097530","GO:0097530","granulocyte migration","18/164","139/16202",3.12720310655878e-15,8.07671275066681e-13,5.96712248275426e-13,"Itgb2/Rarres2/Ccl9/Cxcl13/Adam8/Cxcr2/Il1b/Il1a/Itgam/Rac2/Cd300a/Sirpa/Prex1/Trem1/Il1f9/C5ar1/Fcer1g/Fcgr3",18
"GO:0002685","GO:0002685","regulation of leukocyte migration","19/164","194/16202",9.3264996517754e-14,2.20804879255783e-11,1.63131932505615e-11,"Tgfb1/Rarres2/Mmp9/Madcam1/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Il1b/Il1a/F7/Rac2/Cd300a/Gpsm3/C5ar1/Fpr2/Ptafr",19
"GO:0002694","GO:0002694","regulation of leukocyte activation","28/164","499/16202",1.36818095553938e-13,2.99000161129798e-11,2.20903062781014e-11,"Itgb2/Tgfb1/Hmox1/Mmp8/Vsir/Samsn1/Cd86/Trem2/Adam8/Fcgr2b/Il1b/Fgr/Gpnmb/Clec4d/Tyrobp/Itgam/Il2rg/Rac2/Crlf2/Cd300a/Sirpa/Cd84/Cd300lf/Cd47/Cebpb/Ptafr/Fcer1g/Slfn1",28
"GO:0050766","GO:0050766","positive regulation of phagocytosis","13/164","70/16202",2.08751594370247e-13,4.23616628289908e-11,3.12970435469377e-11,"Cyba/Trem2/Slc11a1/Fcgr2b/Il1b/Mfge8/Il2rg/Sirpa/Cd300lf/Fpr2/Cd47/Fcer1g/Fcgr3",13
"GO:1990266","GO:1990266","neutrophil migration","15/164","113/16202",4.82718709548518e-13,8.92790656322145e-11,6.59598943554477e-11,"Itgb2/Ccl9/Cxcl13/Adam8/Cxcr2/Il1b/Il1a/Itgam/Rac2/Prex1/Trem1/Il1f9/C5ar1/Fcer1g/Fcgr3",15
"GO:0002444","GO:0002444","myeloid leukocyte mediated immunity","14/164","93/16202",5.02803607925178e-13,8.92790656322145e-11,6.59598943554477e-11,"Itgb2/Hmox1/Ncf1/Fgr/Tyrobp/Itgam/Rac2/Cd300a/Cd84/Stx11/Trem1/Ptafr/Fcer1g/Fcgr3",14
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","17/164","162/16202",6.45354663259036e-13,1.0785015284229e-10,7.968032189093e-11,"Mmp8/Cyba/Cybb/Vsir/Trem2/Adam8/Gpnmb/Clec4a2/Tyrobp/Sirpa/Cd84/Cd47/Ptafr/Fcer1g/Fcgr3/Arrb2/Lilra5",17
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","17/164","166/16202",9.64433857615299e-13,1.52219810526948e-10,1.12460883747655e-10,"Mmp8/Cyba/Cybb/Vsir/Trem2/Adam8/Gpnmb/Clec4a2/Tyrobp/Sirpa/Cd84/Cd47/Ptafr/Fcer1g/Fcgr3/Arrb2/Lilra5",17
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","24/164","386/16202",1.02697788674936e-12,1.53560219802892e-10,1.13451185937852e-10,"Tgfb1/Mmp8/Cyba/Rarres2/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Il1b/F7/Rac2/Gpsm3/C5ar1/Mmp12/Fpr2/Ifi205/Cd47/Cebpb/Fcer1g/Fcgr3/Lilra5/Mndal",24
"GO:0050663","GO:0050663","cytokine secretion","19/164","235/16202",2.94738592057181e-12,4.18676170017226e-10,3.09320396085273e-10,"Lcp2/Mmp8/Srgn/Clec4n/Csf1r/Il1r2/Il1b/Il1a/Fgr/Tnfrsf9/Clec5a/Clec4e/Crlf2/Cd84/Trem1/Cd300c2/Mmp12/Mapk11/Lilra5",19
"GO:0006911","GO:0006911","phagocytosis, engulfment","11/164","53/16202",4.30586089778769e-12,5.82521467172135e-10,4.30370257152314e-10,"Itgb2/Trem2/Msr1/Marco/Fcgr2b/Siglece/Mfge8/Cd300a/Sirpa/Fcer1g/Fcgr3",11
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","21/164","307/16202",4.9533457976338e-12,6.39657064139892e-10,4.72582369401043e-10,"Spi1/Ccl9/Cxcl13/Trem2/Csf1r/Ifitm1/Ccr1/Il1r2/Cxcr2/Il1b/Il1a/Irf5/Il2rg/Crlf2/Il1f9/Cd300lf/Mmp12/Fcer1g/Pirb/Csf2rb/Csf2rb2",21
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","16/164","160/16202",6.70333642640106e-12,8.28007773365452e-10,6.11736971818934e-10,"Mmp8/Cyba/Cybb/Vsir/Trem2/Gpnmb/Clec4a2/Tyrobp/Sirpa/Cd84/Cd47/Ptafr/Fcer1g/Fcgr3/Arrb2/Lilra5",16
"GO:0002250","GO:0002250","adaptive immune response","23/164","387/16202",8.01851387479051e-12,9.49191579928326e-10,7.01268274839135e-10,"Tgfb1/Vsir/Myo1g/Samsn1/Cd86/Clec4n/Nfkb2/Slc11a1/Fcgr2b/Il1b/Clec4d/Clec4a2/Crlf2/Batf/C1qa/C1qc/C1qb/Cd84/Stx11/Serpina3g/Fcer1g/Pirb/Fcgr3",23
