"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045177","GO:0045177","apical part of cell","92/1549","379/15743",1.10618846971818e-16,3.16310217269197e-14,2.84782863822469e-14,"Slc26a3/Srr/Tcirg1/Clcn5/Aqp1/Cd44/Slc2a9/Slc34a3/Cav1/Slc5a1/Ager/Slc22a5/Dpep1/Egfr/Slc9a3r1/Slc46a1/Numb/Amn/Ctsl/Slc6a19/Slc6a18/Upk3a/Cldn1/Fabp2/Slc10a2/Slc26a6/Abcg8/Slc23a1/Anxa1/Slc1a1/Slc6a20b/Myo1a/Ifitm3/Cdhr5/Slco3a1/Cd55/Atp1b1/Cubn/Itga8/Stk39/Duoxa2/Slc2a2/Pld1/Gpsm2/Vcam1/Enpep/Epb41l4b/Dab1/Pdpn/Svbp/Slc2a1/Abcb1b/Slc2a5/Prkcz/Prom1/Abcg2/Cd9/Slc7a9/Slco2b1/Ano1/Msn/Pdzd3/C2cd2l/Atp1a1/Kcnk1/Slc26a2/Cdhr2/Dpp4/Reep6/Slc6a20a/Clic4/Kcnk2/Pdzk1/Snx10/Atp6v0a4/Il18/Abcg5/S100g/Muc1/Pkhd1/P2ry4/Kcnj10/Bst2/Cldn4/P2ry6/Ezr/Naaladl1/Itpk1/Slc39a4/Duox2/Reg3b/Muc4",92
"GO:0005903","GO:0005903","brush border","48/1549","131/15743",1.15864548450255e-16,3.16310217269197e-14,2.84782863822469e-14,"Slc26a3/Rgs19/Scin/Aqp1/Slc34a3/Slc5a6/Slc5a1/Ace2/Eps8/Slc22a5/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Slc3a1/Slc23a1/Slc6a20b/Myo1a/Cdhr5/Slc15a1/Vil1/Lct/Cubn/Slc2a2/Slc7a11/Sis/Mme/Enpep/Mttp/Aqp7/Dab1/Prom1/Slc7a9/Treh/Pdzd3/Kcnk1/Cdhr2/Itln1/Pdzk1/Atp6v0a4/Anpep/Pls1/Ezr/Slc27a4",48
"GO:0031526","GO:0031526","brush border membrane","32/1549","71/15743",1.53000807416926e-14,2.78461469498805e-12,2.50706586188436e-12,"Slc26a3/Aqp1/Slc34a3/Slc5a6/Slc5a1/Ace2/Slc22a5/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Slc3a1/Slc6a20b/Cdhr5/Cubn/Slc2a2/Slc7a11/Enpep/Mttp/Aqp7/Slc7a9/Kcnk1/Cdhr2/Itln1/Pdzk1/Atp6v0a4/Anpep/Slc27a4",32
"GO:0016324","GO:0016324","apical plasma membrane","72/1549","284/15743",2.4028280364732e-14,3.27986026978591e-12,2.95294919219206e-12,"Slc26a3/Tcirg1/Aqp1/Cd44/Slc2a9/Slc34a3/Cav1/Slc5a1/Ager/Slc22a5/Egfr/Slc9a3r1/Slc46a1/Amn/Slc6a19/Slc6a18/Upk3a/Cldn1/Slc10a2/Slc26a6/Abcg8/Slc23a1/Anxa1/Slc1a1/Slc6a20b/Myo1a/Cdhr5/Slco3a1/Cd55/Atp1b1/Cubn/Stk39/Slc2a2/Pld1/Enpep/Pdpn/Slc2a1/Abcb1b/Slc2a5/Prkcz/Prom1/Abcg2/Cd9/Slc7a9/Slco2b1/Ano1/Msn/C2cd2l/Atp1a1/Kcnk1/Slc26a2/Cdhr2/Dpp4/Slc6a20a/Kcnk2/Pdzk1/Atp6v0a4/Il18/Abcg5/S100g/Muc1/Pkhd1/P2ry4/Kcnj10/Bst2/Cldn4/P2ry6/Ezr/Naaladl1/Itpk1/Slc39a4/Muc4",72
"GO:0098862","GO:0098862","cluster of actin-based cell projections","53/1549","180/15743",1.09881481602482e-13,1.1999057790991e-11,1.08030846122861e-11,"Slc26a3/Rgs19/Scin/Calb2/Aqp1/Slc34a3/Slc5a6/Slc5a1/Ace2/Eps8/Slc22a5/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Twf2/Clic5/Slc3a1/Slc23a1/Slc6a20b/Myo1a/Cdhr5/Slc15a1/Vil1/Lct/Cubn/Slc2a2/Slc7a11/Sis/Mme/Enpep/Mttp/Aqp7/Dab1/Prom1/Ocm/Slc7a9/Bbs2/Treh/Pdzd3/Kcnk1/Cdhr2/Itln1/Pdzk1/Atp6v0a4/Anpep/Pls1/Ezr/Slc27a4",53
"GO:0016323","GO:0016323","basolateral plasma membrane","52/1549","202/15743",5.31986211966653e-11,4.84107452889655e-09,4.35855370155135e-09,"Aqp1/Cd44/Slc2a9/Cav1/Lpo/Ager/Slc22a5/Egfr/Ace/Numb/Nkd2/Erbin/Cldn1/Cxadr/Abcc1/Slc26a6/Slc23a1/Myo1a/Slco3a1/Atp1b1/Stk39/Slc2a2/Mttp/Cdh17/Aqp3/Pdpn/Slc2a1/Stx2/Slco2b1/Msn/Heph/Hpgd/Aqp9/Abcc4/Atp1a1/Slc51a/Cnnm4/Best1/Nod1/Slc39a5/S100g/P2ry4/Kcnj10/Cldn4/P2ry6/Cldn8/Ezr/Nod2/Slc4a4/Ank3/Synj2bp/Rhbg",52
"GO:0031253","GO:0031253","cell projection membrane","58/1549","273/15743",1.18541878081174e-08,9.24626649033157e-07,8.32467023517417e-07,"Itga5/Slc26a3/Aqp1/Cd44/Slc1a2/Slc34a3/Slc5a6/Slc5a1/Ace2/Plekho1/Eps8/Slc22a5/Adora2a/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Slc3a1/Aif1/Slc6a20b/Cdhr5/Cubn/Itga8/Psd4/Itgav/Slc2a2/Slc7a11/Enpep/Mttp/Aqp7/Pdpn/Prom1/Fscn1/Ttyh1/Psd3/Slc7a9/Msn/Nox1/Phlpp2/Kcnk1/Slc26a2/Cdhr2/Dpp4/Itln1/Pdzk1/Atp6v0a4/Anpep/Gpr157/Fzd9/Ezr/Scimp/Slc27a4/Syne2/Muc4",58
"GO:0031012","GO:0031012","extracellular matrix","77/1549","414/15743",2.68508268923098e-08,1.83256893540014e-06,1.64991265246167e-06,"Mmp14/Timp1/Cstb/Fbln1/Ctsd/Gfod2/Adamtsl4/Ctsz/Dcn/Ntn4/Timp3/Ntn1/Coch/Ctsl/Col14a1/Serping1/Mmp25/Vegfa/Lama3/Anxa1/Clec3b/Col5a2/Il1rl1/Lamc2/Lamb3/Prg2/Anxa5/S100a11/Mmp23/Dmp1/Sparcl1/Anxa3/Col1a2/Pcsk6/Bgn/Sfrp1/Mmp2/Mmp15/Crispld2/Plscr1/Lama1/Wnt6/Tnxb/Fam20b/Scara3/Hpse/Tgfbi/Adamtsl2/Igfbp7/Lum/Fgf1/Serpine1/Spon1/Itln1/Olfml2b/Npnt/Lad1/Lman1/Vwa1/Cilp/Mfap4/Muc1/Serpinb1a/Serpinb9/Igf2/Phospho1/Col8a2/Col13a1/Col23a1/Tnfrsf11b/Serpinh1/Reg3b/Ang/Sod3/Col22a1/Muc4/Col6a5",77
"GO:0005902","GO:0005902","microvillus","26/1549","83/15743",5.00576476396234e-08,3.03683062347049e-06,2.7341428593806e-06,"Cd44/Slc9a3r1/Ctsl/Iqgap2/Fabp2/Slc10a2/Myo1a/Cdhr5/Vil1/Itgav/Vcam1/Mttp/Pdpn/Prom1/Fscn1/Msn/Bbs2/Slc26a2/Cdhr2/Clic4/Pdzk1/Kcnj10/Ezr/Slc27a4/Lyz1/Muc4",26
"GO:0009897","GO:0009897","external side of plasma membrane","69/1549","367/15743",9.21686000098145e-08,5.03240556053587e-06,4.53081433732457e-06,"Itga5/Ebi3/Adgre1/Cd44/Prlr/Ager/Itga2/H2-M2/Pdcd1lg2/Slc2a4/Enpp3/Ace/Ctsl/Gfra2/Abcg1/Tnf/Anxa1/Il1rl1/Ptprc/Cd55/Capn2/Selp/Itgav/Prnd/Anxa5/Vcam1/Tlr2/Enpep/Rorc/Pdpn/Csf3r/Tnfrsf4/Cxcl9/Cd9/Itgax/Itgal/Ano1/Il13ra2/Cxcl10/H2-Q4/Icam1/Slamf7/Sema7a/Tlr4/Anpep/Tlr8/Dlk1/Ccr6/Flt3/Ccr2/Tmem123/Cd14/Cx3cr1/H2-T24/H2-Q7/Btnl1/Kdr/Cd59b/Ccl19/Gm8909/H2-Bl/H2-Q6/Ly6c1/Alpi/H2-T10/Gm11127/H2-Q1/Cd200r2/Btnl6",69
