"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043020","GO:0043020","NADPH oxidase complex","4/169","11/16533",3.28799520777196e-06,0.000474590468975928,0.000422315989756116,"Cyba/Cybb/Ncf1/Ncf4",4
"GO:0034362","GO:0034362","low-density lipoprotein particle","4/169","12/16533",4.89268524717452e-06,0.000474590468975928,0.000422315989756116,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:0005764","GO:0005764","lysosome","15/169","404/16533",1.75746502962901e-05,0.000877376538202238,0.000780736583099116,"Gm2a/Napsa/Apoe/Hck/Trpm2/Cd68/Dram1/Srgn/Slc15a3/Adam8/Slc11a1/Cxcr2/Il1b/Atp6v0d2/Laptm5",15
"GO:0000323","GO:0000323","lytic vacuole","15/169","405/16533",1.80902379010771e-05,0.000877376538202238,0.000780736583099116,"Gm2a/Napsa/Apoe/Hck/Trpm2/Cd68/Dram1/Srgn/Slc15a3/Adam8/Slc11a1/Cxcr2/Il1b/Atp6v0d2/Laptm5",15
"GO:0009897","GO:0009897","external side of plasma membrane","14/169","384/16533",4.12402941092934e-05,0.00160012341144058,0.00142387541766824,"Apoe/Vsir/Cd86/Ccr1/Cxcr2/Fcgr2b/Tnfrsf9/Siglece/Mfge8/Itgam/Il2rg/Crlf2/Fcer1g/Fcgr3",14
"GO:0005581","GO:0005581","collagen trimer","6/169","76/16533",0.000126302917555139,0.00408379433428284,0.00363397868053384,"Lox/Msr1/Marco/C1qa/C1qc/C1qb",6
"GO:0005773","GO:0005773","vacuole","15/169","489/16533",0.000152426000475329,0.00422437772745911,0.00375907730495547,"Gm2a/Napsa/Apoe/Hck/Trpm2/Cd68/Dram1/Srgn/Slc15a3/Adam8/Slc11a1/Cxcr2/Il1b/Atp6v0d2/Laptm5",15
"GO:0005623","GO:0005623","cell","5/169","52/16533",0.000185388368994744,0.00449566794812255,0.00400048585725501,"Cd68/Tyrobp/C1qa/C1qc/C1qb",5
"GO:0034358","GO:0034358","plasma lipoprotein particle","4/169","30/16533",0.000234635942114148,0.00455193727701447,0.00405055731649686,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:1990777","GO:1990777","lipoprotein particle","4/169","30/16533",0.000234635942114148,0.00455193727701447,0.00405055731649686,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:0045335","GO:0045335","phagocytic vesicle","6/169","89/16533",0.000300991124570977,0.00489885896212853,0.00435926679212739,"Cybb/Adam8/Slc11a1/Stx11/Mpeg1/Pld4",6
"GO:0032994","GO:0032994","protein-lipid complex","4/169","32/16533",0.000303022203843002,0.00489885896212853,0.00435926679212739,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:0044853","GO:0044853","plasma membrane raft","6/169","121/16533",0.00152290870479243,0.0227264837484408,0.0202232411000776,"Itgb2/Lcp2/Hck/Hmox1/Itgam/Selplg",6
"GO:0031012","GO:0031012","extracellular matrix","12/169","441/16533",0.00195538081803868,0.0253841118114139,0.0225881407328914,"Ltbp2/Tgfb1/Apoe/Mmp8/Rarres2/Podnl1/Mmp9/Lox/Mfge8/Mmp3/Mmp10/Mmp12",12
"GO:0030139","GO:0030139","endocytic vesicle","7/169","172/16533",0.00196268905758355,0.0253841118114139,0.0225881407328914,"Cybb/Adam8/Slc11a1/Stx11/Mpeg1/Pld4/Arrb2",7
