"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008509","GO:0008509","anion transmembrane transporter activity","67/1528","251/15355",2.24563386821464e-14,1.85367168531601e-11,1.46342501472316e-11,"Slc7a7/Slc26a3/Clcn5/Slc1a2/Slc2a9/Slc3a2/Slc6a8/Slc16a10/Slc17a8/Slc7a15/Slc46a1/Slc6a4/Sfxn1/Slc6a19/Slc6a18/Slc7a8/Ank/Slc52a2/Clcn2/Slc10a2/Abcc1/Slc26a6/Slc22a3/Clic5/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slco3a1/Slc25a10/Xpr1/Slc52a3/Slc2a2/Slc7a11/Clca3a2/Slc2a1/Mfsd2a/Slc13a1/Slc6a12/Ttyh1/Slc7a9/Slco2b1/Ano1/Abcd1/Slc25a15/Slc25a4/Slc37a4/Slc37a2/Abcc4/Slc26a2/Slc51a/Ttyh3/Slc6a20a/Clca3b/Clic4/Nmur2/Best1/Ano2/Slc43a2/Slc5a12/Slc16a5/Slc25a23/Cldn4/Slc9a6/Slc4a4/Ano6/Slc4a11",67
"GO:0022804","GO:0022804","active transmembrane transporter activity","74/1528","296/15355",4.0297210550348e-14,1.85367168531601e-11,1.46342501472316e-11,"Slc13a2/Slc26a3/Tcirg1/Clcn5/Slc1a2/Letm1/Slc34a3/Slc5a6/Slc47a1/Slc5a1/Slc2a4/Slc22a5/Slc6a8/Slc16a10/Slc17a8/Slc5a4b/Slc5a4a/Abca8b/Slc6a4/Slc6a19/Slc6a18/Ank/Slc10a2/Abcc1/Slc26a6/Slc22a3/Abcg1/Abcg8/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slc15a1/Slco3a1/Slc25a10/Atp1b1/Anxa5/Abcd3/Cdh17/Mfsd2a/Abcb1b/Abcg3/Slc13a1/Abcg2/Slc6a12/Slco2b1/Slc5a11/Abcd1/Slc25a4/Abcb10/Slc37a4/Slc37a2/Abcc4/Atp1a1/Slc26a2/Slc2a6/Slc6a20a/Slc2a12/Atp6v0a2/Atp6v0a4/Atp6v0e2/Abcg5/Slc5a12/Abca8a/Slc35e2/Slc16a5/Slc29a4/Slc10a5/Slc35e3/Slc9a6/Slc4a4/Slc25a3/COX3/Slc4a11",74
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","48/1528","162/15355",1.84660660998247e-12,5.66292693727957e-10,4.47073179258913e-10,"Slc7a7/Slc26a3/Slc1a2/Slc2a9/Slc3a2/Slc6a8/Slc16a10/Slc17a8/Slc7a15/Slc46a1/Sfxn1/Slc6a19/Slc6a18/Slc7a8/Slc52a2/Slc10a2/Abcc1/Slc26a6/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slco3a1/Slc25a10/Slc52a3/Slc2a2/Slc7a11/Slc2a1/Mfsd2a/Slc13a1/Slc6a12/Slc7a9/Slco2b1/Abcd1/Slc25a15/Slc25a4/Slc37a4/Slc37a2/Abcc4/Slc26a2/Slc51a/Slc6a20a/Slc43a2/Slc5a12/Slc16a5/Slc25a23/Slc4a4/Slc4a11",48
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","52/1528","199/15355",4.38761258581032e-11,1.00915089473637e-08,7.96698074791873e-09,"Slc13a2/Slc26a3/Clcn5/Slc1a2/Letm1/Slc34a3/Slc5a6/Slc47a1/Slc5a1/Slc2a4/Slc22a5/Slc6a8/Slc16a10/Slc17a8/Slc5a4b/Slc5a4a/Slc6a4/Slc6a19/Slc6a18/Ank/Slc10a2/Slc26a6/Slc22a3/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slc15a1/Slco3a1/Slc25a10/Cdh17/Mfsd2a/Slc13a1/Slc6a12/Slco2b1/Slc5a11/Slc25a4/Slc37a4/Slc37a2/Slc26a2/Slc2a6/Slc6a20a/Slc2a12/Slc5a12/Slc35e2/Slc16a5/Slc10a5/Slc35e3/Slc9a6/Slc4a4/Slc25a3/Slc4a11",52
"GO:0015144","GO:0015144","carbohydrate transmembrane transporter activity","18/1528","34/15355",3.85923810299111e-10,7.10099810950364e-08,5.60605113908182e-08,"Aqp1/Slc2a9/Slc5a1/Slc2a4/Slc5a4b/Slc5a4a/Slc23a1/Slc2a2/Aqp7/Aqp3/Slc2a1/Slc2a5/Slc5a11/Aqp9/Slc2a6/Slc2a12/Mfsd4b2/Mfsd4b3-ps",18
"GO:0005342","GO:0005342","organic acid transmembrane transporter activity","34/1528","119/15355",8.74398996498142e-09,1.14921010968327e-06,9.07271139223636e-07,"Slc7a7/Slc26a3/Slc1a2/Slc3a2/Slc6a8/Slc16a10/Slc17a8/Slc7a15/Slc46a1/Sfxn1/Slc6a19/Slc6a18/Slc7a8/Slc10a2/Slc26a6/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slc25a10/Slc7a11/Mfsd2a/Slc13a1/Slc6a12/Slc7a9/Slco2b1/Slc25a15/Abcc4/Slc26a2/Slc51a/Slc6a20a/Slc43a2/Slc5a12/Slc16a5",34
"GO:0046943","GO:0046943","carboxylic acid transmembrane transporter activity","34/1528","119/15355",8.74398996498142e-09,1.14921010968327e-06,9.07271139223636e-07,"Slc7a7/Slc26a3/Slc1a2/Slc3a2/Slc6a8/Slc16a10/Slc17a8/Slc7a15/Slc46a1/Sfxn1/Slc6a19/Slc6a18/Slc7a8/Slc10a2/Slc26a6/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slc25a10/Slc7a11/Mfsd2a/Slc13a1/Slc6a12/Slc7a9/Slco2b1/Slc25a15/Abcc4/Slc26a2/Slc51a/Slc6a20a/Slc43a2/Slc5a12/Slc16a5",34
"GO:0061134","GO:0061134","peptidase regulator activity","42/1528","168/15355",1.32135961337519e-08,1.51956355538147e-06,1.19965543845906e-06,"Wfdc18/Timp1/Cstb/Fbln1/Cav1/Slpi/Dpep1/Timp3/Serpina3n/Cast/Serping1/Mmp25/C3/Spink1/Xiap/Vil1/Serpinb8/Spint1/Bcl10/Tfpi2/Pcolce/Agt/Birc3/Ctsh/Serpine1/Serpina12/Wfikkn2/Serpinb1a/Serpinb9/Bst2/Serpinb1b/Serpina10/Tnfaip8/Tank/Serpina3f/Serpinb5/Cst7/Wfdc17/Serpinh1/Naip6/R3hdml/Serpina1c",42
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","45/1528","188/15355",1.70615092833433e-08,1.60782210257325e-06,1.26933323887362e-06,"Slc26a3/Tcirg1/Clcn5/Slc1a2/Letm1/Slc34a3/Slc5a6/Slc5a1/Slc2a4/Slc6a8/Slc5a4b/Slc5a4a/Slc6a4/Slc6a19/Slc6a18/Slc10a2/Slc26a6/Slc22a3/Slc23a1/Slc1a1/Slc6a20b/Slc15a1/Slco3a1/Atp1b1/Anxa5/Mfsd2a/Slc13a1/Slc6a12/Slco2b1/Slc5a11/Abcd1/Slc25a4/Slc37a4/Slc37a2/Atp1a1/Slc26a2/Slc2a6/Slc6a20a/Slc2a12/Atp6v0a2/Atp6v0a4/Atp6v0e2/Slc9a6/Slc4a4/Slc4a11",45
"GO:0005319","GO:0005319","lipid transporter activity","34/1528","122/15355",1.74763272018832e-08,1.60782210257325e-06,1.26933323887362e-06,"Plekha8/Pltp/Abca8b/Npc2/Fabp2/Slc10a2/Abcc1/Abcg1/Abcg8/Stard4/Pitpnm1/Rbp4/Abcd3/Mttp/Mfsd2a/Abcb1b/Pitpnm2/Slco2b1/Abcd1/C2cd2l/Stra6/Plscr1/Plscr4/Abcc4/Slc51a/Gramd1c/Gramd1b/Abcg5/Abca8a/Osbpl6/Stard5/Slc27a4/Ano6/1700057G04Rik",34
