"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001540","GO:0001540","amyloid-beta binding","9/156","58/16106",4.22583346181522e-09,1.2046680382743e-06,9.04051059770851e-07,"Itgb2/Apoe/Trem2/Msr1/Marco/Fcgr2b/Atp1a3/Fpr2/Pirb",9
"GO:0140375","GO:0140375","immune receptor activity","11/156","108/16106",7.60042926356026e-09,1.2046680382743e-06,9.04051059770851e-07,"Ccr1/Il1r2/Cxcr2/Fcgr2b/Il2rg/Crlf2/C5ar1/Fcer1g/Fcgr3/Csf2rb/Csf2rb2",11
"GO:0004896","GO:0004896","cytokine receptor activity","7/156","91/16106",2.86256005976491e-05,0.00302477179648492,0.00226995990704165,"Ccr1/Il1r2/Cxcr2/Il2rg/Crlf2/Csf2rb/Csf2rb2",7
"GO:0038024","GO:0038024","cargo receptor activity","6/156","72/16106",6.91569443678654e-05,0.00548068784115333,0.00411301827029936,"Itgb2/Cxcl16/Msr1/Marco/Apobr/Fpr2",6
"GO:0045309","GO:0045309","protein phosphorylated amino acid binding","5/156","54/16106",0.00017243597919127,0.00757236843641984,0.00568273374275572,"Hck/Samsn1/Fgr/Sirpa/Sh3bp2",5
"GO:0050664","GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor","3/156","12/16106",0.000183913287632187,0.00757236843641984,0.00568273374275572,"Cyba/Cybb/Ncf1",3
"GO:0005178","GO:0005178","integrin binding","7/156","124/16106",0.000204038284556317,0.00757236843641984,0.00568273374275572,"Itgb2/Madcam1/Fermt3/Adam8/Il1b/Gpnmb/Mfge8",7
"GO:0019955","GO:0019955","cytokine binding","7/156","125/16106",0.000214409822070201,0.00757236843641984,0.00568273374275572,"Csf1r/Ccr1/Il1r2/Cxcr2/Tnfrsf9/Il2rg/Crlf2",7
"GO:0005125","GO:0005125","cytokine activity","8/156","167/16106",0.000223250866999846,0.00757236843641984,0.00568273374275572,"Tgfb1/Cxcl16/Ccl9/Cxcl13/Il1b/Il1a/Crlf2/Il1f9",8
"GO:0004222","GO:0004222","metalloendopeptidase activity","6/156","90/16106",0.000238875975912298,0.00757236843641984,0.00568273374275572,"Mmp8/Mmp9/Adam8/Mmp3/Mmp10/Mmp12",6
"GO:0043394","GO:0043394","proteoglycan binding","4/156","35/16106",0.000350944442726736,0.0101135807585796,0.00758980325897056,"Apoe/Gpnmb/Itgam/Atp1a3",4
"GO:0098631","GO:0098631","cell adhesion mediator activity","4/156","38/16106",0.000483719933183672,0.0127782682349353,0.00958953551750086,"Madcam1/Emb/Sirpa/Cd47",4
"GO:0005149","GO:0005149","interleukin-1 receptor binding","3/156","17/16106",0.000548585495332029,0.0133169271199593,0.00999377562381143,"Il1b/Il1a/Il1f9",3
"GO:0005543","GO:0005543","phospholipid binding","12/156","405/16106",0.00058812927343669,0.0133169271199593,0.00999377562381143,"Apoe/Ncf1/Plek/Myo1g/Pla2g7/Trem2/Mfge8/Cd300a/Prex1/Cd300lf/Ptafr/Ncf4",12
"GO:0043395","GO:0043395","heparan sulfate proteoglycan binding","3/156","18/16106",0.000653640071803489,0.0138135935174471,0.0103665021914097,"Apoe/Itgam/Atp1a3",3
"GO:0001784","GO:0001784","phosphotyrosine residue binding","4/156","42/16106",0.000711797702758292,0.0141024919858987,0.0105833079489062,"Hck/Samsn1/Fgr/Sh3bp2",4
"GO:0019865","GO:0019865","immunoglobulin binding","3/156","20/16106",0.000900292628929175,0.0167878096100323,0.0125985222376467,"Fcgr2b/Fcer1g/Fcgr3",3
"GO:0008237","GO:0008237","metallopeptidase activity","7/156","162/16106",0.00101770414480395,0.0179229007723806,0.0134503588728475,"Mmp8/Mmp9/Adam8/Mmp3/Mmp10/Mmp12/Dpep2",7
"GO:0042277","GO:0042277","peptide binding","9/156","271/16106",0.00131380524264877,0.0219198032589294,0.0164498606558793,"Itgb2/Apoe/Trem2/Msr1/Marco/Fcgr2b/Atp1a3/Fpr2/Pirb",9
"GO:0033218","GO:0033218","amide binding","10/156","335/16106",0.00159352724932649,0.0252574069018249,0.0189545872814625,"Itgb2/Apoe/Trem2/Msr1/Marco/Fcgr2b/Atp1a3/Cd300lf/Fpr2/Pirb",10
"GO:0050839","GO:0050839","cell adhesion molecule binding","8/156","232/16106",0.00191922220871593,0.0259910863305902,0.0195051818386631,"Itgb2/Fxyd5/Madcam1/Fermt3/Adam8/Il1b/Gpnmb/Mfge8",8
"GO:0043325","GO:0043325","phosphatidylinositol-3,4-bisphosphate binding","3/156","26/16106",0.00196777940673238,0.0259910863305902,0.0195051818386631,"Ncf1/Plek/Myo1g",3
"GO:0071813","GO:0071813","lipoprotein particle binding","3/156","26/16106",0.00196777940673238,0.0259910863305902,0.0195051818386631,"Apoe/Trem2/Msr1",3
"GO:0071814","GO:0071814","protein-lipid complex binding","3/156","26/16106",0.00196777940673238,0.0259910863305902,0.0195051818386631,"Apoe/Trem2/Msr1",3
"GO:0019838","GO:0019838","growth factor binding","6/156","141/16106",0.00251229566367277,0.0318559090153707,0.0239064766311598,"Ltbp2/Cxcl13/Il1r2/Il2rg/Crlf2/Klb",6
"GO:0098632","GO:0098632","cell-cell adhesion mediator activity","3/156","29/16106",0.00270740071596788,0.0330094625754545,0.024772168494281,"Emb/Sirpa/Cd47",3
"GO:0051219","GO:0051219","phosphoprotein binding","5/156","100/16106",0.00287531585014476,0.0337583379442922,0.0253341669447453,"Hck/Samsn1/Fgr/Sirpa/Sh3bp2",5
"GO:0061134","GO:0061134","peptidase regulator activity","7/156","197/16106",0.00309710807519218,0.0350636878512829,0.026313775375693,"Vsir/Renbp/Serpina3g/Serpinb6b/Wfdc21/Stfa2l1/Cstdc4",7
"GO:0030246","GO:0030246","carbohydrate binding","8/156","254/16106",0.00335267887736688,0.0366482484181138,0.0275029192843889,"Clec4n/Hk3/Clec5a/Clec4e/Clec4d/Clec4a2/Siglece/Chil3",8
"GO:0048018","GO:0048018","receptor ligand activity","10/156","374/16106",0.00353301768486887,0.0373322202034478,0.0280162104133462,"Tgfb1/Cxcl16/Ccl9/Retnlg/Cxcl13/Il1b/Il1a/Gpnmb/Crlf2/Il1f9",10
"GO:0005126","GO:0005126","cytokine receptor binding","8/156","260/16106",0.00386035658790858,0.0382916543959419,0.0287362241191528,"Tgfb1/Cxcl16/Ccl9/Cxcl13/Il1b/Il1a/Il1f9/Cd300lf",8
"GO:0030546","GO:0030546","signaling receptor activator activity","10/156","380/16106",0.0039518315778454,0.0382916543959419,0.0287362241191528,"Tgfb1/Cxcl16/Ccl9/Retnlg/Cxcl13/Il1b/Il1a/Gpnmb/Crlf2/Il1f9",10
"GO:0008429","GO:0008429","phosphatidylethanolamine binding","2/156","10/16106",0.00398619746077629,0.0382916543959419,0.0287362241191528,"Mfge8/Cd300a",2
