"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","HALLMARK_INFLAMMATORY_RESPONSE",2.86364576964941e-08,9.73639561680799e-07,0.73376198835648,0.511772566164543,2.52945256865425,71,"c(`20311` = ""Cxcl5"", `237038` = ""Nox1"", `20296` = ""Ccl2"", `24115` = ""Best1"", `64008` = ""Aqp9"", `12475` = ""Cd14"", `21857` = ""Timp1"", `18787` = ""Serpine1"", `24088` = ""Tlr2"", `12061` = ""Bdkrb1"", `15894` = ""Icam1"", `20306` = ""Ccl7"", `20297` = ""Ccl20"", `257632` = ""Nod2"", `11535` = ""Adm"", `224109` = ""Nrros"", `20295` = ""Ccl17"", `320910` = ""Itgb8"", `17388` = ""Mmp15"", `15945` = ""Cxcl10"", `20511` = ""Slc1a2"", `378425` = ""Nlrp12"", `108078` = ""Olr1"", `17387` = ""Mmp14"", `20307` = ""Ccl8"", `17329` = ""Cxcl9"", `21938` = ""Tnfrsf1b"", 
`16154` = ""Il10ra"", `279572` = ""Tlr13"", `19734` = ""Rgs16"", `14747` = ""Cmklr1"", `12977` = ""Csf1"", `19222` = ""Ptgir"", `18035` = ""Nfkbia"", `14528` = ""Gch1"", `14676` = ""Gna15"", `26362` = ""Axl"", `54371` = ""Chst2"", `56696` = ""Gpr132"", `16410` = ""Itgav"", `21899` = ""Tlr6"", `16174` = ""Il18rap"", `14726` = ""Pdpn"", `320207` = ""Pik3r5"")"
"2","HALLMARK_IL6_JAK_STAT3_SIGNALING",7.65621623480214e-06,8.67704506610909e-05,0.593325476396405,0.637673918327539,2.38849288974589,22,"c(`21926` = ""Tnf"", `14825` = ""Cxcl1"", `20310` = ""Cxcl2"", `12475` = ""Cd14"", `27279` = ""Tnfrsf12a"", `24088` = ""Tlr2"", `12505` = ""Cd44"", `330122` = ""Cxcl3"", `20306` = ""Ccl7"", `224109` = ""Nrros"", `15945` = ""Cxcl10"", `17329` = ""Cxcl9"", `21938` = ""Tnfrsf1b"", `12977` = ""Csf1"")"
"3","HALLMARK_ALLOGRAFT_REJECTION",2.87894841647867e-06,4.89421230801373e-05,0.627256739718528,0.496472678073997,2.35318815464055,56,"c(`21926` = ""Tnf"", `20296` = ""Ccl2"", `14963` = ""H2-Bl"", `14990` = ""H2-M2"", `21857` = ""Timp1"", `24047` = ""Ccl19"", `100039053` = ""Gm2023"", `24088` = ""Tlr2"", `15894` = ""Icam1"", `20306` = ""Ccl7"", `224109` = ""Nrros"", `100039789` = ""Gm12407"", `100039848` = ""Gm2457"", `100039973` = ""Gm13309"", `100040035` = ""Gm2564"", `100043918` = ""LOC100043918"", `100043921` = ""LOC100043921"", `100861618` = ""LOC100861618"", `100861647` = ""Gm21104"", `378425` = ""Nlrp12"", `20307` = ""Ccl8"", `17329` = ""Cxcl9"", `14744` = ""Gpr65"", 
`15018` = ""H2-Q7"", `279572` = ""Tlr13"", `15019` = ""H2-Q8"", `12977` = ""Csf1"")"
"4","HALLMARK_COMPLEMENT",2.14461451497926e-05,0.000182292233773237,0.575610261071129,0.479858831800046,2.23764305797611,51,"c(`20202` = ""S100a9"", `14058` = ""F10"", `14825` = ""Cxcl1"", `12870` = ""Cp"", `20310` = ""Cxcl2"", `317677` = ""C1s2"", `12266` = ""C3"", `21857` = ""Timp1"", `12759` = ""Clu"", `50909` = ""C1ra"", `18787` = ""Serpine1"", `330122` = ""Cxcl3"", `11747` = ""Anxa5"", `16411` = ""Itgax"", `12258` = ""Serping1"", `17388` = ""Mmp15"", `108078` = ""Olr1"", `17387` = ""Mmp14"", `70789` = ""Kynu"", `12832` = ""Col5a2"", `667277` = ""C1rb"")"
"5","HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.66324768550636e-05,0.000249100842614432,0.557332238758646,0.458683012555639,2.19713368971481,58,"c(`20311` = ""Cxcl5"", `21926` = ""Tnf"", `14825` = ""Cxcl1"", `20296` = ""Ccl2"", `20310` = ""Cxcl2"", `21928` = ""Tnfaip2"", `227659` = ""Slc2a6"", `18787` = ""Serpine1"", `24088` = ""Tlr2"", `15894` = ""Icam1"", `12505` = ""Cd44"", `330122` = ""Cxcl3"", `20297` = ""Ccl20"", `224109` = ""Nrros"", `15945` = ""Cxcl10"", `108078` = ""Olr1"", `20307` = ""Ccl8"", `70789` = ""Kynu"", `19225` = ""Ptgs2"", `20525` = ""Slc2a1"", `319520` = ""Dusp4"", `12977` = ""Csf1"", `15958` = ""Ifit2"", `20723` = ""Serpinb9"")"
"6","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000987993231138482,0.00559862830978473,0.45505986738723,0.399794894728431,1.9213435349876,59,"c(`20296` = ""Ccl2"", `14963` = ""H2-Bl"", `14990` = ""H2-M2"", `21928` = ""Tnfaip2"", `317677` = ""C1s2"", `50909` = ""C1ra"", `15894` = ""Icam1"", `20306` = ""Ccl7"", `12258` = ""Serping1"", `15945` = ""Cxcl10"", `20307` = ""Ccl8"", `17329` = ""Cxcl9"", `22329` = ""Vcam1"", `667277` = ""C1rb"", `15018` = ""H2-Q7"", `16154` = ""Il10ra"", `19225` = ""Ptgs2"", `14747` = ""Cmklr1"", `15019` = ""H2-Q8"", `15958` = ""Ifit2"", `14469` = ""Gbp2"", `18035` = ""Nfkbia"", `14528` = ""Gch1"", `20344` = ""Selp"", `72925` = ""March1"", `18783` = ""Pla2g4a"", 
`15976` = ""Ifnar2"", `66141` = ""Ifitm3"", `75345` = ""Slamf7"", `69550` = ""Bst2"", `15042` = ""H2-T24"", `18578` = ""Pde4b"", `16364` = ""Irf4"", `12628` = ""Cfh"", `109032` = ""Sp110"", `14468` = ""Gbp2b"", `229898` = ""Gbp5"", `16190` = ""Il4ra"")"
"7","HALLMARK_IL2_STAT5_SIGNALING",0.00226919077187611,0.0110217837491125,0.431707695803346,0.388264163414618,1.85982094517554,58,"c(`21943` = ""Tnfsf11"", `18612` = ""Etv4"", `24088` = ""Tlr2"", `17916` = ""Myo1f"", `12505` = ""Cd44"", `18606` = ""Enpp2"", `17082` = ""Il1rl1"", `15945` = ""Cxcl10"", `11596` = ""Ager"", `14744` = ""Gpr65"", `21938` = ""Tnfrsf1b"", `16154` = ""Il10ra"", `279572` = ""Tlr13"", `19734` = ""Rgs16"", `20525` = ""Slc2a1"", `12977` = ""Csf1"", `17829` = ""Muc1"", `20723` = ""Serpinb9"", `22163` = ""Tnfrsf4"", `13011` = ""Cst7"", `20344` = ""Selp"", `16410` = ""Itgav"", `381319` = ""Batf3"", `21899` = ""Tlr6"", `12334` = ""Capn2"", `18669` = ""Abcb1b"", 
`26410` = ""Map3k8"", `18452` = ""P4ha2"", `66141` = ""Ifitm3"", `18451` = ""P4ha1"", `21898` = ""Tlr4"", `16402` = ""Itga5"", `16364` = ""Irf4"", `20893` = ""Bhlhe40"", `21664` = ""Phlda1"", `16190` = ""Il4ra"", `21897` = ""Tlr1"", `15277` = ""Hk2"", `15275` = ""Hk1"", `216197` = ""Ckap4"", `64138` = ""Ctsz"", `102626` = ""Mapkapk3"", `80876` = ""Ifitm2"")"
"8","HALLMARK_COAGULATION",0.0255720053835801,0.0750924107393666,0.332263053752429,0.368670287796392,1.62921583854403,39,"c(`14058` = ""F10"", `317677` = ""C1s2"", `12266` = ""C3"", `21857` = ""Timp1"", `12759` = ""Clu"", `50909` = ""C1ra"", `18787` = ""Serpine1"", `12258` = ""Serping1"", `17388` = ""Mmp15"", `108078` = ""Olr1"", `17387` = ""Mmp14"", `667277` = ""C1rb"", `16952` = ""Anxa1"", `12268` = ""C4b"", `12334` = ""Capn2"", `13036` = ""Ctsh"", `20702` = ""Serpina1c"", `18792` = ""Plau"", `15360` = ""Hmgcs2"", `54381` = ""Cpq"", `13038` = ""Ctsk"", `12628` = ""Cfh"", `12337` = ""Capn5"", `17390` = ""Mmp2"")"
"9","HALLMARK_PEROXISOME",0.0265032037903647,0.0750924107393666,0.352487857583619,-0.286339745965063,-1.57475030982514,38,"c(`11668` = ""Aldh1a1"", `26358` = ""Aldh1a7"", `22238` = ""Ugt2b5"", `243168` = ""Hsd17b13"", `231396` = ""Ugt2b36"", `235674` = ""Acaa1b"", `20522` = ""Slc23a1"", `69123` = ""Eci3"", `72535` = ""Aldh1b1"", `216739` = ""Acsl6"", `13850` = ""Ephx2"", `56752` = ""Aldh9a1"", `16204` = ""Fabp6"", `13370` = ""Dio1"", `18631` = ""Pex11a"", `12359` = ""Cat"", `26889` = ""Cln8"", `20347` = ""Sema3b"", `100727` = ""Ugt2b34"", `20181` = ""Rxra"", `11739` = ""Slc25a4"", `74147` = ""Ehhadh"", `11430` = ""Acox1"", `433256` = ""Acsl5"", `20148` = ""Dhrs3"", 
`11666` = ""Abcd1"", `19299` = ""Abcd3"", `66307` = ""Isoc1"", `269951` = ""Idh2"")"
"10","HALLMARK_XENOBIOTIC_METABOLISM",0.0106645913047329,0.0362596104360918,0.380730400722792,-0.283902655627556,-1.69814829245238,52,"c(`631304` = ""Cyp4f40"", `11668` = ""Aldh1a1"", `105387` = ""Akr1c14"", `26358` = ""Aldh1a7"", `109731` = ""Maob"", `13809` = ""Enpep"", `259301` = ""Leap2"", `432720` = ""Akr1c19"", `13074` = ""Cyp17a1"", `17161` = ""Maoa"", `14114` = ""Fbln1"", `66082` = ""Abhd6"", `13841` = ""Epha7"", `104158` = ""Ces1d"")"
"11","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.0311754049380554,0.0815356744533758,0.352487857583619,-0.381219977971709,-1.71624210991084,21,"c(`109731` = ""Maob"", `17161` = ""Maoa"", `235674` = ""Acaa1b"", `11931` = ""Atp1b1"", `18242` = ""Oat"", `104776` = ""Aldh6a1"", `18293` = ""Ogdh"", `17449` = ""Mdh1"", `14661` = ""Glud1"", `11739` = ""Slc25a4"", `52538` = ""Acaa2"", `12974` = ""Cs"", `269951` = ""Idh2"", `21871` = ""Atp6v0a2"", `227197` = ""Ndufs1"", `20916` = ""Sucla2"", `78920` = ""Dlst"", `18674` = ""Slc25a3"", `18597` = ""Pdha1"")"
"12","HALLMARK_BILE_ACID_METABOLISM",0.0067553602854866,0.0255202499673938,0.407017918923954,-0.336545433662959,-1.81819810341777,35,"c(`11668` = ""Aldh1a1"", `105387` = ""Akr1c14"", `26358` = ""Aldh1a7"", `217258` = ""Abca8a"", `432720` = ""Akr1c19"", `243168` = ""Hsd17b13"", `20522` = ""Slc23a1"", `103142` = ""Rdh9"", `27404` = ""Abca8b"", `72535` = ""Aldh1b1"", `216739` = ""Acsl6"", `13850` = ""Ephx2"", `104086` = ""Cyp27a1"", `56752` = ""Aldh9a1"", `16890` = ""Lipe"", `13370` = ""Dio1"", `67470` = ""Abcg8"", `18631` = ""Pex11a"", `12359` = ""Cat"")"
