"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"1","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00230414746543779,0.0116822429906542,0.346350618436967,1.88030483601455,0,278,"c(`22419` = ""Wnt5b"", `12934` = ""Dpysl2"", `330908` = ""Opcml"", `12816` = ""Col12a1"", `241639` = ""Fermt1"", `20583` = ""Snai2"", `12836` = ""Col7a1"", `30927` = ""Snai3"", `17388` = ""Mmp15"", `18113` = ""Nnmt"", `12931` = ""Crlf1"", `215654` = ""Cdh12"", `13601` = ""Ecm1"", `56213` = ""Htra1"", `16193` = ""Il6"", `107528` = ""Magee1"", `70350` = ""Basp1"", `30794` = ""Pdlim4"", `13179` = ""Dcn"", `14089` = ""Fap"", `12835` = ""Col6a3"", `17387` = ""Mmp14"", `320712` = ""Abi3bp"", `269132` = ""Colgalt2"", `12505` = ""Cd44"", `234407` = ""Colgalt1"", 
`16410` = ""Itgav"", `18430` = ""Oxtr"", `18645` = ""Pfn2"", `18129` = ""Notch2"", `14268` = ""Fn1"", `109700` = ""Itga1"", `226519` = ""Lamc1"", `16971` = ""Lrp1"", `17873` = ""Gadd45b"", `12933` = ""Crmp1"", `18542` = ""Pcolce"", `21345` = ""Tagln"", `14609` = ""Gja1"", `22240` = ""Dpysl3"", `235106` = ""Ntm"", `17390` = ""Mmp2"", `22352` = ""Vim"", `21803` = ""Tgfb1"", `12563` = ""Cdh6"", `17181` = ""Matn2"", `54725` = ""Cadm1"", `20315` = ""Cxcl12"", `16007` = ""Ccn1"", `18131` = ""Notch3"", `15902` = ""Id2"", `21814` = ""Tgfbr3"", `21838` = ""Thy1"", 
`13808` = ""Eno3"", `16476` = ""Jun"", `373864` = ""Col27a1"", `56401` = ""P3h1"", `12564` = ""Cdh8"", `18383` = ""Tnfrsf11b"", `192176` = ""Flna"", `26433` = ""Plod3"", `107581` = ""Col16a1"", `21923` = ""Tnc"", `22329` = ""Vcam1"", `12552` = ""Cdh11"", `50706` = ""Postn"", `16419` = ""Itgb5"", `12111` = ""Bgn"", `242050` = ""Igsf10"", `20563` = ""Slit2"", `14733` = ""Gpc1"", `213119` = ""Itga10"", `333883` = ""Cd59b"", `14370` = ""Fzd8"", `20745` = ""Spock1"", `16950` = ""Loxl3"", `14234` = ""Foxc2"", `99151` = ""Cercam"", `19035` = ""Ppib"", `20378` = ""Frzb"", 
`94352` = ""Loxl2"", `16008` = ""Igfbp2"", `53867` = ""Col5a3"", `11475` = ""Acta2"", `71355` = ""Col24a1"", `407800` = ""Ecm2"", `12153` = ""Bmp1"", `20649` = ""Sntb1"", `94216` = ""Col4a6"", `18822` = ""Plod1"", `73690` = ""Glipr1"", `24053` = ""Sgcg"", `12843` = ""Col1a2"", `21827` = ""Thbs3"", `13518` = ""Dst"", `108101` = ""Fermt3"", `16773` = ""Lama2"", `18596` = ""Pdgfrb"", `239096` = ""Cdh24"", `13732` = ""Emp3"", `20971` = ""Sdc4"", `14119` = ""Fbn2"", `17389` = ""Mmp16"", `14219` = ""Ccn2"", `16416` = ""Itgb3"", `21859` = ""Timp3"", `21857` = ""Timp1"", 
`14451` = ""Gas1"", `27279` = ""Tnfrsf12a"", `215280` = ""Wipf1"", `17392` = ""Mmp3"", `11464` = ""Actc1"", `12845` = ""Comp"", `12834` = ""Col6a2"", `16772` = ""Lama1"", `21826` = ""Thbs2"", `12827` = ""Col4a2"", `11492` = ""Adam19"", `18132` = ""Notch4"", `17313` = ""Mgp"", `23959` = ""Nt5e"", `16009` = ""Igfbp3"", `65112` = ""Pmepa1"", `320873` = ""Cdh10"", `12558` = ""Cdh2"", `19227` = ""Pthlh"", `12560` = ""Cdh3"", `20229` = ""Sat1"", `14579` = ""Gem"", `67573` = ""Loxl4"", `26757` = ""Dpysl4"", `12406` = ""Serpinh1"", `20969` = ""Sdc1"", `83554` = ""Fstl3""
)"
"2","HALLMARK_HEDGEHOG_SIGNALING",0.00422832980972516,0.0192196809532962,0.419107293698029,1.77113738073098,1,64,"c(`12934` = ""Dpysl2"", `14766` = ""Adgrg1"", `94190` = ""Ophn1"", `100042555` = ""Gm13305"", `16157` = ""Il11ra1"", `16158` = ""Il11ra2"", `104001` = ""Rtn1"", `18096` = ""Nkx6-1"", `18187` = ""Nrp2"", `19206` = ""Ptch1"", `12933` = ""Crmp1"", `22240` = ""Dpysl3"", `17885` = ""Myh8"", `17884` = ""Myh4"", `12567` = ""Cdk4"", `53883` = ""Celsr2"", `11423` = ""Ache"", `12571` = ""Cdk6"", `21838` = ""Thy1"", `23872` = ""Ets2"", `15213` = ""Hey1"", `12569` = ""Cdk5r1"", `16826` = ""Ldb2"", `12804` = ""Cntfr"", `20563` = ""Slit2"", `17886` = ""Myh9"")"
"3","HALLMARK_ALLOGRAFT_REJECTION",0.00232558139534884,0.0116822429906542,0.31232478906224,1.6809772208524,0,263,"c(`230861` = ""Eif4g3"", `16364` = ""Irf4"", `12526` = ""Cd8b1"", `12487` = ""Cd28"", `15001` = ""H2-Oa"", `384059` = ""Tlr12"", `16170` = ""Il16"", `12578` = ""Cdkn2a"", `56233` = ""Hdac7"", `16193` = ""Il6"", `56744` = ""Pf4"", `16408` = ""Itgal"", `13038` = ""Ctsk"", `12501` = ""Cd3e"", `12524` = ""Cd86"", `79221` = ""Hdac9"", `12444` = ""Ccnd2"", `12766` = ""Cxcr3"", `12481` = ""Cd2"", `79059` = ""Nme3"", `77647` = ""Trat1"", `54390` = ""Sit1"", `20299` = ""Ccl22"", `192187` = ""Stab1"", `12500` = ""Cd3d"", `16994` = ""Ltb"", `23871` = ""Ets1"", 
`20849` = ""Stat4"", `54721` = ""Tyk2"", `22637` = ""Zap70"", `246154` = ""Vasn"", `224109` = ""Nrros"", `15184` = ""Hdac5"", `192188` = ""Stab2"", `24088` = ""Tlr2"", `12502` = ""Cd3g"", `20452` = ""St8sia4"", `12503` = ""Cd247"", `21803` = ""Tgfb1"", `12229` = ""Btk"", `67248` = ""Rpl39"", `55985` = ""Cxcl13"", `15002` = ""H2-Ob"", `20963` = ""Syk"", `16149` = ""Cd74"", `23880` = ""Fyb"", `12519` = ""Cd80"", `76846` = ""Rps9"", `11423` = ""Ache"", `17973` = ""Nck1"", `20005` = ""Rpl9"", `21838` = ""Thy1"", `14062` = ""F2r"", `12977` = ""Csf1"", `17084` = ""Ly86"", 
`20085` = ""Rps19"", `16421` = ""Itgb7"", `18125` = ""Nos1"", `14960` = ""H2-Aa"", `17972` = ""Ncf4"", `208691` = ""Eif5a2"", `16160` = ""Il12b"", `16186` = ""Il2rg"", `12504` = ""Cd4"", `16163` = ""Il13"", `192176` = ""Flna"", `15976` = ""Ifnar2"", `21947` = ""Cd40lg"", `21939` = ""Cd40"", `14744` = ""Gpr65"", `13040` = ""Ctss"", `19264` = ""Ptprc"", `50931` = ""Il27ra"", `18752` = ""Prkcg"", `271786` = ""Galnt13"", `17179` = ""Matk"", `56468` = ""Socs5"", `11785` = ""Apbb1"", `16174` = ""Il18rap"", `20304` = ""Ccl5"", `18103` = ""Nme2"", `16183` = ""Il2"", 
`16977` = ""Lrrc23"", `14191` = ""Fgr"", `16161` = ""Il12rb1"", `14999` = ""H2-DMb1"", `15000` = ""H2-DMb2"", `110308` = ""Krt5"", `12479` = ""Cd1d1"", `16822` = ""Lcp2"", `16428` = ""Itk"")"
"4","HALLMARK_MYOGENESIS",0.00233644859813084,0.0116822429906542,0.303783801110633,1.67325497010405,0,316,"c(`11435` = ""Chrna1"", `68507` = ""Ppfia4"", `12836` = ""Col7a1"", `20410` = ""Sorbs3"", `13845` = ""Ephb3"", `13497` = ""Drp2"", `13528` = ""Dtnb"", `78286` = ""Nav2"", `209773` = ""Dennd2a"", `13837` = ""Epha3"", `56233` = ""Hdac7"", `13846` = ""Ephb4"", `17532` = ""Mras"", `14245` = ""Lpin1"", `56188` = ""Fxyd1"", `13841` = ""Epha7"", `17930` = ""Myom2"", `235611` = ""Plxnb1"", `29817` = ""Igfbp7"", `270190` = ""Ephb1"", `12391` = ""Cav3"", `67784` = ""Plxnd1"", `12835` = ""Col6a3"", `228366` = ""Large2"", `56264` = ""Cpxm1"", `140570` = ""Plxnb2"", 
`170738` = ""Kcnh7"", `11790` = ""Speg"", `12062` = ""Bdkrb2"", `18129` = ""Notch2"", `231646` = ""Myo1h"", `225362` = ""Reep2"", `21954` = ""Tnni3"", `30051` = ""Spdef"", `23796` = ""Aplnr"", `12322` = ""Camk2a"", `140571` = ""Plxnb3"", `15184` = ""Hdac5"", `239556` = ""Cacna1i"", `19122` = ""Prnp"", `227753` = ""Gsn"", `17873` = ""Gadd45b"", `13839` = ""Epha5"", `71994` = ""Cnn3"", `12822` = ""Col18a1"", `21345` = ""Tagln"", `260315` = ""Nav3"", `17885` = ""Myh8"", `21803` = ""Tgfb1"", `17884` = ""Myh4"", `20249` = ""Scd1"", `20250` = ""Scd2"", 
`30049` = ""Scd3"", `329065` = ""Scd4"", `20657` = ""Sod3"", `11423` = ""Ache"", `11568` = ""Aebp1"", `76954` = ""St5"", `55987` = ""Cpxm2"", `246177` = ""Myo1g"", `17898` = ""Myl7"", `12797` = ""Cnn1"", `53412` = ""Ppp1r3c"", `18131` = ""Notch3"", `14778` = ""Gpx3"", `20740` = ""Sptan1"", `18844` = ""Plxna1"", `13808` = ""Eno3"", `18125` = ""Nos1"", `373864` = ""Col27a1"", `110078` = ""Pygb"", `17904` = ""Myl6"", `15464` = ""Hrc"", `12224` = ""Klf5"", `13848` = ""Ephb6"", `30953` = ""Schip1"", `107581` = ""Col16a1"", `21676` = ""Tead1"", `19309` = ""Pygm"", 
`14248` = ""Flii"", `11472` = ""Actn2"", `327814` = ""Ppfia2"", `53313` = ""Atp2a3"", `100732` = ""Mapre3"", `16419` = ""Itgb5"", `12819` = ""Col15a1"", `16651` = ""Sspn"", `17878` = ""Myf6"", `17886` = ""Myh9"", `20191` = ""Ryr2"", `11636` = ""Ak1"", `215690` = ""Nav1"", `12709` = ""Ckb"", `12325` = ""Camk2g"", `243743` = ""Plxna4"", `17896` = ""Myl4"", `17929` = ""Myom1"", `11474` = ""Actn3"", `77090` = ""Ocel1"", `16582` = ""Kifc3"", `80888` = ""Hspb8"", `12759` = ""Clu"", `53867` = ""Col5a3"", `11475` = ""Acta2"", `71355` = ""Col24a1"", `18563` = ""Pcx"", 
`97064` = ""Wwtr1"", `16511` = ""Kcnh2"", `94216` = ""Col4a6"", `12491` = ""Cd36"", `12299` = ""Cacng1"", `11937` = ""Atp2a1"", `54601` = ""Foxo4"", `21952` = ""Tnni1"", `14226` = ""Fkbp1b"", `19769` = ""Rit1"", `24053` = ""Sgcg"", `12843` = ""Col1a2"", `13869` = ""Erbb4"", `93739` = ""Gabarapl2"", `16773` = ""Lama2"", `59011` = ""Myoz1"", `12372` = ""Casq1"", `16000` = ""Igf1"", `13019` = ""Ctf1"", `29857` = ""Mapk12"", `16416` = ""Itgb3"", `13838` = ""Epha4"", `17880` = ""Myh11"", `11464` = ""Actc1"", `18767` = ""Pkia"", `29856` = ""Smtn"", `12834` = ""Col6a2"", 
`12827` = ""Col4a2"", `13143` = ""Dapk2"", `11492` = ""Adam19"", `18132` = ""Notch4"", `109711` = ""Actn1"", `11820` = ""App"", `14077` = ""Fabp3"")"
"5","HALLMARK_IL2_STAT5_SIGNALING",0.00233644859813084,0.0116822429906542,0.30198635071518,1.66335453171099,0,316,"c(`14873` = ""Gsto1"", `22781` = ""Ikzf4"", `68151` = ""Wls"", `16364` = ""Irf4"", `16001` = ""Igf1r"", `12043` = ""Bcl2"", `19347` = ""Dennd5a"", `74734` = ""Rhoh"", `268958` = ""Capn11"", `13011` = ""Cst7"", `381489` = ""Rxfp1"", `244152` = ""Tsku"", `13601` = ""Ecm1"", `229521` = ""Syt11"", `19228` = ""Pth1r"", `19217` = ""Ptger2"", `66395` = ""Ahnak"", `12520` = ""Cd81"", `21936` = ""Tnfrsf18"", `11426` = ""Macf1"", `14299` = ""Ncs1"", `16154` = ""Il10ra"", `320982` = ""Arl4c"", `12524` = ""Cd86"", `54167` = ""Icos"", `73835` = ""Ifitm5"", `12444` = ""Ccnd2"", 
`22029` = ""Traf1"", `17079` = ""Cd180"", `74978` = ""Lrriq1"", `14085` = ""Fah"", `18715` = ""Pim2"", `16182` = ""Il18r1"", `68713` = ""Ifitm1"", `12477` = ""Ctla4"", `22779` = ""Ikzf2"", `57436` = ""Gabarapl1"", `18606` = ""Enpp2"", `17829` = ""Muc1"", `140498` = ""Rxfp2"", `12505` = ""Cd44"", `16410` = ""Itgav"", `107702` = ""Rnh1"", `231646` = ""Myo1h"", `13813` = ""Eomes"", `16994` = ""Ltb"", `18187` = ""Nrp2"", `19206` = ""Ptch1"", `19122` = ""Prnp"", `225998` = ""Rorb"", `24088` = ""Tlr2"", `12447` = ""Ccne1"", `17873` = ""Gadd45b"", `27413` = ""Abcb11"", 
`11596` = ""Ager"", `67547` = ""Slc39a8"", `21943` = ""Tnfsf11"", `11658` = ""Alcam"", `53314` = ""Batf"", `22163` = ""Tnfrsf4"", `20271` = ""Scn5a"", `12773` = ""Ccr4"", `212032` = ""Hk3"", `20725` = ""Serpinb8"", `246177` = ""Myo1g"", `80876` = ""Ifitm2"", `13808` = ""Eno3"", `20193` = ""S100a1"", `20723` = ""Serpinb9"", `20706` = ""Serpinb9b"", `20707` = ""Serpinb9c"", `20726` = ""Serpinb9d"", `20710` = ""Serpinb9e"", `20709` = ""Serpinb9f"", `12977` = ""Csf1"", `72267` = ""Lrrc8e"", `22634` = ""Plagl1"", `16163` = ""Il13"", `18755` = ""Prkch"", 
`19883` = ""Rora"", `12349` = ""Car2"", `26410` = ""Map3k8"", `16004` = ""Igf2r"")"
"6","HALLMARK_KRAS_SIGNALING_DN",0.00232558139534884,0.0116822429906542,0.290799907498767,1.6108124298781,0,329,"c(`12288` = ""Cacna1c"", `12289` = ""Cacna1d"", `72350` = ""Zc2hc1c"", `20682` = ""Sox9"", `12836` = ""Col7a1"", `16848` = ""Lfng"", `13845` = ""Ephb3"", `268958` = ""Capn11"", `13528` = ""Dtnb"", `56527` = ""Mast1"", `15139` = ""Hc"", `11307` = ""Abcg1"", `93873` = ""Pcdhb2"", `19220` = ""Ptgfr"", `13837` = ""Epha3"", `74645` = ""Tent5c"", `20503` = ""Slc16a7"", `16506` = ""Kcnd1"", `13846` = ""Ephb4"", `21416` = ""Tcf7l2"", `12292` = ""Cacna1s"", `12290` = ""Cacna1e"", `13841` = ""Epha7"", `100042555` = ""Gm13305"", `16157` = ""Il11ra1"", `16158` = ""Il11ra2"", 
`54631` = ""Nphs1"", `270190` = ""Ephb1"", `20621` = ""Snn"", `17769` = ""Mthfr"", `20741` = ""Sptb"", `93893` = ""Pcdhb22"", `11688` = ""Alox8"", `381022` = ""Kmt2d"", `18587` = ""Pde6b"", `21954` = ""Tnni3"", `117589` = ""Asb7"", `12776` = ""Ccr8"", `239673` = ""Krt90"", `93892` = ""Pcdhb21"", `93888` = ""Pcdhb17"", `60345` = ""Nrip2"", `17305` = ""Mfng"", `93735` = ""Wnt16"", `52163` = ""Camk1"", `11677` = ""Akr1b3"", `20429` = ""Shox2"", `15932` = ""Idua"", `231051` = ""Kmt2c"", `13839` = ""Epha5"", `27413` = ""Abcb11"", `70355` = ""Gprc5c"", 
`23966` = ""Tenm4"", `20496` = ""Slc12a2"", `93876` = ""Pcdhb5"", `19271` = ""Ptprj"", `20271` = ""Scn5a"", `20608` = ""Sstr4"", `232975` = ""Atp1a3"", `192113` = ""Atp12a"", `26549` = ""Itgb1bp2"", `12519` = ""Cd80"", `53883` = ""Celsr2"", `213417` = ""Klhdc8a"", `54652` = ""Cacna1f"", `18227` = ""Nr4a2"", `54371` = ""Chst2"", `15484` = ""Hsd11b2"", `16665` = ""Krt15"", `81879` = ""Tfcp2l1"", `18505` = ""Pax3"", `14723` = ""Gp1ba"", `116903` = ""Calcb"", `22634` = ""Plagl1"", `18125` = ""Nos1"", `373864` = ""Col27a1"", `18007` = ""Neo1"", `18948` = ""Pnmt"", 
`16160` = ""Il12b"", `192663` = ""Abcg4"", `16426` = ""Itih3"", `18566` = ""Pdcd1"", `13848` = ""Ephb6"", `21947` = ""Cd40lg"", `93881` = ""Pcdhb10"", `107581` = ""Col16a1"", `12021` = ""Bard1"", `18440` = ""P2rx6"", `12804` = ""Cntfr"", `20269` = ""Scn3a"", `93887` = ""Pcdhb16"", `18124` = ""Nr4a3"", `21422` = ""Tfcp2"", `56774` = ""Slc6a14"", `77864` = ""Ypel2"", `14183` = ""Fgfr2"", `13176` = ""Dcc"", `12266` = ""C3"", `67861` = ""Akr1b10"", `11997` = ""Akr1b7"", `14187` = ""Akr1b8"", `20191` = ""Ryr2"", `22362` = ""Vpreb1"", `14570` = ""Arhgdig"", 
`12709` = ""Ckb"", `80903` = ""Fgf16"", `71279` = ""Slc29a3"", `13608` = ""Edar"", `16008` = ""Igfbp2"", `110308` = ""Krt5"", `53867` = ""Col5a3"", `106565` = ""Dlk2"", `23965` = ""Tenm3"", `11475` = ""Acta2"", `93874` = ""Pcdhb3"", `404634` = ""Macroh2a2"", `71355` = ""Col24a1"", `14182` = ""Fgfr1"", `20753` = ""Sprr1a"", `12334` = ""Capn2"", `14804` = ""Grid2"", `94216` = ""Col4a6"", `12299` = ""Cacng1"", `20742` = ""Sptbn1"", `16369` = ""Irs3"")"
"7","HALLMARK_P53_PATHWAY",0.00230414746543779,0.0116822429906542,0.274760386112273,1.49164821787709,0,278,"c(`207785` = ""Csrnp2"", `19124` = ""Procr"", `13845` = ""Ephb3"", `76654` = ""Upp2"", `14667` = ""Gm2a"", `12578` = ""Cdkn2a"", `17112` = ""Tm4sf1"", `217344` = ""Rhbdf2"", `56464` = ""Ctsf"", `22401` = ""Zmat3"", `13837` = ""Epha3"", `99681` = ""Tchh"", `13846` = ""Ephb4"", `12520` = ""Cd81"", `16598` = ""Klf2"", `27280` = ""Phlda3"", `13849` = ""Ephx1"", `16832` = ""Ldhb"", `15267` = ""H2ac18"", `319192` = ""H2ac19"", `13841` = ""Epha7"", `12444` = ""Ccnd2"", `235611` = ""Plxnb1"", `17250` = ""Abcc1"", `270190` = ""Ephb1"", `20620` = ""Plk2"", 
`67784` = ""Plxnd1"", `114714` = ""Rad51c"", `67880` = ""Dcxr"", `22062` = ""Trp73"", `140570` = ""Plxnb2"", `12192` = ""Zfp36l1"", `26570` = ""Slc7a11"", `17347` = ""Mknk2"", `11688` = ""Alox8"", `18129` = ""Notch2"", `21954` = ""Tnni3"", `140571` = ""Plxnb3"", `13033` = ""Ctsd"", `230784` = ""Sesn2"", `216456` = ""Gls2"", `239273` = ""Abcc4"", `23853` = ""Def6"", `13839` = ""Epha5"", `22592` = ""Ercc5"", `19250` = ""Ptpn14"", `20183` = ""Rxrg"", `21803` = ""Tgfb1"", `108100` = ""Baiap2"", `76884` = ""Cyfip2"", `101565` = ""Ccp110"", `18081` = ""Ninj1"", 
`13650` = ""Rhbdf1"", `216049` = ""Zfp365"", `71795` = ""Pitpnc1"", `12226` = ""Btg1"", `18131` = ""Notch3"", `18844` = ""Plxna1"", `14149` = ""Fdxr"", `16476` = ""Jun"", `230233` = ""Elp1"", `14062` = ""F2r"", `14168` = ""Fgf13"", `56437` = ""Rrad"", `14776` = ""Gpx2"", `74747` = ""Ddit4"", `56338` = ""Txnip"", `20198` = ""S100a4"", `12569` = ""Cdk5r1"", `14694` = ""Rack1"", `67941` = ""Rps27l"", `13848` = ""Ephb6"", `68048` = ""Aen"", `50709` = ""H1f4"", `22061` = ""Trp63"", `12450` = ""Ccng1"", `15270` = ""H2afx"", `16554` = ""Kif13b"", `12028` = ""Bax"", 
`57294` = ""Rps27"", `15254` = ""Hint1"", `50708` = ""H1f2"", `21812` = ""Tgfbr1"", `319191` = ""H2ac13"", `11636` = ""Ak1"", `54217` = ""Rpl36"", `243743` = ""Plxna4"", `17122` = ""Mxd4"", `244562` = ""Abcc12"", `16450` = ""Jag2"")"
"8","HALLMARK_ANGIOGENESIS",0.0249480249480249,0.0693000693000693,0.347949059580409,1.46021459911664,11,61,"c(`12836` = ""Col7a1"", `16956` = ""Lpl"", `56744` = ""Pf4"", `21824` = ""Thbd"", `22370` = ""Vtn"", `12444` = ""Ccnd2"", `16410` = ""Itgav"", `16976` = ""Lrpap1"", `18187` = ""Nrp2"", `56644` = ""Clec7a"", `22324` = ""Vav1"", `373864` = ""Col27a1"", `20198` = ""S100a4"", `107581` = ""Col16a1"", `21946` = ""Pglyrp1"", `50706` = ""Postn"", `14183` = ""Fgfr2"", `16450` = ""Jag2"", `53867` = ""Col5a3"", `57257` = ""Vav3"", `71355` = ""Col24a1"", `14182` = ""Fgfr1"", `94216` = ""Col4a6"", `12843` = ""Col1a2"", `21857` = ""Timp1"", `12827` = ""Col4a2"", 
`11818` = ""Apoh"", `11820` = ""App"")"
"9","HALLMARK_UV_RESPONSE_DN",0.00919540229885057,0.0353669319186561,0.263476690434065,1.42005535073582,3,265,"c(`12288` = ""Cacna1c"", `12289` = ""Cacna1d"", `18028` = ""Nfib"", `13385` = ""Dlg4"", `16001` = ""Igf1r"", `76408` = ""Abcc3"", `20583` = ""Snai2"", `12836` = ""Col7a1"", `17314` = ""Mgmt"", `268977` = ""Ltbp1"", `30927` = ""Snai3"", `17388` = ""Mmp15"", `217692` = ""Sipa1l1"", `19414` = ""Rasa3"", `16531` = ""Kcnma1"", `330814` = ""Adgrl1"", `19220` = ""Ptgfr"", `99633` = ""Adgrl2"", `12292` = ""Cacna1s"", `14007` = ""Celf2"", `12290` = ""Cacna1e"", `18707` = ""Pik3cd"", `17250` = ""Abcc1"", `17387` = ""Mmp14"", `216616` = ""Efemp1"", `18129` = ""Notch2"", 
`64009` = ""Syne1"", `18187` = ""Nrp2"", `226519` = ""Lamc1"", `16367` = ""Irs1"", `17755` = ""Map1b"", `226970` = ""Arhgef4"", `239273` = ""Abcc4"", `71973` = ""Rbpms2"", `14609` = ""Gja1"", `19250` = ""Ptpn14"", `213109` = ""Phf3"", `20183` = ""Rxrg"", `54650` = ""Sfmbt1"", `15529` = ""Sdc2"", `12287` = ""Cacna1b"", `20271` = ""Scn5a"", `12394` = ""Runx1"", `50768` = ""Dlc1"", `57265` = ""Fzd2"", `50791` = ""Magi2"", `54652` = ""Cacna1f"", `18710` = ""Pik3r3"", `19281` = ""Ptprt"", `16007` = ""Ccn1"", `18131` = ""Notch3"", `74194` = ""Rnd3"", `22324` = ""Vav1"", 
`21814` = ""Tgfbr3"", `19088` = ""Prkar2b"", `19274` = ""Ptprm"", `373864` = ""Col27a1"", `18755` = ""Prkch"", `14369` = ""Fzd7"", `56469` = ""Pias1"", `30953` = ""Schip1"", `107581` = ""Col16a1"", `18400` = ""Slc22a18"", `20269` = ""Scn3a"")"
"10","HALLMARK_COAGULATION",0.0225225225225225,0.0662427133015368,0.260736891177027,1.34461973912905,9,186,"c(`14071` = ""F9"", `268958` = ""Capn11"", `17388` = ""Mmp15"", `12268` = ""C4b"", `56213` = ""Htra1"", `22371` = ""Vwf"", `18613` = ""Pecam1"", `15139` = ""Hc"", `56744` = ""Pf4"", `21824` = ""Thbd"", `50909` = ""C1ra"", `667277` = ""C1rb"", `12259` = ""C1qa"", `13038` = ""Ctsk"", `14089` = ""Fap"", `18591` = ""Pdgfb"", `17387` = ""Mmp14"", `12371` = ""Casp9"", `14696` = ""Gnb4"", `14268` = ""Fn1"", `18792` = ""Plau"", `12258` = ""Serping1"", `20700` = ""Serpina1a"", `20701` = ""Serpina1b"", `20702` = ""Serpina1c"", `20703` = ""Serpina1d"", `20704` = ""Serpina1e"", 
`109700` = ""Itga1"", `19354` = ""Rac2"", `16971` = ""Lrp1"", `68337` = ""Crip2"", `12527` = ""Cd9"", `227753` = ""Gsn"", `94175` = ""Hrg"", `17390` = ""Mmp2"", `93721` = ""Cpn1"", `56644` = ""Clec7a"", `15235` = ""Mst1"", `14723` = ""Gp1ba"", `13007` = ""Csrp1"", `20193` = ""S100a1"", `93691` = ""Klf7"", `50908` = ""C1s1"", `317677` = ""C1s2"", `16426` = ""Itih3"", `16952` = ""Anxa1"", `19141` = ""Lgmn"", `13040` = ""Ctss"", `54381` = ""Cpq"", `12266` = ""C3"", `13039` = ""Ctsl"", `213119` = ""Itga10"", `12279` = ""C9"", `11727` = ""Ang"", `22041` = ""Trf"", 
`13030` = ""Ctsb"", `17002` = ""Ltf"", `20196` = ""S100a13"", `320202` = ""Lefty2"")"
