NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
DCSTAMP,dendrocyte expressed seven transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18549],null,null,4.7498517
SEMA3E,semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727],null,null,4.192086
HTR7,5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302],null,null,3.3757873
TIMP1,TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820],null,null,3.2066782
IL13RA2,interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975],null,null,3.0436761
DNASE1L3,deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959],null,null,2.9685023
NFE2,"nuclear factor, erythroid 2 [Source:HGNC Symbol;Acc:HGNC:7780]",null,null,2.9128654
SLAMF8,SLAM family member 8 [Source:HGNC Symbol;Acc:HGNC:21391],null,null,2.8231785
TMEM221,transmembrane protein 221 [Source:HGNC Symbol;Acc:HGNC:21943],null,null,2.6829174
ALDH3A1,aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405],null,null,2.6211095
GJB5,gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287],null,null,2.5693989
TREML4,triggering receptor expressed on myeloid cells like 4 [Source:HGNC Symbol;Acc:HGNC:30807],null,null,2.5613842
C1R,complement C1r [Source:HGNC Symbol;Acc:HGNC:1246],null,null,2.4629202
F10,coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528],null,null,2.4329076
TSPAN33,tetraspanin 33 [Source:HGNC Symbol;Acc:HGNC:28743],null,null,2.4311404
PRR9,proline rich 9 [Source:HGNC Symbol;Acc:HGNC:32057],null,null,2.3954458
MMP15,matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161],null,null,2.391212
GPR65,G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517],null,null,2.369934
AGER,advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320],null,null,2.367117
CD177,CD177 molecule [Source:HGNC Symbol;Acc:HGNC:30072],null,null,2.3656988
TBXAS1,thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609],null,null,2.33904
TFF1,trefoil factor 1 [Source:HGNC Symbol;Acc:HGNC:11755],null,null,2.3352597
PPFIA4,PTPRF interacting protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:9248],null,null,2.299429
CSF3R,colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439],null,null,2.29657
SLCO4C1,solute carrier organic anion transporter family member 4C1 [Source:HGNC Symbol;Acc:HGNC:23612],null,null,2.2355793
CASS4,Cas scaffold protein family member 4 [Source:HGNC Symbol;Acc:HGNC:15878],null,null,2.216217
IFIT2,interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409],null,null,2.21599
CP,ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295],null,null,2.1755998
LRRC25,leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806],null,null,2.1739302
TNF,tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892],null,null,2.1515083
GPR84,G protein-coupled receptor 84 [Source:HGNC Symbol;Acc:HGNC:4535],null,null,2.1507802
ADGRE1,adhesion G protein-coupled receptor E1 [Source:HGNC Symbol;Acc:HGNC:3336],null,null,2.1260276
SERPINB9,serpin family B member 9 [Source:HGNC Symbol;Acc:HGNC:8955],null,null,2.1179564
LDLRAD4,low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224],null,null,2.113422
LCN2,lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526],null,null,2.1101766
CD14,CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628],null,null,2.0870774
NFAM1,NFAT activating protein with ITAM motif 1 [Source:HGNC Symbol;Acc:HGNC:29872],null,null,2.0835834
LAYN,layilin [Source:HGNC Symbol;Acc:HGNC:29471],null,null,2.0670197
FGF19,fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675],null,null,2.0649757
ITGAX,integrin subunit alpha X [Source:HGNC Symbol;Acc:HGNC:6152],null,null,2.0626476
HAVCR2,hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437],null,null,2.0618598
MACC1,MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215],null,null,2.049994
TMEM176A,transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930],null,null,2.0427308
PLA2G2D,phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033],null,null,2.0188336
BDKRB1,bradykinin receptor B1 [Source:HGNC Symbol;Acc:HGNC:1029],null,null,2.0158675
ARL13A,ADP ribosylation factor like GTPase 13A [Source:HGNC Symbol;Acc:HGNC:31709],null,null,2.0014417
ANXA3,annexin A3 [Source:HGNC Symbol;Acc:HGNC:541],null,null,1.9988035
LACC1,laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789],null,null,1.9910955
MREG,melanoregulin [Source:HGNC Symbol;Acc:HGNC:25478],null,null,1.9883194
NCF2,neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661],null,null,1.9865745
ATP8B4,ATPase phospholipid transporting 8B4 (putative) [Source:HGNC Symbol;Acc:HGNC:13536],null,null,1.9820707
PLD2,phospholipase D2 [Source:HGNC Symbol;Acc:HGNC:9068],null,null,1.9800895
CEACAM3,CEA cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:1815],null,null,1.9749967
R3HDML,R3H domain containing like [Source:HGNC Symbol;Acc:HGNC:16249],null,null,1.969694
CBR3,carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549],null,null,1.9666715
C1S,complement C1s [Source:HGNC Symbol;Acc:HGNC:1247],null,null,1.9607131
ABCA4,ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34],null,null,1.9502522
CCL8,C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635],null,null,1.9483545
FXYD2,FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026],null,null,1.9475944
CD300C,CD300c molecule [Source:HGNC Symbol;Acc:HGNC:19320],null,null,1.940318
DUOX2,dual oxidase 2 [Source:HGNC Symbol;Acc:HGNC:13273],null,null,1.9190205
AIF1,allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352],null,null,1.9082625
DHRS9,dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888],null,null,1.9050417
IFITM3,interferon induced transmembrane protein 3 [Source:HGNC Symbol;Acc:HGNC:5414],null,null,1.9040161
DCN,decorin [Source:HGNC Symbol;Acc:HGNC:2705],null,null,1.9015899
PRCP,prolylcarboxypeptidase [Source:HGNC Symbol;Acc:HGNC:9344],null,null,1.8993707
BPI,bactericidal permeability increasing protein [Source:HGNC Symbol;Acc:HGNC:1095],null,null,1.8982539
ALOX5AP,arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436],null,null,1.8970339
ETV4,ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493],null,null,1.8944901
CXCL6,C-X-C motif chemokine ligand 6 [Source:HGNC Symbol;Acc:HGNC:10643],null,null,1.8919859
PIK3R5,phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035],null,null,1.8913804
KYNU,kynureninase [Source:HGNC Symbol;Acc:HGNC:6469],null,null,1.8905486
PLTP,phospholipid transfer protein [Source:HGNC Symbol;Acc:HGNC:9093],null,null,1.8864678
SERPING1,serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228],null,null,1.8847407
CD44,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681],null,null,1.8841939
CLU,clusterin [Source:HGNC Symbol;Acc:HGNC:2095],null,null,1.8645749
RND1,Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314],null,null,1.854791
FFAR2,free fatty acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:4501],null,null,1.8491384
ECSCR,endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:35454],null,null,1.8486768
IL12B,interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970],null,null,1.8453971
CH25H,cholesterol 25-hydroxylase [Source:HGNC Symbol;Acc:HGNC:1907],null,null,1.8374115
FABP5,fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560],null,null,1.8365816
ARL5C,ADP ribosylation factor like GTPase 5C [Source:HGNC Symbol;Acc:HGNC:31111],null,null,1.8350271
NOX1,NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889],null,null,1.8297598
C15orf62,chromosome 15 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:34489],null,null,1.8153298
RAB32,"RAB32, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9772]",null,null,1.813451
PROM1,prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454],null,null,1.8130367
GPR157,G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687],null,null,1.8096884
