NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000000001	NA	2920.476473	3593.629784	3463.097524	3880.505501	3532.564863	2745.584141	2911.792167	3149.43377	2460.034432	2786.210969
ENSMUSG00000000028	NA	106.3437584	60.41086092	107.2698818	92.38696147	121.4666367	97.07247747	70.38975922	103.7286291	101.5111606	103.033569
ENSMUSG00000000037	NA	7.301330324	14.48490061	8.22076063	3.70738897	3.951817525	3.931790626	1.896367201	4.022863627	3.121999764	6.374129232
ENSMUSG00000000049	NA	7.8112293	9.759953098	17.08572598	8.543100453	8.856349634	9.433173366	1.769159175	20.12206926	8.482098901	25.30731711
ENSMUSG00000000056	NA	466.1386032	511.2994244	713.6570539	834.101292	803.7121833	661.7014421	545.0553168	793.9389673	499.6950201	469.9063561
ENSMUSG00000000058	NA	150.6461001	162.1918636	101.041765	161.9009336	74.20893023	68.80058269	92.45849213	61.30348242	54.50097207	111.6288673
ENSMUSG00000000078	NA	2492.090963	3853.614938	2979.848762	4448.027529	3854.951056	2337.316923	4133.932385	3963.663738	3421.030381	3000.711801
ENSMUSG00000000085	NA	148.6037141	72.32964177	93.50352846	78.85932752	132.1786467	203.7524707	150.5785609	130.1737495	164.3268244	162.3870603
ENSMUSG00000000088	NA	2806.900889	3391.692906	3390.007008	5701.977902	3697.703278	2155.348183	3623.854243	4315.815483	4169.130559	2467.917885
ENSMUSG00000000093	NA	59.90971661	107.8017596	32.35832667	19.30844774	23.09102152	66.05138879	44.45710622	33.21127953	40.20508574	50.69102773
ENSMUSG00000000094	NA	0.708679161	2.211630196	2.900770658	1.052353496	0	28.3055181	8.70340283	15.279084	8.055329684	8.774073226
ENSMUSG00000000120	NA	72.94620923	111.6510316	30.04102497	11.71756626	17.95410599	27.33639357	24.37163953	21.78639531	20.91657507	54.44853333
ENSMUSG00000000125	NA	81.47104321	50.65139865	85.15322597	71.40362459	75.55066081	44.56813689	15.27528093	48.07695618	57.42592845	102.2920005
ENSMUSG00000000126	NA	13.20352011	28.34545469	11.58696942	6.378139891	18.25191221	8.827919332	15.57187489	14.39840428	13.87595052	16.09629439
ENSMUSG00000000127	NA	99.27284084	143.7752535	121.3581507	116.2557528	109.2039122	96.78230935	118.2721194	135.0851447	107.7688932	95.66731398
ENSMUSG00000000131	NA	533.3512963	415.9201548	618.8545249	317.9351569	453.8249475	677.1633048	304.068902	371.2911677	353.4857187	456.0333647
ENSMUSG00000000134	NA	192.6151035	256.4280977	345.5363646	202.1874431	386.0052668	455.7280014	313.2319709	323.3037558	347.0135284	441.7952277
ENSMUSG00000000142	NA	989.3834071	879.1488807	680.0379051	522.7132717	721.5703203	786.1719058	414.374412	318.9135301	460.5987664	718.3942048
ENSMUSG00000000148	NA	123.4438436	129.0491944	163.9047954	71.99179086	127.0774802	135.30112	132.0765559	131.9225386	122.3910285	145.6743164
ENSMUSG00000000149	NA	411.4229453	446.055389	329.0774982	189.5503998	260.5873008	630.3256909	586.2176142	367.2808654	417.3954289	521.0524749
ENSMUSG00000000154	NA	538.3439366	744.7013274	624.961131	805.7969095	739.187392	381.6018559	537.0239789	619.115141	550.4685112	453.3188182
ENSMUSG00000000157	NA	0	0	0	0	0	2.193139912	3.490333896	8.717940701	0	1.564906731
ENSMUSG00000000159	NA	590.7559192	703.6686816	793.371333	1542.255174	767.7515973	449.8796248	764.1201875	954.7665026	886.8628353	486.5977871
ENSMUSG00000000167	NA	12.95726001	5.301409761	3.96284581	6.928585373	7.782620907	6.730068389	4.601630628	13.94022251	10.72173827	6.358218323
ENSMUSG00000000168	NA	435.5832872	535.6540406	573.2809189	401.8228175	515.3644688	380.8067312	284.9994354	362.9473661	407.739618	500.489939
ENSMUSG00000000171	NA	2654.623995	2770.146604	3110.007292	7482.94815	3695.101904	1792.97704	2853.407711	4448.543085	4322.530694	2409.042956
ENSMUSG00000000184	NA	2190.031095	2555.408001	2488.869655	1550.032912	1940.996504	3147.448419	1366.820028	1760.467303	2289.522948	3277.694644
ENSMUSG00000000194	NA	850.7664184	1118.421076	1076.597215	1341.344454	1185.648884	577.2277048	967.8576845	1010.743885	699.1108966	894.16839
ENSMUSG00000000197	NA	10.04253844	15.63828997	7.731794417	3.03212795	3.218826448	2.115301082	4.232987901	2.20315543	0	5.390257536
ENSMUSG00000000202	NA	0	0	0.434863419	0	0	1.284342337	1.011668513	4.639583423	3.362130021	0.528614074
ENSMUSG00000000204	NA	7.614350938	6.644832226	35.31962157	84.86791861	29.5603831	29.39236089	61.89196659	90.23492863	72.5984075	41.67988651
ENSMUSG00000000214	NA	9.02641666	4.380963182	3.795959099	3.437039514	3.443671545	0.920297182	0	5.001261793	0.755661092	1.629664458
ENSMUSG00000000216	NA	0.717691568	0	0.972720819	0	1.060035792	2.069881826	0	0	1.146684038	0
ENSMUSG00000000223	NA	3.064706919	7.319464174	5.559483928	1.722692949	6.542788969	26.39549211	10.84701508	10.21190819	3.843349611	4.449865911
ENSMUSG00000000244	NA	49.07701145	8.427386955	23.89967097	67.68084256	13.43959756	30.3585737	71.06495937	36.82400694	43.83252846	64.82984894
ENSMUSG00000000247	NA	5.029565937	0	0.275781319	0	0	0	0	0	0	0
ENSMUSG00000000248	NA	0.468086836	3.235567281	1.853623815	5.086451408	0	0.468571221	2.643241064	9.655138127	3.435514662	0.925713358
ENSMUSG00000000253	NA	47.31296613	102.4100213	29.79453135	36.81785094	25.21303972	27.09966123	32.3980922	23.20258942	47.08673023	35.56335281
ENSMUSG00000000266	NA	366.6440578	360.8557398	385.7257773	295.9489114	305.6377621	327.0536987	233.4503733	229.9981586	222.2893798	440.0298104
ENSMUSG00000000275	NA	1210.086498	1633.609723	1697.623023	1688.254678	1467.178015	1525.35625	1280.586627	1551.997475	1554.428229	1663.969429
ENSMUSG00000000276	NA	90.05656112	103.3796335	48.57788464	41.68252126	45.50902464	81.07843111	81.28624374	33.44626297	62.93401863	73.97614375
ENSMUSG00000000278	NA	691.3475754	1035.304636	858.1500826	673.3451563	764.1761416	959.584412	840.6905461	737.7397473	683.4180162	864.7833217
ENSMUSG00000000282	NA	220.1400602	490.9922531	267.8316401	114.4277024	205.5088347	250.1338116	213.451712	162.861048	235.1842356	235.0005756
ENSMUSG00000000295	NA	74.87496645	78.10681879	61.43831599	110.7158494	79.89977834	51.82329232	116.1270167	128.397185	91.52684807	57.67011798
ENSMUSG00000000301	NA	20.77465055	11.81556861	28.15931586	15.80864593	29.97463767	27.85691656	39.24338762	30.31407059	34.28642023	10.40147627
ENSMUSG00000000303	NA	6871.963012	8826.819173	7811.838505	5588.042103	7459.165068	8564.441562	7580.263259	6856.375864	7669.69873	8481.791537
ENSMUSG00000000305	NA	1.17665519	1.394619768	0.402815306	0	1.763598355	9.307607275	5.288153662	10.86631218	5.652455477	2.591421208
ENSMUSG00000000308	NA	5842.202949	8693.427674	9422.421712	12256.52268	10757.38526	4623.840905	8129.833399	8756.549242	8832.348838	5654.580546
ENSMUSG00000000317	NA	14.72864666	24.6485717	10.65773524	3.099007404	3.229029741	13.17231712	6.507053654	6.655095455	7.916140259	9.166551524
ENSMUSG00000000318	NA	15.79526905	11.33946053	16.27083001	36.70160409	6.965569534	42.09905098	26.54134422	36.46584789	25.40638398	8.585281582
ENSMUSG00000000320	NA	10.51409295	15.65020655	2.620638154	2.518994207	2.555391376	2.755148206	0.973888984	0	0	5.766799266
ENSMUSG00000000325	NA	33.42810103	118.580379	83.43099943	45.03850655	29.74134412	85.83045195	0	30.98326112	46.89175282	27.31900383
ENSMUSG00000000326	NA	1016.184458	1265.942152	1090.950691	1635.039905	1304.471524	757.3404041	943.976879	1098.54219	1036.06992	882.828535
ENSMUSG00000000339	NA	337.1132101	357.9032165	275.8345402	394.3186659	403.7611675	217.6219894	303.7016717	315.9602872	275.5001601	262.2000046
ENSMUSG00000000340	NA	203.0068276	256.9753889	170.8807405	226.7644862	178.9366809	234.5546258	186.3701158	158.0631803	148.2112962	252.161574
ENSMUSG00000000346	NA	3336.875464	3863.316319	3132.900628	4089.278867	3513.643852	2827.102415	4330.738198	3498.321402	3426.709292	2899.18005
ENSMUSG00000000355	NA	158.8246104	142.6347895	224.3071493	299.3998086	179.6758547	175.5603455	254.51524	212.574478	240.7636956	200.0192223
ENSMUSG00000000359	NA	7.27279403	14.80510425	4.988489209	6.278071367	20.39405889	8.979344559	32.67760468	5.359960246	4.344160238	10.10947752
ENSMUSG00000000374	NA	1280.841375	1329.659407	1287.856004	986.2522075	1532.914649	912.7658451	787.8745325	792.5273028	725.5340699	939.3722105
ENSMUSG00000000378	NA	289.9200291	183.0265103	151.867823	252.8223	152.7240292	311.3346251	324.6083809	267.5085003	261.6068438	210.6092041
ENSMUSG00000000384	NA	512.8021191	403.2640748	492.5178588	605.6619519	560.7223452	530.5843575	429.730191	441.654858	340.5686471	452.9936344
ENSMUSG00000000385	NA	1006.692125	784.6078152	1352.991056	1659.128551	1413.710634	1548.712079	1381.007887	2015.083689	1760.522474	1578.917352
ENSMUSG00000000386	NA	17.8640017	3.251771653	29.15743089	44.21490387	15.18283652	19.43295168	19.25639607	21.23542053	49.09712994	6.093216563
ENSMUSG00000000392	NA	10.97809037	3.568772801	18.22966993	16.43403041	7.360719713	19.09533747	9.737640309	11.80836285	6.862828427	30.26861808
