"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04974","mmu04974","Protein digestion and absorption","25/727","70/6035",2.22090933156032e-07,6.08818059284078e-05,5.13114713367591e-05,"20540/17254/72472/328059/74338/50934/12818/17287/20532/17288/20510/56643/12832/11931/17380/12843/11928/13482/170745/12817/11936/72461/69700/100040591/665033",25
"mmu04064","mmu04064","NF-kappa B signaling pathway","29/727","91/6035",4.04530271949553e-07,6.08818059284078e-05,5.13114713367591e-05,"16803/53859/18035/18792/21943/21926/22030/22329/12042/330122/14825/24099/11796/19225/240354/66724/15894/21898/12475/225471/20310/17060/24047/100039053/100041504/100504346/12995/18829/100504362",29
"mmu03320","mmu03320","PPAR signaling pathway","22/727","63/6035",1.84256072188079e-06,0.000184870259095372,0.000155809520692375,"19015/57875/235674/20181/18830/216739/16204/11430/74147/14079/433256/20411/14933/104086/18534/16592/15360/11832/108078/109264/74205/26569",22
"mmu04978","mmu04978","Mineral absorption","17/727","45/6035",8.20874647959931e-06,0.000617708172589848,0.000520607342521957,"13487/142681/20537/52466/74338/12724/171429/14319/11931/15203/11928/22782/12309/14325/11936/72027/20529",17
"mmu04668","mmu04668","TNF signaling pathway","27/727","96/6035",1.4329391729065e-05,0.000825056066311169,0.000695361119010287,"17387/74568/12977/53859/18035/26410/21926/20297/22030/22329/21938/20311/330122/14825/14205/11796/19225/26398/15945/20296/66724/67384/15894/16477/12051/257632/20310",27
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor","24/727","81/6035",1.64463003251396e-05,0.000825056066311169,0.000695361119010287,"20307/12977/21926/16174/20297/21938/20311/330122/14825/17329/20295/16154/15945/20306/20296/16173/13051/20310/24047/100039053/100041504/100504346/18829/100504362",24
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation","9/727","16/6035",2.65160241007051e-05,0.00114018903633032,0.000960956662897733,"11826/17449/14661/27376/11931/18534/11928/11936/54403",9
"mmu04973","mmu04973","Carbohydrate digestion and absorption","13/727","33/6035",5.76200031141369e-05,0.0021679526171694,0.00182716062506671,"15277/20537/216019/226413/11931/20526/56485/14385/11928/15275/18796/18795/11936",13
"mmu05323","mmu05323","Rheumatoid arthritis","22/727","78/6035",8.43301299184724e-05,0.00279269328549976,0.00235369498795398,"12977/13039/21943/22339/21926/20297/24088/13038/20311/330122/14825/14254/16408/24099/20296/15894/21871/140494/21898/16173/76252/20310",22
"mmu04976","mmu04976","Bile secretion","20/727","68/6035",9.27805078239122e-05,0.00279269328549976,0.00235369498795398,"11826/20537/20181/104111/20494/67470/11931/20525/18669/100727/64008/239273/11928/106407/12012/27409/22238/11936/54403/231396",20
