"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04974","mmu04974","Protein digestion and absorption","27/739","77/6093",1.30289066568151e-07,4.01290325029906e-05,3.41494500794418e-05,"20540/17254/72472/328059/74338/50934/12818/17287/20532/17288/20510/56643/12832/11931/17380/12843/11928/13482/170745/329941/12817/11936/72461/237759/69700/100040591/665033",27
"mmu03320","mmu03320","PPAR signaling pathway","22/739","63/6093",2.07193171806042e-06,0.000319077484581305,0.000271532104103708,"19015/57875/235674/20181/18830/216739/16204/11430/74147/14079/433256/20411/14933/104086/18534/16592/15360/11832/108078/109264/74205/26569",22
"mmu04064","mmu04064","NF-kappa B signaling pathway","26/739","88/6093",8.82970026619748e-06,0.000906515893996275,0.000771436970625675,"16803/53859/18035/18792/21943/21926/22030/22329/12042/330122/14825/24099/11796/19225/240354/66724/15894/21898/12475/225471/20310/17060/24047/100504346/12995/18829",26
"mmu04978","mmu04978","Mineral absorption","17/739","46/6093",1.27087950671086e-05,0.000978577220167361,0.000832760518871063,"13487/142681/20537/52466/74338/12724/171429/14319/11931/15203/11928/22782/12309/14325/11936/72027/20529",17
"mmu04668","mmu04668","TNF signaling pathway","27/739","96/6093",1.62800180230047e-05,0.00100284911021709,0.000853415681626985,"17387/74568/12977/53859/18035/26410/21926/20297/22030/22329/21938/20311/330122/14825/14205/11796/19225/26398/15945/20296/66724/67384/15894/16477/12051/257632/20310",27
"mmu04964","mmu04964","Proximal tubule bicarbonate reclamation","9/739","16/6093",2.80477682858469e-05,0.00143978543867347,0.00122524461459226,"11826/17449/14661/27376/11931/18534/11928/11936/54403",9
"mmu04976","mmu04976","Bile secretion","21/739","69/6093",3.93337885522145e-05,0.00173068669629744,0.00147279899992502,"11826/20537/20181/104111/20494/67470/11931/20525/18669/100727/64008/239273/11928/106407/12012/27409/22238/11936/54403/231396/230161",21
"mmu04973","mmu04973","Carbohydrate digestion and absorption","13/739","33/6093",6.19720424777414e-05,0.00238592363539304,0.00203039981275758,"15277/20537/216019/226413/11931/20526/56485/14385/11928/15275/18796/18795/11936",13
"mmu05323","mmu05323","Rheumatoid arthritis","22/739","78/6093",9.35756736294937e-05,0.00320236749754267,0.00272518628464841,"12977/13039/21943/22339/21926/20297/24088/13038/20311/330122/14825/14254/16408/24099/20296/15894/21871/140494/21898/16173/76252/20310",22
"mmu00330","mmu00330","Arginine and proline metabolism","15/739","44/6093",0.000120721900980417,0.00371823455019684,0.00316418456253935,"18452/18451/14431/17161/14718/56752/67092/228608/212647/242669/18242/72535/66988/109731/338403",15
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor","21/739","77/6093",0.000225870569921563,0.00632437595780377,0.00538198774262864,"20307/12977/21926/16174/20297/21938/20311/330122/14825/17329/20295/16154/15945/20306/20296/16173/13051/20310/24047/100504346/18829",21
"mmu00561","mmu00561","Glycerolipid metabolism","15/739","47/6093",0.000278085674806911,0.00713753232004405,0.00607397658130884,"110524/13350/14933/56752/67916/231510/14187/225913/72535/217480/218121/11997/233549/225010/227333",15
"mmu00380","mmu00380","Tryptophan metabolism","13/739","40/6093",0.000578546590159158,0.0129183499044029,0.0109934009781145,"21743/78920/74147/13078/17161/56752/70789/12359/72535/98256/109731/14204/100328588",13
"mmu00140","mmu00140","Steroid hormone biosynthesis","15/739","50/6093",0.000587197722927403,0.0129183499044029,0.0109934009781145,"13074/76279/13078/100727/56388/13113/13088/192970/13123/337924/22238/56448/72303/231396/223706",15
"mmu00564","mmu00564","Glycerophospholipid metabolism","20/739","77/6093",0.000633688641267117,0.0130117401006848,0.0110728752052991,"18807/110524/18806/14555/27388/99010/18805/67916/231510/74596/75320/52858/270084/217480/218121/18782/237928/225010/18783/227333",20
"mmu00830","mmu00830","Retinol metabolism","17/739","62/6093",0.000820506723041958,0.0157947544185577,0.0134411956603584,"13350/26358/98711/241452/79235/100727/56388/13113/13088/63857/11668/337924/22238/103142/20148/72303/231396",17
"mmu04657","mmu04657","IL-17 signaling pathway","20/739","79/6093",0.000901635655603627,0.0163355165838775,0.0139013794579135,"22032/18035/21926/225724/20297/16819/22030/20311/330122/14825/171095/20295/19225/15945/20306/20296/66724/20201/20202/20310",20
"mmu00250","mmu00250","Alanine, aspartate and glutamate metabolism","11/739","33/6093",0.00120172822510268,0.0205629051850903,0.0174988495936004,"11565/11484/14661/14718/14645/212647/108682/268860/14204/100328588/11898",11
"mmu04610","mmu04610","Complement and coagulation cascades","18/739","70/6093",0.00132257943148468,0.0214397086788042,0.0182450015756058,"18792/12759/12274/19128/12258/12266/12628/19124/16411/14058/18787/12061/50909/333883/12268/20702/317677/667277",18
"mmu00051","mmu00051","Fructose and mannose metabolism","10/739","31/6093",0.00263477001156744,0.0405754581781385,0.0345293543621206,"15277/216019/18641/170768/20322/16548/14187/225913/15275/11997",10
"mmu00565","mmu00565","Ether lipid metabolism","11/739","37/6093",0.00336994550094056,0.0479398577474041,0.0407963929566084,"18807/18806/18606/99010/18805/67916/270084/18782/68255/18783/66569",11
"mmu04216","mmu04216","Ferroptosis","10/739","32/6093",0.00342427555338601,0.0479398577474041,0.0407963929566084,"12870/17254/11687/216739/213053/14319/433256/26570/74205/14325",10
