"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04380","mmu04380","Osteoclast differentiation","16/90","108/6275",1.4329609383724e-12,2.30706711077956e-10,1.84022352085719e-10,"20375/21803/16822/13057/17969/83433/14130/16176/16175/22177/19261/19094/18733/14131/232801/17972",16
"mmu05140","mmu05140","Leishmaniasis","12/90","65/6275",7.75388598453009e-11,6.24187821754672e-09,4.978811000593e-09,"16414/21803/13057/13058/17969/16176/16175/16409/17357/19094/14131/17972",12
"mmu05150","mmu05150","Staphylococcus aureus infection","11/90","97/6275",1.02945180179621e-07,4.30403784064719e-06,3.43309981405006e-06,"16414/14130/16409/12259/12262/12260/14293/20345/14289/19204/14131",11
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","16/90","228/6275",1.06932617158936e-07,4.30403784064719e-06,3.43309981405006e-06,"21803/320100/66102/20308/55985/12768/16178/12765/16176/16175/21942/16186/57914/215257/12983/12984",16
"mmu05152","mmu05152","Tuberculosis","12/90","143/6275",7.37544769308952e-07,2.37489415717483e-05,1.89432551275141e-05,"16414/21803/14130/16176/16175/242341/56619/16409/19094/12608/14127/14131",12
"mmu04670","mmu04670","Leukocyte transendothelial migration","10/90","97/6275",1.00406085753813e-06,2.69422996772732e-05,2.14904253718688e-05,"16414/13057/13058/17969/17395/17898/16409/19354/19094/17972",10
"mmu05133","mmu05133","Pertussis","8/90","65/6275",3.38445262831979e-06,7.78424104513551e-05,6.20907098729344e-05,"16414/16176/16175/16409/12259/12262/12260/19094",8
"mmu04145","mmu04145","Phagosome","11/90","154/6275",1.06670692429189e-05,0.000214674768513743,0.000171234532583698,"16414/13057/13058/17969/20288/17167/14130/242341/16409/14131/17972",11
"mmu05020","mmu05020","Prion diseases","5/90","31/6275",6.87079369880328e-05,0.00112768852909329,0.000899496571097625,"16176/16175/12259/12262/12260",5
"mmu04062","mmu04062","Chemokine signaling pathway","10/90","156/6275",7.00427657821921e-05,0.00112768852909329,0.000899496571097625,"15162/17969/66102/20308/55985/12768/12765/14191/19354/277360",10
"mmu04610","mmu04610","Complement and coagulation cascades","7/90","74/6275",8.14083792675956e-05,0.00115216086551858,0.000919016839446009,"16414/16409/14068/12259/12262/12260/18793",7
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","9/90","129/6275",8.58753440138074e-05,0.00115216086551858,0.000919016839446009,"15368/13057/17969/17395/16178/16176/16175/19354/19094",9
"mmu05323","mmu05323","Rheumatoid arthritis","7/90","80/6275",0.00013404163686966,0.00166005411815502,0.0013241360079432,"16414/21803/12524/16176/16175/242341/17392",7
"mmu05202","mmu05202","Transcriptional misregulation in cancer","9/90","190/6275",0.00150518708847493,0.0173096515174617,0.0138069793078151,"20375/17395/12524/16178/16409/17392/12608/12045/12044",9
"mmu05146","mmu05146","Amoebiasis","6/90","91/6275",0.00184724222350118,0.0196589034399462,0.0156808513872078,"16414/21803/16178/16176/16409/20708",6
"mmu05142","mmu05142","Chagas disease","6/90","92/6275",0.0019536798449636,0.0196589034399462,0.0156808513872078,"21803/16176/12259/12262/12260/19094",6
"mmu04662","mmu04662","B cell receptor signaling pathway","5/90","64/6275",0.00212627902473617,0.020137113116619,0.0160622935614745,"18037/14130/19354/18733/232801",5
"mmu04625","mmu04625","C-type lectin receptor signaling pathway","6/90","95/6275",0.00230102551104424,0.0205813948487846,0.0164166732366899,"56620/16176/56619/17474/19094/14127",6
"mmu04142","mmu04142","Lysosome","6/90","110/6275",0.00477949557704921,0.0404999362055222,0.0323046238448755,"14667/16541/12514/18173/242341/16792",6
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","5/90","78/6275",0.00503327959116895,0.0405179007089101,0.032318953164348,"15162/17969/14130/19354/17357",5
"mmu04657","mmu04657","IL-17 signaling pathway","5/90","80/6275",0.00560495082406002,0.0429712896511268,0.034275889751144,"17395/16176/17392/19094/12608",5
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor","5/90","83/6275",0.00654643359018111,0.0479079912735981,0.0382136314833539,"20308/55985/12768/12765/16186",5
