Row,cCD_PC1,cCD_PC2,cCD_PC3,cCD_PC4,cCD_PC5,cCD_PC6,cCD_PC7,cCD_PC8,cCD_PC9,cCD_PC10,cCD_PC11,cCD_PC12,cCD_PC13,cCD_PC14,cCD_PC15,cCD_PC16
A1CF,0.034587813,-0.000944618,0.002333735,0.005419441,-0.022618732,-0.010109222,0.006482617,-0.004288119,0.012331335,-0.01336758,-0.002201727,-0.017704872,-0.023129511,-0.001212386,-0.011008174,0.009753119
AAGAB,0.004850067,-0.020147091,-0.028487229,0.001249937,-0.020999551,0.001823028,-0.042315558,0.034138274,-0.00800066,0.008925093,0.015651011,-0.014832576,0.002675159,0.000135513,0.002016747,-0.01412182
AAMDC,0.031137048,0.010348672,-0.010873291,0.013993464,-0.012774563,-0.008762619,0.004170392,-0.003928771,0.01876542,0.0019858,0.01016341,0.00392449,0.003230988,-0.009344454,-0.009421674,0.007412616
AAMP,0.010726461,0.007053497,0.002115143,-0.000578925,-0.006457777,0.023267689,-0.04645065,0.005810292,0.019476508,0.025962384,0.016537692,-0.0396918,-0.021214535,-0.012222794,-0.001919029,-0.035153061
AARS2,-0.001802433,0.030887941,0.023795823,0.022147256,0.009702403,0.012102773,0.002434356,0.017938293,-0.015293488,-0.001455277,-0.026444605,-0.016644121,0.004584953,0.002240411,0.006402656,-0.001757202
AASDHPPT,-0.023888957,-0.008281234,-0.003190914,0.018828317,0.015951025,0.019386164,0.007334681,0.004035848,-0.019868121,-0.004084029,-0.013223712,-0.000589847,-0.007910542,0.031055253,-0.013463823,0.018167352
ABCA1,-0.00660295,-0.0272132,-0.003425298,-0.013870001,-0.002928783,0.035775631,0.021360833,-0.028641714,-0.00608421,-0.020090311,-0.002838126,-0.021547179,-0.00793686,0.014964184,-0.016283418,0.013684961
ABCA13,-0.010478956,-0.001882531,-0.008207479,-0.006644127,0.007960156,-0.015597437,0.015296813,0.008208258,0.017009149,0.00575435,0.054366598,0.031903801,0.002599266,-0.012756749,-0.061538785,-0.001990125
ABCB10,0.004986556,0.025828233,0.009384459,0.004950287,-0.019355093,0.03999383,-0.002364211,-0.007895243,0.014915344,-0.031964242,0.013404494,-0.0031219,-0.013320809,-0.010881464,0.004862594,-0.023438256
ABCB11,0.025251174,-0.000460735,-0.012475147,0.002678718,-0.030198403,-0.009537402,0.014633679,-0.002598211,0.007625734,-0.009399617,-0.001374162,-0.008676087,-0.014635459,-0.037145239,-0.03123784,0.020957109
ABCC2,-0.013986864,0.019647491,0.010887655,0.013429522,0.012872067,-0.019213218,-0.014529788,-0.00586344,-0.001471449,0.011420055,-0.038533435,-0.041776399,-0.027742781,-0.018410638,0.010980459,-0.012668781
ABCC4,-0.012789127,-0.012899593,-0.026001563,0.029976472,-0.000711939,0.018153447,0.006902805,0.01703029,0.013187383,-0.01224993,-0.018068901,-0.009581313,-0.001450582,0.002468342,0.014336646,-0.011582532
ABCC8,0.019333733,0.001691403,-0.009754156,-0.002777462,-0.006168894,-0.000675063,-0.000489275,0.002386531,0.01423967,0.026994557,-0.016618721,-0.021101145,0.038667712,0.068277465,-0.025287503,-0.009752428
ABCD1,0.031688307,0.003303754,0.011172037,0.014656626,0.017063544,-0.003949858,0.004460968,-0.013476241,0.020343165,0.019778279,0.014004546,-0.017368255,0.020846232,-0.015834071,-0.003700726,0.005509234
ABCD3,0.038134499,0.000199955,-0.009272996,0.00413982,0.000773701,-0.000796277,0.015040018,-0.004062421,-0.006419081,0.003664154,-0.003157655,0.006792339,0.001158618,0.01977426,-0.004248437,0.004227036
ABCD4,0.010365075,-0.011606793,-0.007721132,0.006408921,0.020626135,-0.018524741,0.01078569,0.003061625,-0.015948329,0.050661284,0.031725115,-0.010151386,0.026436943,-0.004144321,0.027578039,0.000895745
ABCE1,-0.015419722,-0.031585114,0.01291542,0.02807611,0.001817953,0.017630258,-0.001235329,-0.001041099,-0.015090087,-0.00877971,-0.008410188,0.01026938,-0.005537928,0.013611816,0.01177663,-0.013249346
ABCF3,-0.003251854,0.009131586,-3.87E-05,0.002875898,0.029484777,-0.010600791,0.02059545,0.016443414,0.027229633,-0.007261548,-0.000858382,0.028179061,0.046639373,-0.032797891,0.011424003,-0.001504232
ABCG2,0.01285133,0.022595417,0.005633,-0.006646252,-0.01130072,-0.010472644,-0.046559832,-0.012886073,-0.027031855,-0.01948997,-0.011730687,0.005834614,0.00716648,-0.010122697,0.018823973,0.022870092
ABCG5,0.029600626,0.010242631,-0.008890007,0.026441906,0.019963868,0.001731375,-0.00836967,-0.003324745,0.003909523,0.010674397,0.011335035,-0.013940617,-0.002914727,-0.033689454,0.005467277,-0.001468156
ABCG8,0.031430936,-0.019827827,-0.004754338,-0.012812321,0.021368605,-0.000520335,-0.002013755,-0.007098048,0.001479707,-0.012548667,0.000404366,0.005420655,0.012446713,-0.006957629,-0.016443684,-0.009950277
ABHD12,0.033316157,0.012006436,-0.026145906,-0.003994444,0.001305771,-0.011172478,0.00706231,-0.002035124,0.001355891,-0.003241244,0.006105463,0.002697495,-0.001889653,0.021028328,-0.008149371,-0.002142206
ABHD15,0.000390904,-0.005309793,0.020287404,-0.032640578,0.006517167,0.011296232,0.001364591,0.001533019,0.012722461,-0.010893536,-0.001172072,-0.018859042,0.010733071,0.011808426,0.033422419,0.024925938
ABHD17B,0.010003752,-0.017907207,0.027476933,-0.03849555,0.020670011,0.015124798,-0.00525707,-0.000286323,0.008576482,-0.019139106,-0.013877869,-0.006242406,0.011467015,0.000254702,-0.020248283,0.01535921
ABHD18,0.027764674,0.018337913,-0.005466534,0.0009308,0.002361804,-0.000148589,0.004467088,-0.013615045,0.00714155,0.024752156,0.001202345,-0.000346595,0.040657038,0.023413018,0.017290592,-0.012812259
ABHD3,0.019455878,0.00929991,-0.014859783,0.003715044,-0.011957896,-0.021963009,0.028161501,0.007020732,0.011032278,-0.015334682,0.002089056,0.01379475,-0.02196593,0.018411137,-0.031203771,-0.005420917
ABHD4,0.011299566,0.022427128,-0.039649154,-0.017935781,-0.008848277,-0.005422235,0.001984681,0.010397408,0.025119805,-0.000862215,0.002857292,0.003827406,0.022263658,0.023395576,-0.009151005,0.01136947
ABHD8,-0.011280753,0.014966623,0.025570539,-0.009143182,0.006184399,-0.01693986,-0.007785451,-0.045025608,0.005464864,-0.012515265,0.027421041,0.010155239,-0.008382795,0.011070009,-0.046024859,-0.008928831
ABI3,-0.000808273,-0.011300636,0.010781736,-0.001067861,0.002005091,-0.000872216,-0.021190103,0.034094892,-0.004646546,-0.005953811,-0.00770163,-0.001092658,0.039427493,0.0264493,0.03370247,-0.004440946
ABLIM1,0.004031014,0.007403038,0.006601156,-0.003209346,-0.003833917,-0.046767422,-0.033405516,0.04083002,-0.013310137,-0.009592697,0.004616582,0.015472836,-0.030951614,0.006265872,0.004102191,0.014116804
ABO,0.014174676,-0.000623503,-0.015394155,-0.034370219,-0.011519341,0.007072418,-0.024116387,-0.012011318,-0.006093636,0.015715366,0.018724284,0.04268295,0.026592527,-0.003441091,-0.000164132,-0.008586229
ABR,0.02621981,0.025883273,0.01239319,-0.012125235,-0.00229725,-0.006333969,0.021865748,0.002632898,0.014242445,-0.004093138,0.010401695,-0.023203732,-0.000931628,-0.006542968,-0.019067068,-0.002215799
