Row,iCD_PC1,iCD_PC2,iCD_PC3,iCD_PC4,iCD_PC5,iCD_PC6,iCD_PC7,iCD_PC8,iCD_PC9,iCD_PC10,iCD_PC11,iCD_PC12,iCD_PC13,iCD_PC14,iCD_PC15,iCD_PC16
A1CF,0.032705643,0.020051616,0.001698145,0.006317595,0.018084988,0.011432377,-0.005766602,-0.006936271,-0.008008745,-0.006576724,0.016683043,0.018514175,-0.018195963,0.013514048,0.013729673,-0.003898197
AAGAB,0.00321657,0.033985667,-0.002450038,-0.034419795,-0.013988595,0.000298529,-0.003441733,-0.005681799,-0.029517674,0.02069033,-0.000201462,-0.024241591,-0.013979667,-0.00491005,0.005890461,0.002387485
AAMDC,0.018079351,-0.008706207,-0.002919254,4.55E-05,-0.013419184,0.036642509,-0.000110143,-0.007082044,-0.007985276,-0.040888814,-0.02217634,-0.010860855,-0.001572573,-0.00350951,-0.03177093,0.035729493
AAMP,-0.012259579,0.022604126,0.003473226,0.010522614,-0.007536786,-0.012068512,0.023091853,-0.004970493,-0.01292962,0.010774952,-0.041039649,-0.013611591,-0.015033252,-0.035096032,0.009865404,0.020405197
AARS2,0.016981316,-0.030488607,0.01272388,0.010649869,-0.013355004,-0.021910267,-0.011304761,0.016388006,-0.00538556,0.019907481,-0.018589527,-0.02890739,-0.004074173,0.024118497,-0.006878071,-0.003680743
AASDHPPT,-0.005326608,-0.014553118,0.037933911,0.022061706,-0.005454161,0.001456543,-0.016781671,-0.022219649,0.02278837,0.022154438,0.005233482,0.014304111,0.019818775,-0.01300784,-0.014382182,0.010927506
ABCA1,-0.031232908,0.008839807,0.02376876,-0.000997606,0.018068071,-0.006522826,0.020002515,0.005556198,-0.002941819,-0.013208631,0.001808727,-0.019751298,-0.00625382,-0.00929951,0.009111487,-0.008175805
ABCA13,-0.013619896,0.011502006,-0.014155126,0.017915124,-0.008168046,0.00970248,-0.015470381,-0.047210417,0.024432478,0.024886733,-0.012561561,-0.029868777,0.009034741,0.002936661,-0.005801262,-0.024112025
ABCB10,-0.012704331,-0.01455795,-0.004799327,-0.003036621,-0.018121277,-0.001062372,0.004713124,0.018295804,0.001377028,-0.056648665,-0.00202914,-0.01903657,-0.007484875,-0.002351304,0.013735502,0.006130634
ABCB11,0.007635902,-0.002479505,0.001373379,-0.022731699,-0.019213375,-0.008142894,0.02079642,0.024001361,0.020371244,-0.037286802,-0.003964048,-0.015760507,-0.028472737,-0.017886362,-0.006366842,0.016188091
ABCC2,-0.015417968,-0.006139372,-0.010667912,0.020686594,0.027153959,0.017712428,0.002869745,-0.008064003,-0.015608332,0.002138475,-0.010493851,0.002317892,0.034508445,0.018782075,0.018282937,-0.041597016
ABCC4,-0.013690004,-0.018701674,0.013590646,-0.009663584,0.005566603,0.017045555,-0.013826073,0.018887958,-0.02289772,0.004482959,-0.043058409,-0.000922247,0.003348136,-0.034506932,0.038004448,-0.006639391
ABCC8,-0.000988843,0.015291594,-0.004524891,0.029057524,0.005468157,-0.017422607,-0.025020936,0.013466552,-0.028474611,-0.010860912,-0.018917695,0.00570168,0.028300025,-0.008094458,0.014079742,-0.032783442
ABCD1,0.024479541,0.002068486,-0.010667955,0.019477368,0.00227773,-0.009304435,0.036175715,0.012754975,-0.033308602,-0.024823352,-0.02679598,0.011812414,-0.008934936,-0.005716894,-0.002882791,0.007158857
ABCD3,0.018587004,-0.001008288,-0.014704285,0.044246424,-0.014802637,-0.012777746,-0.004863192,0.00437793,0.010610934,0.00359656,-0.004683047,-0.015740695,0.00734814,-0.005769825,0.007986645,0.001570244
ABCD4,0.027755082,-0.012077852,-0.009154476,-0.008889447,0.008008981,0.00228547,0.02232647,-0.012615996,-0.011192195,0.00014153,-0.025570547,-0.001200862,0.008689676,-0.004064939,0.016640719,0.010481911
ABCE1,-0.026799159,0.015370855,0.034936424,-0.000839188,-0.012957394,0.006331167,-0.007547599,-0.000393443,0.006855937,0.010897857,0.010989601,0.006033741,0.007454055,-0.006551392,0.007818694,-0.017262891
ABCF3,0.003816826,-0.008539317,-0.003633742,0.02719964,0.031678231,0.029180818,0.012550495,0.004787227,-0.016063737,0.017565384,0.017927284,0.010541967,-0.03439105,0.006138067,-0.017545073,0.028596012
ABCG2,0.003961485,-0.01369788,0.000952773,0.003546559,-0.001434774,-0.011029892,-0.025815341,0.020121485,-0.019716997,0.03397171,0.033481183,0.039085633,-0.017470324,-0.024002957,0.002402161,0.034608747
ABCG5,0.037137169,0.002615441,0.019354739,0.007435928,0.002031963,-0.01171971,0.003194182,0.012289544,0.002324988,0.012247312,-0.000167925,0.011978016,-0.01016523,-0.00166893,0.003784562,-0.004332733
ABCG8,0.023120927,-0.016410687,0.010616086,-0.01780048,-0.039495229,0.006561579,-0.007016971,0.017764441,0.008974255,-0.003585246,0.014335308,0.010932439,-0.007149206,0.005723812,0.003587676,0.019519032
ABHD12,0.034975398,0.01250593,0.004971406,-0.001828953,-0.001652269,-0.003302929,-0.030080588,-0.005812836,-0.002554478,-0.001965152,0.020205213,0.012609371,-0.00657344,-0.001047074,0.015446361,-0.012331258
ABHD15,-0.000970323,-0.002360286,-0.012916568,0.015911314,0.026314143,-0.018062351,0.019294826,-0.02228355,0.008250709,0.022961494,0.005392309,0.042960152,0.012610422,0.022639237,-0.021499573,-0.017272784
ABHD17B,-0.006373336,0.009155968,-0.016328007,0.021011588,-0.040654439,0.022061732,0.020584765,0.02189186,0.010009981,0.009961063,0.006816522,0.0006078,0.014140861,-0.013272284,-0.013532825,-0.009871619
ABHD18,0.02836361,0.007225804,0.008660608,-0.006536061,-0.019549173,0.01877312,-0.016621565,0.014819474,0.021114593,0.010661442,0.01532025,0.009596577,0.021135045,-0.028590348,-0.004164918,0.011742544
ABHD3,0.000306072,-0.016638349,-0.01391027,0.018883121,0.002727872,0.01126825,0.000880933,0.001749252,0.015594723,0.02645133,-0.009485964,-0.018232602,0.018501137,-0.049973708,0.020811311,0.001364311
ABHD4,0.017565206,-0.033008841,-0.012296488,-0.001577286,0.008170119,-0.015319234,-0.022143812,-0.008582534,0.009588537,-0.006258011,-0.004459769,-0.008584277,-0.024929049,-0.009696046,-0.026624911,-0.004577394
ABHD8,-0.013785145,-0.005396227,-0.031388514,0.01451912,-0.003929928,0.016791619,0.030653971,-0.018455918,-0.01758731,-0.013011762,0.017742508,0.007379244,0.012819967,0.028308691,-0.008987557,0.009312861
ABI3,0.011810775,-0.011321394,0.01017641,-0.008645286,0.004459414,-0.020136671,-0.027882779,-0.007506564,0.000337554,0.008370199,0.008663358,-0.008726625,-0.026784538,0.022511272,-0.014157626,-0.052737268
ABLIM1,-0.006793585,0.009701795,-0.021187203,0.00347625,-0.002912555,-0.018386876,-0.013624546,-0.027738661,-0.025219291,0.014581664,0.002325356,-0.051748218,0.01640817,-0.009471499,-0.024882674,-0.004344215
ABO,0.018492434,-0.021790337,-0.011892027,-0.014222964,-0.018702672,-0.020029518,-0.008993174,0.030865901,0.005849373,-0.011354264,0.017334464,-0.017549455,0.017388796,0.031716085,0.01010437,-0.00056013
ABR,-0.016184913,-0.012778913,-0.020997115,0.025000682,-0.018021146,-0.026477262,-0.006548174,-0.009566311,-0.011555082,-0.009153723,0.011411681,-0.0015808,0.009747977,-0.024824911,-0.02580035,0.029163575
ABTB1,-0.019331091,0.00106557,0.016557142,-0.014074858,0.037463473,0.003741592,0.016698592,0.007111657,-0.020065499,0.010402513,-0.017977094,-0.007521314,-0.022127055,0.001584101,0.023113956,0.002005947
ABTB2,0.023572769,-0.016679383,-0.020029858,-0.01483156,0.006157271,-0.010941543,-0.00043509,0.008708524,0.021828222,0.015351343,-0.02540773,-0.020052086,-0.012649588,-0.019377826,-0.006661757,-0.000769882
ACAA1,0.036509231,0.003405958,-0.003280855,-0.005130114,-0.007061013,0.000581198,-0.014516863,0.007742398,-0.017553395,-0.0234106,-0.00968867,-0.018979737,0.000688282,0.010682589,0.00067551,-0.003037406
