"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001",3709.92871799597,-0.123582479102972,0.149668104325891,-0.820897829363134,0.411704467578733,0.999858891085603
"ENSMUSG00000000003",15.2418073595531,-0.0991935380154743,0.0860668658242153,-0.646459554279131,NA,NA
"ENSMUSG00000000028",240.001708805335,0.0482707910361913,0.228108057769592,0.36382796682698,0.715986477307755,0.999858891085603
"ENSMUSG00000000037",7.55843250936372,0.0363863948375521,0.174777812104217,0.356065026717932,0.72179186769996,0.999858891085603
"ENSMUSG00000000049",3.03830543262224,0.227662510520967,0.176971079782409,1.57178106305847,0.116001334766256,0.999858891085603
"ENSMUSG00000000056",712.829052153154,0.124102085594611,0.22972567895345,0.690216115415595,0.490058290425909,0.999858891085603
"ENSMUSG00000000058",255.007248210547,-0.0350541285534986,0.223923202043752,-0.0729183423839886,0.94187109768684,0.999858891085603
"ENSMUSG00000000078",3688.8099728942,-0.187887940719393,0.139184445217108,-1.3323989311516,0.182729133160838,0.999858891085603
"ENSMUSG00000000085",466.505471218383,0.237854370024282,0.162013291919497,1.43559187660337,0.151118507616531,0.999858891085603
"ENSMUSG00000000088",6855.57296359604,0.185650764953323,0.227511130353812,0.795349387413975,0.426410292416407,0.999858891085603
"ENSMUSG00000000093",52.624894128604,0.239593798362574,0.232691492351084,0.864597753264794,0.387259606109898,0.999858891085603
"ENSMUSG00000000094",6.33955806736322,0.0370034578785958,0.209762133511603,-0.111718218495313,0.911046833490967,0.999858891085603
"ENSMUSG00000000120",39.705221042126,-0.102414626391398,0.241724966940812,-0.657220677345999,0.511039031968001,0.999858891085603
"ENSMUSG00000000125",0.947870478292797,0.0573115755307819,0.123500200849662,0.562511038261533,0.573767885107721,0.999858891085603
"ENSMUSG00000000126",10.0300385143,-0.206777118920531,0.234806316042088,-1.18404021242091,0.236397145101213,0.999858891085603
"ENSMUSG00000000127",220.711554839142,-0.054792472715645,0.206920881299833,-0.168316836319429,0.86633402935159,0.999858891085603
"ENSMUSG00000000131",896.416208227947,-0.236335675375404,0.192718689668929,-1.19568071733617,0.231821178978846,0.999858891085603
"ENSMUSG00000000134",509.109993006094,-0.0758917536713222,0.217066918323668,-0.379265293362663,0.704490869678662,0.999858891085603
"ENSMUSG00000000142",378.626158182862,-0.0990826525793166,0.24526112834355,-0.557577954003582,0.577132614142143,0.999858891085603
"ENSMUSG00000000148",171.540221637246,-0.081019103451291,0.169537445302816,-0.510360803866521,0.60979871172709,0.999858891085603
"ENSMUSG00000000149",532.015695762945,0.149563955825445,0.123617586561787,1.17881604662381,0.238471433208198,0.999858891085603
"ENSMUSG00000000154",805.617999493662,0.23485707708497,0.183500399888788,1.21010898705414,0.226237075099308,0.999858891085603
"ENSMUSG00000000157",6.04966739178651,-0.17046663895933,0.175774832061326,-0.763016867164267,0.445453336671715,0.999858891085603
"ENSMUSG00000000159",1159.51712736937,0.163613691137369,0.234167902168054,0.828131841503008,0.407595838546759,0.999858891085603
"ENSMUSG00000000167",25.821714637476,-0.0144458825927094,0.2437394138173,0.176067181580021,0.86024116342276,0.999858891085603
"ENSMUSG00000000168",1465.81007457299,-0.107207941538064,0.192670349829296,-0.472322089721113,0.63669690552552,0.999858891085603
"ENSMUSG00000000171",6056.80870101787,0.196578668904438,0.211301984877879,0.889882189240388,0.373529148444009,0.999858891085603
"ENSMUSG00000000182",1.68406613558085,-0.0414977740461307,0.155371580526031,-0.206624063886273,0.83630346553214,0.999858891085603
"ENSMUSG00000000184",4262.70607946124,0.308561960961506,0.231826820066632,1.12566371980949,0.260307885818026,0.999858891085603
"ENSMUSG00000000194",1139.75146047855,-0.199852228251366,0.113704426788763,-1.7436093342261,0.0812272345590712,0.999858891085603
"ENSMUSG00000000197",3.85483587465849,0.0128474544748864,0.161393901740649,0.180792953275587,0.856530094437202,0.999858891085603
"ENSMUSG00000000202",4.25653240647745,0.101987482601176,0.180091718514176,0.642793536386779,0.520358077763077,0.999858891085603
"ENSMUSG00000000204",362.656815769397,-0.355186988207905,0.237539721830224,-1.2046674375408,0.228331711372901,0.999858891085603
"ENSMUSG00000000214",0.520048190573107,-0.0373524617885993,0.0819452594626256,-0.348477595444407,0.727481536883636,NA
"ENSMUSG00000000215",79.4783073230484,0.000447396066440482,0.0863351527900318,0.262501125585072,0.792935117686137,0.999858891085603
"ENSMUSG00000000216",126.41515849598,-0.0792092780511413,0.240409128670691,-0.135365451990355,0.892322937994882,0.999858891085603
"ENSMUSG00000000223",17.4706204760494,0.200761596079375,0.232396484890362,0.713971870902904,0.475244573452775,0.999858891085603
