"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","45/283","324/15991",1.9306452318658e-27,6.62211314529971e-24,5.20461309348245e-24,"Itgb2/Tgfb1/Tnfsf14/Rarres2/Trpm2/Mmp9/Cxcl16/Ccl9/Madcam1/Myo1g/Cxcl14/Retnlg/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Sell/Il1b/Il1a/Bst1/Spp1/Coro1a/Itgam/F7/Thy1/Rac2/Cd300a/Gpsm3/Sirpa/Ccr7/Prex1/Trem1/Il1f9/Selplg/C5ar1/Cxcr3/Fpr2/Cd47/Ptafr/Prtn3/Fcer1g/Fcgr3/Cnr2",45
"GO:0002274","GO:0002274","myeloid leukocyte activation","34/283","206/15991",2.23961089427546e-23,3.84093268368242e-20,3.01875973696814e-20,"Itgb2/Spi1/Tgfb1/Lcp2/Hmox1/Mmp8/Cd48/Trem2/Slc11a1/Cxcr2/Fgr/Clec4d/Tyrobp/Itgam/Btk/Slc7a2/Rac2/Crlf2/Batf/Cd300a/C1qa/Cd84/Stx11/Milr1/Tlr7/Cd300lf/C5ar1/Fpr2/Ptafr/Fcer1g/Pirb/Fcgr4/Fcgr3/Cnr2",34
"GO:0030595","GO:0030595","leukocyte chemotaxis","32/283","203/15991",2.03553116455615e-21,2.32729063147586e-18,1.82912116225554e-18,"Itgb2/Tnfsf14/Rarres2/Trpm2/Cxcl16/Ccl9/Cxcl14/Retnlg/Cxcl13/Pla2g7/Adam8/Ccr1/Cxcr2/Sell/Il1b/Bst1/Spp1/Coro1a/Itgam/F7/Rac2/Gpsm3/Ccr7/Prex1/Trem1/Il1f9/C5ar1/Cxcr3/Fpr2/Fcer1g/Fcgr3/Cnr2",32
"GO:0002694","GO:0002694","regulation of leukocyte activation","46/283","493/15991",1.14921795701123e-20,9.85454398137128e-18,7.74512417869935e-18,"Itgb2/Lck/Il12rb1/Tgfb1/Hmox1/Mmp8/Tnfsf14/Tnfaip8l2/Vsir/Samsn1/Cd86/Trem2/Adam8/Zap70/Fcgr2b/Il2ra/Il1b/Fgr/Bst1/Gpnmb/Clec4d/Tyrobp/Coro1a/Itgam/Btk/Il2rg/Fgl1/Slc7a2/Thy1/Rac2/Crlf2/Cd300a/Sirpa/Ccr7/Cd84/Milr1/Cdkn2a/Cd300lf/Lax1/Cd47/Cebpb/Ptafr/Fcer1g/Cnr2/Tigit/Slfn1",46
"GO:0060326","GO:0060326","cell chemotaxis","35/283","281/15991",6.83452009920148e-20,4.68848078805221e-17,3.6848854682221e-17,"Itgb2/Tnfsf14/Rarres2/Trpm2/Cxcl16/Ccl9/Cxcl14/Retnlg/Cxcl13/Pla2g7/Lox/Adam8/Ccr1/Cxcr2/Sell/Il1b/Bst1/Spp1/Coro1a/Itgam/F7/Rac2/Gpsm3/Ccr7/Prex1/Trem1/Il1f9/Cxcr4/C5ar1/Cxcr3/Fpr2/Fcer1g/Fcgr3/Arrb2/Cnr2",35
"GO:0006909","GO:0006909","phagocytosis","29/283","196/15991",1.02157293000945e-18,5.05650811078457e-16,3.97413450106469e-16,"Itgb2/Tgfb1/Hck/Cyba/Fcgr1/Myo1g/Trem2/Msr1/Slc11a1/Marco/Fcgr2b/Il1b/Fgr/Siglece/Tyrobp/Mfge8/Coro1a/Il2rg/Cd300a/Sirpa/Ccr7/Cd300lf/Pld4/Fpr2/Cd47/Prtn3/Fcer1g/Fcgr3/Ncf4",29
"GO:0042110","GO:0042110","T cell activation","42/283","456/15991",1.05787217781577e-18,5.05650811078457e-16,3.97413450106469e-16,"Itgb2/Lck/Il12rb1/Tgfb1/Ly9/Tnfsf14/Tnfaip8l2/Cd48/Vsir/Cd86/Adam8/Zap70/Slc11a1/Il2ra/Il1b/Sla2/Cd2/Gpnmb/Clec4e/Clec4d/Clec4a2/Coro1a/Itgam/Il2rg/Fgl1/Thy1/Rac2/Batf/Cd300a/Sirpa/Ccr7/Stx11/Prex1/Cdkn2a/Cxcr4/Lax1/Cd47/Cebpb/Fcer1g/Tigit/Slfn1/Bcl2a1d",42
"GO:0097529","GO:0097529","myeloid leukocyte migration","29/283","197/15991",1.17936049231127e-18,5.05650811078457e-16,3.97413450106469e-16,"Itgb2/Rarres2/Ccl9/Retnlg/Cxcl13/Pla2g7/Trem2/Adam8/Ccr1/Cxcr2/Sell/Il1b/Il1a/Bst1/Spp1/Itgam/Rac2/Cd300a/Sirpa/Ccr7/Prex1/Trem1/Il1f9/C5ar1/Fpr2/Cd47/Prtn3/Fcer1g/Fcgr3",29
"GO:0050764","GO:0050764","regulation of phagocytosis","21/283","98/15991",2.86583452227297e-17,1.09220137904403e-14,8.5840961538492e-15,"Tgfb1/Hck/Cyba/Fcgr1/Trem2/Slc11a1/Fcgr2b/Il1b/Fgr/Siglece/Mfge8/Il2rg/Cd300a/Sirpa/Ccr7/Cd300lf/Fpr2/Cd47/Prtn3/Fcer1g/Fcgr3",21
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","33/283","311/15991",1.11750298255477e-16,3.83303523016287e-14,3.01255277718186e-14,"Itgb2/Lck/Il12rb1/Tgfb1/Tnfsf14/Tnfaip8l2/Vsir/Madcam1/Cd86/Fermt3/Adam8/Zap70/Sell/Il2ra/Il1b/Gpnmb/Coro1a/Itgam/Il2rg/Fgl1/Thy1/Rac2/Cd300a/Sirpa/Ccr7/Cdkn2a/Selplg/Lax1/Cd47/Cebpb/Ptafr/Tigit/Slfn1",33
