"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","GO:0009897","external side of plasma membrane","27/287","376/16320",6.20495925644194e-10,1.8490778584197e-07,1.72432551968492e-07,"Il12rb1/Apoe/Cd48/Fcgr1/Vsir/Cd86/Ccr1/Cxcr2/Sell/Fcgr2b/Il2ra/Cd2/Tnfrsf9/Klrb1c/Siglece/Mfge8/Itgam/Il2rg/Thy1/Crlf2/Ccr7/Cxcr4/Cxcr3/Fcer1g/Fcgr4/Fcgr3/Klrb1b",27
"GO:0045121","GO:0045121","membrane raft","20/287","353/16320",4.62848280291383e-06,0.000479663162032349,0.000447301571093395,"Itgb2/Lck/Lcp2/Hck/Hmox1/Cd48/Fcgr1/Zap70/Fcgr2b/Cd2/Itgam/Btk/Thy1/Rftn1/Ltb4r1/Selplg/Cacna1c/Prtn3/Fcer1g/Ahnak",20
"GO:0098857","GO:0098857","membrane microdomain","20/287","354/16320",4.82882377884915e-06,0.000479663162032349,0.000447301571093395,"Itgb2/Lck/Lcp2/Hck/Hmox1/Cd48/Fcgr1/Zap70/Fcgr2b/Cd2/Itgam/Btk/Thy1/Rftn1/Ltb4r1/Selplg/Cacna1c/Prtn3/Fcer1g/Ahnak",20
"GO:0098589","GO:0098589","membrane region","20/287","362/16320",6.73693086979449e-06,0.000500554716915823,0.000466783628632205,"Itgb2/Lck/Lcp2/Hck/Hmox1/Cd48/Fcgr1/Zap70/Fcgr2b/Cd2/Itgam/Btk/Thy1/Rftn1/Ltb4r1/Selplg/Cacna1c/Prtn3/Fcer1g/Ahnak",20
"GO:0005764","GO:0005764","lysosome","21/287","403/16320",9.70643973429242e-06,0.000500554716915823,0.000466783628632205,"Gm2a/Napsa/Apoe/Hck/Trpm2/Cd68/Dram1/Srgn/Slc15a3/Adam8/Slc11a1/Cxcr2/Il1b/Atp6v0d2/Laptm5/Tm6sf1/Milr1/Gimap5/Tlr7/Cxcr4/Prtn3",21
"GO:0000323","GO:0000323","lytic vacuole","21/287","404/16320",1.00782828909226e-05,0.000500554716915823,0.000466783628632205,"Gm2a/Napsa/Apoe/Hck/Trpm2/Cd68/Dram1/Srgn/Slc15a3/Adam8/Slc11a1/Cxcr2/Il1b/Atp6v0d2/Laptm5/Tm6sf1/Milr1/Gimap5/Tlr7/Cxcr4/Prtn3",21
"GO:0043020","GO:0043020","NADPH oxidase complex","4/287","11/16320",2.80410390656346e-05,0.0011937470916513,0.00111320816741767,"Cyba/Cybb/Ncf1/Ncf4",4
"GO:0034362","GO:0034362","low-density lipoprotein particle","4/287","12/16320",4.14801253719575e-05,0.00154513467010542,0.00144088856555221,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:0030139","GO:0030139","endocytic vesicle","12/287","172/16320",5.39710037725274e-05,0.00178703990269035,0.0016664730989412,"Lck/Cybb/Nrxn1/Adam8/Slc11a1/Coro1a/Stx11/Tlr7/Mpeg1/Pld4/Arrb2/Fcho1",12
"GO:0005773","GO:0005773","vacuole","21/287","488/16320",0.000155061766511358,0.00462084064203848,0.00430908487989459,"Gm2a/Napsa/Apoe/Hck/Trpm2/Cd68/Dram1/Srgn/Slc15a3/Adam8/Slc11a1/Cxcr2/Il1b/Atp6v0d2/Laptm5/Tm6sf1/Milr1/Gimap5/Tlr7/Cxcr4/Prtn3",21
"GO:0045335","GO:0045335","phagocytic vesicle","8/287","89/16320",0.000170857672823219,0.00462868968193812,0.00431640436606027,"Cybb/Adam8/Slc11a1/Coro1a/Stx11/Tlr7/Mpeg1/Pld4",8
"GO:0002102","GO:0002102","podosome","4/287","27/16320",0.00119465243725184,0.0292016514991581,0.0272314941567564,"Lpxn/Fermt3/Adam8/Ccn5",4
"GO:0044853","GO:0044853","plasma membrane raft","8/287","120/16320",0.00127389754862099,0.0292016514991581,0.0272314941567564,"Itgb2/Lcp2/Hck/Hmox1/Itgam/Selplg/Cacna1c/Prtn3",8
"GO:0034358","GO:0034358","plasma lipoprotein particle","4/287","30/16320",0.00178992269308715,0.0355597975026648,0.0331606730508778,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:1990777","GO:1990777","lipoprotein particle","4/287","30/16320",0.00178992269308715,0.0355597975026648,0.0331606730508778,"Apoe/Pla2g7/Msr1/Apobr",4
"GO:0005581","GO:0005581","collagen trimer","6/287","75/16320",0.00204677096676765,0.0381211092560475,0.0355491799491224,"Lox/Msr1/Marco/C1qa/C1qc/C1qb",6
"GO:0032994","GO:0032994","protein-lipid complex","4/287","32/16320",0.00228490767169519,0.0400530874214804,0.0373508127137789,"Apoe/Pla2g7/Msr1/Apobr",4
