"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0004896","GO:0004896","cytokine receptor activity","12/273","90/15899",4.30067208341064e-08,1.95250512586843e-05,1.64783646143313e-05,"Il12rb1/Ccr1/Il1r2/Cxcr2/Il2ra/Il2rg/Crlf2/Ccr7/Cxcr4/Cxcr3/Csf2rb/Csf2rb2",12
"GO:0019955","GO:0019955","cytokine binding","13/273","124/15899",2.13110396993146e-07,4.83760601174442e-05,4.08274655292133e-05,"Il12rb1/Csf1r/Ccr1/Il1r2/Cxcr2/Il2ra/Tnfrsf9/Il2rg/Crlf2/Ackr1/Ccr7/Cxcr4/Cxcr3",13
"GO:0001540","GO:0001540","amyloid-beta binding","9/273","58/15899",5.80415220708549e-07,8.78361700672271e-05,7.41302246799691e-05,"Itgb2/Apoe/Trem2/Msr1/Marco/Fcgr2b/Atp1a3/Fpr2/Pirb",9
"GO:0030414","GO:0030414","peptidase inhibitor activity","14/273","163/15899",8.55289838054004e-07,9.70753966191295e-05,8.19277634346467e-05,"Tnfsf14/Renbp/Serpina3g/Serpinb6b/Rarres1/Wfdc21/Stfa2l1/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i/Cstdc4/Bcl2a1d",14
"GO:0061134","GO:0061134","peptidase regulator activity","15/273","194/15899",1.32473463380433e-06,0.000120285904749434,0.00010151650667469,"Tnfsf14/Vsir/Renbp/Serpina3g/Serpinb6b/Rarres1/Wfdc21/Stfa2l1/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i/Cstdc4/Bcl2a1d",15
"GO:0019957","GO:0019957","C-C chemokine binding","6/273","24/15899",2.51788099385164e-06,0.000190519661868108,0.000160790996800351,"Ccr1/Cxcr2/Ackr1/Ccr7/Cxcr4/Cxcr3",6
"GO:0061135","GO:0061135","endopeptidase regulator activity","13/273","162/15899",4.51127035008564e-06,0.000292588105562698,0.000246932692846793,"Tnfsf14/Vsir/Serpina3g/Serpinb6b/Rarres1/Stfa2l1/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i/Cstdc4/Bcl2a1d",13
"GO:0005178","GO:0005178","integrin binding","11/273","123/15899",8.80992374362958e-06,0.000499963172450978,0.000421948979300153,"Itgb2/Madcam1/Fermt3/Adam8/Il1b/Ccn5/Spp1/Gpnmb/Mfge8/Thy1/Lamb2",11
"GO:0050839","GO:0050839","cell adhesion molecule binding","15/273","229/15899",1.01792506763107e-05,0.000513486645227227,0.000433362251014864,"Itgb2/Fxyd5/Madcam1/Nrxn1/Fermt3/Adam8/Sell/Il1b/Ccn5/Spp1/Gpnmb/Mfge8/Thy1/Tenm4/Lamb2",15
"GO:0019956","GO:0019956","chemokine binding","6/273","31/15899",1.2450685106769e-05,0.000565261103847314,0.000477057829354098,"Ccr1/Cxcr2/Ackr1/Ccr7/Cxcr4/Cxcr3",6
"GO:0019865","GO:0019865","immunoglobulin binding","5/273","19/15899",1.37374988148322e-05,0.000566984041993983,0.000478511920440088,"Fcgr1/Fcgr2b/Fcer1g/Fcgr4/Fcgr3",5
"GO:0004866","GO:0004866","endopeptidase inhibitor activity","12/273","155/15899",1.51607622415904e-05,0.000573582171473503,0.000484080478591132,"Tnfsf14/Serpina3g/Serpinb6b/Rarres1/Stfa2l1/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i/Cstdc4/Bcl2a1d",12
"GO:0005125","GO:0005125","cytokine activity","12/273","162/15899",2.36158463176959e-05,0.000824738017556457,0.00069604599673209,"Tgfb1/Tnfsf14/Cxcl16/Ccl9/Cxcl14/Cxcl13/Ltb/Il1b/Il1a/Spp1/Crlf2/Il1f9",12
"GO:0045309","GO:0045309","protein phosphorylated amino acid binding","7/273","54/15899",3.62109097227888e-05,0.00113735399358958,0.000959881413555782,"Lck/Hck/Samsn1/Zap70/Fgr/Sirpa/Sh3bp2",7
"GO:0016493","GO:0016493","C-C chemokine receptor activity","5/273","23/15899",3.75777751185986e-05,0.00113735399358958,0.000959881413555782,"Ccr1/Cxcr2/Ccr7/Cxcr4/Cxcr3",5
"GO:0001637","GO:0001637","G protein-coupled chemoattractant receptor activity","5/273","24/15899",4.68040630461636e-05,0.00124994380135049,0.00105490272128815,"Ccr1/Cxcr2/Ccr7/Cxcr4/Cxcr3",5
"GO:0004950","GO:0004950","chemokine receptor activity","5/273","24/15899",4.68040630461636e-05,0.00124994380135049,0.00105490272128815,"Ccr1/Cxcr2/Ccr7/Cxcr4/Cxcr3",5
"GO:0001784","GO:0001784","phosphotyrosine residue binding","6/273","42/15899",7.57215264331893e-05,0.00190986516670377,0.00161185003635561,"Lck/Hck/Samsn1/Zap70/Fgr/Sh3bp2",6
"GO:0004930","GO:0004930","G protein-coupled receptor activity","17/273","347/15899",0.000108875386175907,0.00255634073041397,0.00215744963104726,"Ccr1/Cxcr2/Adgre4/Ackr1/Ccr7/S1pr4/Cxcr4/Fpr1/Ltb4r1/C5ar1/Gpr171/Cxcr3/Fpr2/Gpr141/Gpr21/Ptafr/Cnr2",17
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","6/273","45/15899",0.000112614129093126,0.00255634073041397,0.00215744963104726,"Lck/Hck/Sla/Zap70/Fgr/Btk",6
"GO:0005543","GO:0005543","phospholipid binding","18/273","399/15899",0.000192515202067915,0.00416199532089683,0.0035125580728181,"Apoe/Ncf1/Plek/Myo1g/Pla2g7/Trem2/Pla2g2e/Mfge8/Btk/Thy1/Cd300a/Prex1/Arhgap9/Sytl3/Cd300lf/Ptafr/Fcho1/Ncf4",18
"GO:0038024","GO:0038024","cargo receptor activity","7/273","80/15899",0.000444639514294082,0.00917574270406877,0.00774396091880601,"Itgb2/Cxcl16/Msr1/Marco/Scarf1/Apobr/Fpr2",7
"GO:0004857","GO:0004857","enzyme inhibitor activity","15/273","325/15899",0.000516469124536382,0.0101946514147616,0.00860387923712784,"Tnfsf14/Renbp/Serpina3g/Serpinb6b/Cdkn2a/Rarres1/Wfdc21/Stfa2l1/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i/Cstdc4/Bcl2a1d",15
"GO:0048018","GO:0048018","receptor ligand activity","16/273","363/15899",0.000559743255149824,0.0105884765765842,0.0089362519681814,"Tgfb1/Tnfsf14/Cxcl16/Ccl9/Cxcl14/Retnlg/Cxcl13/Ltb/Il1b/Il1a/Ccn5/Spp1/Gpnmb/Crlf2/Il1f9/Mia",16
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","8/273","117/15899",0.00092626907102159,0.0153746840975459,0.0129756202446249,"Ccr1/Cxcr2/Ccr7/Cxcr4/Fpr1/Ltb4r1/Cxcr3/Fpr2",8
"GO:0071813","GO:0071813","lipoprotein particle binding","4/273","26/15899",0.000943805428679329,0.0153746840975459,0.0129756202446249,"Apoe/Trem2/Msr1/Scarf1",4
"GO:0071814","GO:0071814","protein-lipid complex binding","4/273","26/15899",0.000943805428679329,0.0153746840975459,0.0129756202446249,"Apoe/Trem2/Msr1/Scarf1",4
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","7/273","91/15899",0.000965737708381702,0.0153746840975459,0.0129756202446249,"Serpina3g/Serpinb6b/Serpina1b/Wfdc3/Serpina3m/Serpina3j/Serpina3i",7
"GO:0050664","GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor","3/273","12/15899",0.000982083345437952,0.0153746840975459,0.0129756202446249,"Cyba/Cybb/Ncf1",3
"GO:0001653","GO:0001653","peptide receptor activity","8/273","123/15899",0.00128108465102777,0.0189687703297492,0.0160088856944788,"Ccr1/Cxcr2/Ccr7/Cxcr4/Fpr1/Ltb4r1/Cxcr3/Fpr2",8
"GO:0030545","GO:0030545","receptor regulator activity","16/273","393/15899",0.00129522440577582,0.0189687703297492,0.0160088856944788,"Tgfb1/Tnfsf14/Cxcl16/Ccl9/Cxcl14/Retnlg/Cxcl13/Ltb/Il1b/Il1a/Ccn5/Spp1/Gpnmb/Crlf2/Il1f9/Mia",16
"GO:0005126","GO:0005126","cytokine receptor binding","12/273","253/15899",0.00146383040846164,0.0207680939200495,0.0175274430486854,"Il12rb1/Tgfb1/Tnfsf14/Cxcl16/Ccl9/Cxcl14/Cxcl13/Ltb/Il1b/Il1a/Il1f9/Cd300lf",12
"GO:0051219","GO:0051219","phosphoprotein binding","7/273","100/15899",0.00167662149069349,0.0230662471749952,0.0194669927468079,"Lck/Hck/Samsn1/Zap70/Fgr/Sirpa/Sh3bp2",7
"GO:0030169","GO:0030169","low-density lipoprotein particle binding","3/273","15/15899",0.00195510979628852,0.0253605670718569,0.0214033072435796,"Trem2/Msr1/Scarf1",3
