NAME,DESCRIPTION,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6,I_MKI_1,I_MKI_2,I_MKI_3,I_MKI_4,I_MKI_5,I_MKI_6
ENSMUSG00000000001,NA,4261.605379,3564.377745,6975.80502,4035.648651,4026.806675,3005.800711,3370.62135,3112.616396,3593.153896,4415.94736,4114.370883,3213.535876
ENSMUSG00000000003,NA,0,2.177497806,0,164.2157651,0,0,0,0,0,0,0,0.716221862
ENSMUSG00000000028,NA,185.7646395,182.9752576,174.7200569,285.6016077,321.0148326,306.5602555,232.8614013,149.2128829,163.186137,338.5053886,179.0150353,290.3661067
ENSMUSG00000000037,NA,4.277743058,16.54356479,1.904123135,1.282190831,2.937929149,0.699637811,2.390499388,0.401985354,14.80954323,34.97742229,1.862840743,3.471070607
ENSMUSG00000000049,NA,0,1.680275184,9.055464182,2.34916966,1.501571048,3.896531882,2.298534905,3.553487331,5.868208831,3.274654665,0,9.389602349
ENSMUSG00000000056,NA,678.6638601,636.9432767,1459.966029,780.5393802,858.0211551,640.5469855,579.0704193,249.6175749,893.0946374,546.727952,925.2424109,870.4014373
ENSMUSG00000000058,NA,298.3767105,255.9575619,116.9919552,351.6460364,211.6011283,180.121642,194.2318094,125.1608712,268.0444388,259.4900365,375.1958376,233.0260832
ENSMUSG00000000078,NA,3769.740156,3609.597764,7207.639428,3855.292814,4320.61561,4346.72086,4068.847999,3188.587438,3317.736948,3166.941585,3242.734584,3525.158036
ENSMUSG00000000085,NA,405.4068766,509.0548128,89.79735156,387.6894135,470.7105118,470.9959121,546.6568193,577.3138823,583.9853577,441.5951218,503.5312679,525.9954533
ENSMUSG00000000088,NA,4720.051511,4826.131811,4457.491381,5314.933944,6442.572616,11430.91844,7619.82358,10244.61164,5347.678155,4966.754939,4303.266264,9781.285783
ENSMUSG00000000093,NA,42.44855161,49.62490295,69.29564139,45.44219284,39.41531806,35.36615614,60.59630105,81.37416748,65.76958105,39.18732336,69.36303467,46.71845204
ENSMUSG00000000094,NA,9.363934911,6.347037014,7.344368346,6.038984028,2.784693409,2.240113554,1.370738373,7.767899044,9.016612825,5.724826159,15.49379609,3.279829021
ENSMUSG00000000120,NA,37.21678022,39.367849,64.68823311,47.23931071,33.40081554,25.51203089,43.88769359,51.97350123,46.81341479,30.18505661,58.2163908,20.54898361
ENSMUSG00000000125,NA,0,1.265637643,56.65872014,0,1.127676019,0.763154208,0,1.724845976,1.799700377,0,1.693067026,2.000757869
ENSMUSG00000000126,NA,11.54036357,12.57149733,25.57443848,9.959615804,7.761215281,11.32446218,13.09288809,7.729678242,12.67119487,9.507466956,10.23918875,3.347802909
ENSMUSG00000000127,NA,218.1457347,240.9711398,197.5962171,217.4487414,279.9752325,256.8099864,210.8315604,142.3641721,220.9739391,250.0766294,133.2637884,261.3690665
ENSMUSG00000000131,NA,1276.412713,973.9234842,1218.950171,990.2971017,845.4733231,582.0091812,690.9680749,558.8750913,1056.974281,1109.013098,962.8801906,696.6669644
ENSMUSG00000000134,NA,489.0539047,486.6841244,661.1149073,652.8176704,539.9094546,316.4654001,431.8500475,448.4859906,594.6054604,475.058425,670.1489819,361.8031778
