NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6
ENSMUSG00000000001,NA,3433.977845,4123.598796,2833.615449,3449.189012,4739.296881,5202.13502,4278.983509,8326.375325,4923.980021,4867.226294,3662.649558
ENSMUSG00000000003,NA,0,0,0,11292.60732,0.698683264,0,2.994636991,0,229.5341722,0,0
ENSMUSG00000000028,NA,77.75385884,264.8185787,123.2109058,129.1397374,321.5090405,224.4659964,217.434463,206.4350973,344.9393213,384.0829086,369.7687093
ENSMUSG00000000037,NA,5.841056263,38.24602609,52.59536798,15.87092628,28.77830821,5.627832358,21.40444912,2.449484802,1.686062499,3.82719108,0.91881172
ENSMUSG00000000049,NA,0,5.887945845,4.666223231,0.681990926,1.441912383,0,2.013249942,10.78779687,2.860735525,1.811452863,4.738859265
ENSMUSG00000000056,NA,1291.540773,1047.686081,270.7654888,1156.340285,1250.038011,805.8600001,743.7965089,1695.121724,926.3908161,1008.823622,759.246266
ENSMUSG00000000058,NA,280.1557344,315.0706187,178.8986964,305.2415757,350.2477324,364.9528204,307.884814,139.9204083,429.9045823,256.2725866,219.9198833
ENSMUSG00000000078,NA,4051.012988,3500.935251,3610.87089,4500.453919,3862.775031,4600.159919,4331.804259,8600.185693,4702.333509,5220.58913,5294.806113
ENSMUSG00000000085,NA,587.7251083,521.1436465,632.8368253,506.509365,579.9036154,541.9661429,669.2588067,117.3810084,518.0355128,623.0850244,628.528507
ENSMUSG00000000088,NA,7300.496867,7258.282323,13534.94758,5766.437926,6371.24667,5793.286818,5825.402966,5349.609317,6520.346999,7829.787673,14005.10001
ENSMUSG00000000093,NA,58.64114402,75.52758644,69.81789001,54.22824785,54.94432613,52.11853256,59.92078231,83.19332541,55.76775073,47.91888556,43.34549426
ENSMUSG00000000094,NA,9.797168225,7.293035146,3.445057999,3.097917392,4.109129768,11.4462094,7.629970041,8.778312007,7.378392031,3.370490116,2.733380745
ENSMUSG00000000120,NA,69.73933953,89.90440627,233.0980984,93.13582986,60.04597883,45.5821561,47.4183299,77.47018939,57.83012931,40.50657356,31.19089918
ENSMUSG00000000125,NA,2.134481979,0.893399549,3.42467447,1.551699813,0,0,1.521353565,67.71615566,0,1.364799918,0.931132257
ENSMUSG00000000126,NA,15.23670236,9.889472048,23.11266044,12.47493542,11.45731279,14.14851083,15.15747111,30.6584793,12.20473548,9.421788281,13.85911895
ENSMUSG00000000127,NA,295.349219,310.6804274,279.3016659,290.4971831,323.8996174,271.4521568,294.8900398,240.4243548,270.456868,344.9677972,318.9960279
ENSMUSG00000000131,NA,986.6613357,1029.614253,499.7588182,999.3909316,1092.240435,1554.476772,1166.450881,1451.551106,1205.461014,1019.542644,707.5379651
ENSMUSG00000000134,NA,695.6583297,553.042713,286.0723958,446.6626636,551.5223679,585.2513236,572.7714403,773.5989761,780.8581011,639.7627903,378.0408272
ENSMUSG00000000142,NA,448.4239813,714.8342777,347.1910353,692.098574,628.1512725,532.7739095,672.2233389,2302.354984,348.7332793,309.2615252,189.2203426
ENSMUSG00000000148,NA,276.2959179,205.263982,228.5703092,239.1453059,199.9072088,263.5105493,190.8218544,222.7038529,199.2638821,180.9665253,178.1202453
ENSMUSG00000000149,NA,624.8908168,596.1618273,510.1847979,527.3764105,420.9408966,674.5535867,587.5899024,607.9727829,583.9131027,469.96682,573.527902
ENSMUSG00000000154,NA,1295.849507,1275.213791,1698.167154,1106.991055,1094.744955,763.6968385,1007.410769,1296.9676,784.3759029,785.1776946,975.1682701
ENSMUSG00000000157,NA,0,0,0,0,0.508819107,7.091433441,0,4.896810459,6.066484334,1.703109765,25.00331226
ENSMUSG00000000159,NA,660.9979811,1061.435357,1335.893817,967.1076205,1324.211774,685.5864506,1073.172369,1852.899903,1326.158977,1444.844099,2728.247907
ENSMUSG00000000167,NA,16.2849021,14.53655279,21.53283456,13.61128668,26.3547585,23.5435118,40.01497403,2.296545587,37.38663874,39.70400212,56.86046049
ENSMUSG00000000168,NA,1750.019053,1893.17232,1673.749447,2024.200896,2292.087044,1674.45177,2123.605749,903.7085519,2163.98191,2470.548638,1762.069827
ENSMUSG00000000171,NA,7206.486086,7061.921035,10141.66867,5151.481555,5453.762834,5280.081247,5751.77004,6055.344871,5833.402662,6894.581259,10894.12025
ENSMUSG00000000182,NA,0,0,0,0,0,5.673009778,0.780299136,0,0.831024356,1.370394187,2.808624084
ENSMUSG00000000184,NA,6680.807872,6674.021133,5770.532895,4877.925205,6343.145528,5460.6901,5700.231317,6443.675629,3248.23878,2883.255036,2812.769293
ENSMUSG00000000194,NA,1600.881647,1587.994599,859.4266026,1563.415656,1576.775477,1731.661665,1301.507038,2765.116676,1413.323776,1405.488163,1364.273812
ENSMUSG00000000197,NA,5.090623838,14.48484795,42.6060366,22.4937798,6.810679682,2.814081725,10.31611103,0,1.738481456,7.249949269,0
ENSMUSG00000000202,NA,2.618670117,0,4.000441544,0,4.033878796,0,3.484235587,3.510518729,1.790578824,2.609071901,8.185406572
ENSMUSG00000000204,NA,16.98645032,57.7698576,500.6822692,767.4447661,615.1114859,321.1674064,602.885828,432.0205521,355.3409255,744.3441867,852.7599098
ENSMUSG00000000214,NA,2.281386707,2.844938257,5.430884904,2.410191905,1.239186872,0,2.143042881,9.778778507,0,0,2.5978401
ENSMUSG00000000216,NA,764.1066957,146.6397234,337.3426946,183.9273007,259.0268228,228.33167,172.8346631,0,143.5745948,38.22106438,195.341893
ENSMUSG00000000223,NA,10.32364043,14.82008621,15.02818976,11.25340621,24.42149165,10.15870224,15.18952213,1.817980611,25.41566411,24.67746758,8.064702357
ENSMUSG00000000244,NA,3.611752359,3.945746713,7.485657155,0,13.61860483,28.7641309,20.52119191,14.73129713,45.07937575,26.84461703,59.81867011
ENSMUSG00000000247,NA,19.48783724,0,0.946303191,0.58889853,0.617312559,0,0,0,15.34990329,1.201197931,2.595010843
ENSMUSG00000000248,NA,0,0,0,0.541899339,1.705511546,1.844607317,1.596446092,0,8.927907777,1.937033358,1.771124094
ENSMUSG00000000253,NA,613.6476083,429.8238501,523.0226685,520.8819668,237.6987132,140.0763413,338.2141942,34.13220653,133.3926713,133.3861857,183.3909228
ENSMUSG00000000266,NA,971.5273716,955.9094787,641.348983,893.0785508,1193.552406,686.9683223,764.0366101,500.9024557,694.9834452,797.2276019,299.3032195
ENSMUSG00000000275,NA,2318.132719,1925.925272,1924.375215,3584.940407,3498.464461,2996.897267,2287.373755,7142.186662,2294.174207,2353.386033,1658.282231
ENSMUSG00000000276,NA,87.1092925,128.5221412,100.3420354,127.3160781,138.768792,98.73687544,152.9228244,73.35224348,140.2114332,119.2924932,57.0025804
