NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5,NI_MKI_6
ENSMUSG00000000001,NA,3458.596311,4157.251155,2772.338421,3509.567098,4822.136684,3246.619222,3219.339161,4007.840064,3323.150814,5861.436534,3730.931587
ENSMUSG00000000003,NA,0,0,0,11115.09496,0.687683076,0,0,0,0,0,1.138465484
ENSMUSG00000000028,NA,78.18771095,266.5584601,120.356249,131.1929861,326.6126135,66.37502314,119.2525079,169.0154267,168.5760523,273.0737363,111.6360997
ENSMUSG00000000037,NA,7.312099093,47.92525907,63.95892031,20.07183712,36.39478472,37.54463773,27.90914794,15.46359017,16.14859413,19.30979143,29.04530151
ENSMUSG00000000049,NA,0,5.969695872,4.591233542,0.697868657,1.475444963,1.466916074,4.63138678,10.57990487,5.708232207,2.065812622,0.806598955
ENSMUSG00000000056,NA,1258.302632,1021.728792,256.2555265,1138.142946,1230.335115,907.6432749,1170.258213,892.1258414,1268.721319,1244.194106,1583.477486
ENSMUSG00000000058,NA,312.3562784,351.6301474,193.7585369,343.8179775,394.5020571,523.8907023,338.7277117,306.5102252,312.6363358,291.4441162,377.6008248
ENSMUSG00000000078,NA,4072.734607,3523.173475,3526.447174,4571.018361,3923.242086,3705.572003,5747.524721,5710.236483,4565.699869,3748.820928,4390.641315
ENSMUSG00000000085,NA,564.1588801,500.7397922,590.0949176,491.1892287,562.3493749,540.0510334,463.5353272,589.8518876,384.2118079,579.162681,575.2927681
ENSMUSG00000000088,NA,7264.12892,7229.236866,13082.49717,5796.594452,6404.404595,6536.282012,7638.2092,9096.975642,10918.16482,6112.254743,6861.680128
ENSMUSG00000000093,NA,56.14238458,72.38048697,64.93189644,52.45032262,53.14158313,56.25809162,46.86404163,80.80679572,62.92032588,56.91131557,38.92249658
ENSMUSG00000000094,NA,9.522040297,7.095209605,3.252587096,3.041819599,4.03461894,5.210923665,5.445365727,7.201092203,1.921662807,2.305840477,1.78335393
ENSMUSG00000000120,NA,67.29431047,86.8378312,218.4953481,90.7928141,58.53392715,120.1526867,69.96797671,123.2485719,111.0343275,61.35426664,75.53119238
ENSMUSG00000000125,NA,2.093670766,0.877180763,3.263158281,1.537651001,0,1.735389214,0.90334614,3.072032324,0,4.604389014,5.406602031
ENSMUSG00000000126,NA,14.81743839,9.626817239,21.83408679,12.25616568,11.25610492,22.51304434,16.39160624,11.18312072,15.73125041,6.849658663,8.03038649
ENSMUSG00000000127,NA,299.3233543,315.1709235,274.967427,297.4273306,331.6182538,195.1757984,197.4095225,303.1802122,287.0518785,256.3265457,298.2023299
ENSMUSG00000000131,NA,1011.466932,1056.53916,497.6763375,1035.030517,1131.162622,1024.039022,807.9543433,1019.498522,613.1506771,1274.322511,941.6660674
ENSMUSG00000000134,NA,688.0066969,547.4983615,274.8372385,446.2831589,551.03987,528.8605506,441.0807273,356.0545276,427.5006821,693.7233102,534.1091231
ENSMUSG00000000142,NA,474.4938066,757.1371588,356.8725695,739.8502815,671.4739646,414.6775725,518.4573005,473.5195713,702.9979284,363.411191,586.1441953
ENSMUSG00000000148,NA,267.3611644,198.8218354,214.8555706,233.7867465,195.4229331,260.7402323,242.9389964,205.2956205,197.2471917,185.7772984,248.4219554
ENSMUSG00000000149,NA,601.9856819,574.8753106,477.4330507,513.2593745,409.6626383,606.2326966,520.8460512,591.3940764,462.2542957,567.9984237,522.6704476
ENSMUSG00000000154,NA,1229.743955,1211.352676,1565.46554,1061.300604,1049.533481,1026.553724,1398.254073,1718.561119,1431.936152,1178.669984,1143.546675
ENSMUSG00000000159,NA,620.1099683,996.757709,1217.428506,916.5951527,1255.015938,699.169567,870.1637004,974.5592051,1335.589683,946.4956375,1050.349987
ENSMUSG00000000167,NA,16.43171622,14.68204928,21.10580517,13.87494039,26.86457853,25.28706146,33.89147908,16.3685441,21.19368267,12.370467,16.8014514
ENSMUSG00000000168,NA,1881.871931,2037.815714,1748.39953,2199.049834,2490.012976,2177.118198,1896.264915,1774.117533,1738.168928,2629.304901,2121.818675
ENSMUSG00000000171,NA,7097.914312,6962.376911,9703.30237,5125.940019,5426.585676,5933.487246,7463.377405,7947.590595,10872.25284,6374.177503,5888.146992
ENSMUSG00000000184,NA,6636.989385,6636.776486,5568.792153,4895.662253,6366.049812,5768.529002,5230.419785,5144.293868,4673.493629,4205.802344,4448.51974
ENSMUSG00000000194,NA,1783.705387,1771.089029,930.1985066,1759.837331,1774.830861,1253.655906,1682.780472,1365.744558,1512.508293,1854.460943,1381.546866
ENSMUSG00000000197,NA,5.120536509,14.58430957,41.631163,22.8581496,6.920829207,27.35353468,23.47197611,40.01875649,23.81762127,21.4761466,20.6905543
ENSMUSG00000000202,NA,2.399138258,0,3.56028988,0,3.733537739,0,2.336325448,0,0.778625522,3.206882254,1.295178554
ENSMUSG00000000204,NA,17.24040863,58.69129505,493.6397013,786.9120969,630.698757,54.14744082,237.6673095,113.9774686,263.2743807,38.012045,562.4873898
