"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","I_V_1","I_V_2","I_V_4","I_V_5","I_V_6","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000002342",315.059073723057,0.802976432702166,0.243925920700876,4.40703481316872,1.04795350044169e-05,0.0205818067486748,-2.51259949974254,0.451901618788738,-0.124481219433271,0.285648343987359,0.458985914625466,-0.395826441134053,-0.416104691428539,-0.381319698963562,0.380364007652737,1.03730177393499,1.21612989171268
"ENSMUSG00000002778",428.275712788491,0.416953018254018,0.228449728484911,4.65349369332572,3.26357590032042e-06,0.00974798866583157,-2.87484962646171,0.304019298713063,0.211173050903219,-0.282189188744693,0.250164033409956,0.834308918801174,0.00866495620428399,0.0429652991749215,0.530904957001727,0.465084741473024,0.509753559525036
"ENSMUSG00000013921",72.7129280839945,-0.921722738800946,0.230287000276282,-4.15370741367902,3.27131414641137e-05,0.0361398430324796,2.08749803600832,-0.271329728623186,-0.349168316972157,0.513913433502945,0.0618208547441567,-1.05250276810005,-0.855939686516949,-0.0870122549220118,0.900757093471657,0.54337262715184,-1.49140928974457
"ENSMUSG00000016664",167.927115347207,-1.04532283181338,0.235872465400919,-4.20379693324867,2.62474434221434e-05,0.0309299873286538,2.22831061320095,0.372834228159429,0.497476122873485,0.0537669753852819,-0.694391980261072,-0.988183333354634,-1.13004965284602,-0.194643036420636,0.450134193424041,0.566052240280075,-1.16130637044091
"ENSMUSG00000021565",42.0600672336299,-1.1964602929722,0.227541937842699,-3.99547146269238,6.45656345689925e-05,0.0543458169829291,2.94436903977078,0.0168897483373472,-0.428776899737392,-0.275577392967644,0.112543478486457,-0.505747565085925,-0.428800906684816,-0.0876734866625763,-0.4212602461314,-0.415849166114285,-0.510116603210544
"ENSMUSG00000023019",630.075784189392,-0.516720417485731,0.128565192797768,-4.06441260884155,4.81535764933943e-05,0.0425581309048618,2.20828488725458,-0.945118943804684,-0.590461352175943,0.379591646588934,-0.71071197257569,0.394023637685613,0.476986561500993,-0.354225608095556,0.503965128254627,0.196949663535996,-1.55928364816884
"ENSMUSG00000024078",108.761757595822,-0.244570384347698,0.216869553667621,-3.78823778039773,0.000151719609367524,0.0993257709326059,0.83174323993943,0.241739125308337,0.708067542384941,0.259573825230902,-0.51800737193793,0.13881148485104,-0.944544415466144,0.488112667593129,0.407294725552923,0.89603999885974,-2.50883082231637
"ENSMUSG00000024830",212.360536185214,0.878956940546539,0.207137757504536,4.23197414343879,2.31649044689196e-05,0.0292473465280445,-1.91765403503255,-0.179432645808652,0.513472258626286,-0.329138214767437,0.718301217531923,0.720440255251712,0.551954677431308,-0.451194703126998,-0.759891286013985,-0.6895655130139,1.82270798892229
"ENSMUSG00000026442",174.698061898816,-1.19601236955296,0.227415049079768,-3.81263076788541,0.000137495440615793,0.0993257709326059,2.88995643085482,0.111519543859095,-0.499573306971624,-0.396986119217151,-0.568122770133192,-0.518326636996587,-0.59370607695721,0.131446994143614,0.106305981248036,-0.19599956092569,-0.466514478904111
"ENSMUSG00000028158",302.988811675314,-1.39239972389583,0.241545020846571,-4.61876157627416,3.86037116207406e-06,0.00974798866583157,2.93040598979425,-0.496415034069466,0.0132203311706863,-0.344550019520623,-0.000699921506191598,-0.512356125772566,-0.484257644844077,-0.249835041355732,0.112693283949154,-0.541374292404381,-0.426831525441058
