"","I_V_1","I_V_2","I_V_4","I_V_5","I_V_6","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000000001",12.0741704895426,11.8119385284383,11.994914663808,11.9926171526187,11.5684129225601,11.7434360594551,11.6308741446383,11.8238611781416,12.1227561328716,12.0256096988644,11.67578467381
"ENSMUSG00000000003",4.25136139190066,4.73674294933449,7.65139910630401,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,4.53175580722796
"ENSMUSG00000000028",7.79894112058724,7.77465954329414,8.33547598792771,8.48699013488822,8.42113309230574,8.08165976719566,7.54142194497446,7.6375185499831,8.55437756710888,7.75552732149315,8.36218848127828
"ENSMUSG00000000037",4.92756176545076,5.5461882603577,4.62375261087904,4.81322996652546,4.5262070985642,4.75962761429103,4.46075701760969,5.48065495453159,6.07687614293219,4.70014213099006,4.86250646493844
"ENSMUSG00000000049",4.25136139190066,4.67491239320175,4.75243533530178,4.65280566312076,4.89326350991032,4.74803466258038,4.86749204397107,5.0361503429966,4.841620383293,4.25136139190066,5.24081896201729
"ENSMUSG00000000056",9.51753518376456,9.42411890058423,9.70840361737897,9.83993939751105,9.43139306752105,9.30515893608261,8.19749933807402,9.88961521891363,9.220966139772,9.94665795451609,9.8648710285869
"ENSMUSG00000000058",8.41481883963685,8.21235857749235,8.62717724159513,7.97923586630321,7.7758009294724,7.87776768802333,7.35737795307621,8.27144111475501,8.23391909670207,8.71517826379892,8.10421252343915
"ENSMUSG00000000078",11.9014490108657,11.8324910139007,11.9321381594607,12.0958642440297,12.0975873721505,12.0148611302974,11.6678052250869,11.7126137426654,11.6505018280261,11.6882213794964,11.8103883729026
"ENSMUSG00000000085",8.71782500438783,9.01397972775968,8.65778798861717,8.91532123080123,8.90970548367922,9.12034673059307,9.19493692130287,9.19926864174921,8.82876226698339,9.00750087182425,9.06890316818973
"ENSMUSG00000000088",12.224477859552,12.2493079758563,12.3930733842796,12.6697153458608,13.4863417196243,12.9153969843691,13.3416260429879,12.3967016187419,12.295111565862,12.0939256459035,13.2745203057185
"ENSMUSG00000000093",6.24871123748011,6.38273292650869,6.30743978273796,6.18504650551505,6.09125789140243,6.57682224766024,6.872789005486,6.64913209082744,6.17911545670784,6.70751658103874,6.33581860200201
"ENSMUSG00000000094",5.24567065667923,5.07308439073209,5.05493960937582,4.80095151910201,4.74369147441764,4.63878093472222,5.16155606844973,5.22559514229346,5.03402257564584,5.5157525707909,4.84826624670992
"ENSMUSG00000000120",6.13696671718127,6.17982520876171,6.34147857650415,6.04870571522584,5.84020162565902,6.27991223956161,6.43241285344913,6.33017857469836,5.96838554391246,6.53627424795209,5.69576775291423
"ENSMUSG00000000125",4.25136139190066,4.62232979614435,4.25136139190066,4.60241846837068,4.53969393650278,4.25136139190066,4.6858515353122,4.6932868748447,4.25136139190066,4.68132150867211,4.71893964738259
"ENSMUSG00000000126",5.35113893466552,5.39423289796881,5.27580302293948,5.15999717909156,5.33857110615256,5.42087534002961,5.16000560131511,5.39870144790801,5.25287823854369,5.29057259511231,4.85475160300659
"ENSMUSG00000000127",7.99208074376525,8.11031266643442,7.98691794499962,8.30625508549956,8.19021734392402,7.9535490623418,7.48234112568878,8.00241136675148,8.16115740456565,7.40292996298392,8.22330922583636
"ENSMUSG00000000131",10.3778915666916,9.99346099524461,10.0220902862396,9.80364774359087,9.28527009176966,9.53051756770908,9.24235270083159,10.1077872639791,10.1789579409343,9.98605560152642,9.54218133458694
"ENSMUSG00000000134",9.07334759106975,9.06026537360425,9.46369215667599,9.20624350890851,8.49098606566174,8.91086650040854,8.96225866045454,9.33142773371611,9.03220347423179,9.5024813067747,8.67696795484124
"ENSMUSG00000000142",8.99711924580613,9.32685341881927,8.43834927133345,8.2967911715679,7.67201952984244,9.20943000419387,8.82076704820624,9.05262688246961,7.57392277814846,8.79492612867114,8.42791599287855
"ENSMUSG00000000148",7.97545129937446,7.59831806289696,7.63511260225687,7.5330585366245,7.49938125209486,7.76788960986615,7.63161252362551,7.72536776233445,7.81541790078043,7.88132911726276,7.54842403908376
"ENSMUSG00000000149",9.20855615144679,9.03851423973936,9.01359699307539,8.73812717402971,8.98564628638034,9.15566156876416,9.10929097672676,9.53007370693745,9.27394050697286,9.46183948365531,8.99303741566859
"ENSMUSG00000000154",9.37492967768725,9.77116848305337,9.41068957550762,9.42570936729267,9.70527362641063,9.96346650098803,10.3196836641603,9.87047644697661,9.55051292291131,9.33926857331778,9.85311855807218
"ENSMUSG00000000157",5.11441321014257,4.25136139190066,5.05109146106548,4.68110200723849,5.81564321694387,4.58452396713497,4.51911759644891,5.18990256339531,5.1186987191085,5.22633148108094,4.57999506282668
"ENSMUSG00000000159",9.25682544942719,9.88769293047826,10.1649808075609,10.2987402274933,11.1770450895702,10.1951598114586,10.660707973492,9.68279292769754,10.0411078210608,9.39382573445275,10.5965841450254
"ENSMUSG00000000167",5.59786260247677,5.97721857094921,5.91608431523806,5.96941087091606,6.25263700169856,5.63999457978248,5.78954511737204,5.76556489203972,5.53486125336879,5.6303914358052,6.04196208203079
"ENSMUSG00000000168",10.403888605622,10.7548958622624,10.7641126412491,10.9655021293653,10.4706891154782,10.2781507679633,9.94070096313583,10.4343029163171,10.8638590215555,10.5913203888769,10.3275928200453
"ENSMUSG00000000171",12.088926798746,12.228257613365,12.2308179508554,12.4844989859138,13.1224504594069,12.8325125044719,13.2216132739441,12.1197976148353,12.0826249471013,12.0015499853553,13.0866078965367
"ENSMUSG00000000182",4.95363573389041,4.51558379716153,4.52234481868048,4.6007465025962,4.74709806581608,4.25136139190066,4.56330617149588,4.25136139190066,4.70551220115429,4.9869418207226,4.63547232554485
"ENSMUSG00000000184",12.1353365309633,12.213676519451,11.3934703665355,11.2382549269529,11.1847864823189,12.1362333967792,12.5642595107179,12.1083901098253,11.8441270640028,12.8740841302476,12.1253159373723
"ENSMUSG00000000194",10.5215618299199,10.1381905887124,10.2360959570259,10.2422831285756,10.1826633837816,9.79862930223966,9.94012294087681,10.3141117544289,10.4340184864754,10.2658353551024,9.98828325647528
"ENSMUSG00000000197",4.75118836796428,5.20158055586392,4.64487108539861,5.05120267916585,4.25136139190066,4.95257102549936,4.54365436352548,4.25136139190066,5.2524218903142,4.99339744289614,4.90937472019465
"ENSMUSG00000000202",4.25136139190066,4.86122030024005,4.68745245098606,4.77946835452207,5.1703283701336,5.12643923887481,5.02900828501204,4.84779678996464,5.34680849312931,4.25136139190066,4.85011998329749
"ENSMUSG00000000204",8.23565292477364,9.07655941372461,8.3642793670702,9.35862386690775,9.52670152886994,8.44923805665077,8.32933210332111,7.318111791306,7.51894930863086,6.5967952165043,9.48709727736521
"ENSMUSG00000000214",4.25136139190066,4.71103585856595,4.25136139190066,4.25136139190066,4.75322076763926,4.25136139190066,4.6471863659952,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066
"ENSMUSG00000000215",8.74915726612322,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,4.25136139190066,7.85724546161529,4.25136139190066,8.33018617309834,4.57999615359377
"ENSMUSG00000000216",7.80680591482761,7.48899150666278,7.26242846480414,6.00245374598236,7.6151239823091,5.90512080637586,6.70824848224755,8.70407268371378,6.22657053026136,7.44028674603993,7.00614333358948
"ENSMUSG00000000223",5.13986915540605,5.33589780162466,5.6261025913243,5.61368412323343,5.04420251615535,5.72735188674323,5.49037845414375,5.76015003688524,6.15958480933679,5.7664837873953,5.25903615201105
"ENSMUSG00000000244",5.76291044528401,5.55083288909577,6.10149619844156,5.72207651768887,6.34086640216144,5.80638964016768,6.07962897894523,6.56200278506504,4.25136139190066,5.46982885936735,6.7748279236692
"ENSMUSG00000000247",4.25136139190066,4.25136139190066,5.29443778414906,4.55050487347386,4.68733944909232,4.66437004349836,5.07656221769921,4.49881125858784,4.25136139190066,4.48928712401286,4.54224227836659
"ENSMUSG00000000248",4.67466060512871,4.6476678542012,5.17013250325755,4.6871081812599,4.66550019169618,4.6989155734507,4.66697505548253,4.25136139190066,4.25136139190066,4.25136139190066,4.70745437756921
"ENSMUSG00000000253",7.22702546173492,8.30295833906475,7.17213468239108,7.18313715905722,7.53186327093578,7.30368343399175,8.06128353505294,7.42153605274674,7.00242709194368,7.9592559257693,7.4126345846838
"ENSMUSG00000000266",9.27173932144089,9.43253040541325,9.28682073617073,9.48748059442588,8.17462666998632,8.90620482156362,8.46706395406803,9.55099696001502,9.60365240159572,9.31852615338096,8.90598597774512
"ENSMUSG00000000275",11.2824855626972,10.9161918716954,10.9029878356999,10.9531661638422,10.4414311012174,10.927757544314,10.8697841906448,10.8306219454851,11.3671695603544,11.1439710923691,10.8277595490197
"ENSMUSG00000000276",6.84591579624851,7.33423335656682,7.22253332996307,7.05593122780721,6.31503243245418,6.97137551386531,6.97894233313672,7.32528195104114,7.06131362246334,7.01472099554536,6.81539268615067
