"","I_V_1","I_V_2","I_V_4","I_V_5","I_V_6","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000000001",4274.08032057324,3557.41521407498,4043.58579462698,4037.09112640175,2998.99042033811,3390.69169864744,3133.35789131287,3587.2504678875,4421.76862622595,4131.35490606675,3233.62943180014
"ENSMUSG00000000003",0,2.17619335232011,164.762009399718,0,0,0,0,0,0,0,0.72167820304636
"ENSMUSG00000000028",186.235647282562,182.54650322172,286.051531509067,321.708983601011,305.746195241156,234.156467965965,150.148514387936,162.854386354466,338.819212682955,179.683786847616,292.067567764231
"ENSMUSG00000000037",4.2611342864888,16.399137587927,1.27598937596124,2.92543308808107,0.693312845114344,2.38840543434842,0.40191638426533,14.6848198962059,34.7857206329758,1.85782957961039,3.46905849202267
"ENSMUSG00000000049",0,1.65335750446225,2.32061566460615,1.48418890869667,3.83291027253288,2.27963313989944,3.52675017357527,5.77599709292096,3.23275771308317,0,9.31514928906781
"ENSMUSG00000000056",695.336155024692,649.414877603144,798.948478134855,878.772403111678,652.884756270165,595.086855344388,256.702561864754,910.864980653973,559.260370063676,949.10713860712,894.740997006249
"ENSMUSG00000000058",304.25387386442,259.729061715034,358.229038288169,215.688752821966,182.718508052628,198.65542923687,128.101650950166,272.07862927838,264.176730326744,383.044142893643,238.403912887993
"ENSMUSG00000000078",3787.54775664618,3609.00013042095,3869.79479589654,4339.40971814486,4344.64104870337,4100.40784715366,3215.58494701306,3318.21930663532,3176.7967750615,3261.9531908803,3553.55418528046
"ENSMUSG00000000085",383.814290917446,479.596456031416,366.688962818217,445.473888065147,443.6011018806,519.10317899597,548.601493484492,550.361978639673,417.404355211556,477.283140805876,499.631336551821
"ENSMUSG00000000088",4747.56453915973,4830.64035900556,5340.79460298291,6477.71425767868,11438.0163570538,7687.37281494728,10342.7158476236,5354.3386489552,4987.69111649718,4333.53169592994,9870.9223597225
"ENSMUSG00000000093",42.7208161395011,49.7001526108557,45.6898582578979,39.6533629690504,35.4086992278692,61.1690403854524,82.2012037843191,65.8897978350462,39.3753968553465,69.8915013445413,47.1740060047639
"ENSMUSG00000000094",9.41032215925434,6.34743881939939,6.06308772743169,2.79744667998512,2.23955425160507,1.38168665955829,7.83546242770001,9.01998804029215,5.74395577504742,15.5891903858141,3.30700581490785
"ENSMUSG00000000120",37.4374822977211,39.4085912288583,47.4739375723913,33.5863827496785,25.5304410169072,44.2812103419139,52.4764884061347,46.8764368966034,30.3153446485136,58.6317333340435,20.7393829706206
"ENSMUSG00000000125",0,1.26620396232793,0,1.13327567724756,0.763256742286533,0,1.74051661042714,1.8010656376953,0,1.70414548775499,2.01811114348132
"ENSMUSG00000000126",11.6139027056804,12.5900393344349,10.0134825102961,7.80776525498768,11.3376155430681,13.2160914799575,7.80791475070541,12.693830564617,9.55270124279186,10.3167726580888,3.38030761267228
"ENSMUSG00000000127",217.932741374946,239.564341673679,217.028375784544,279.597764913717,255.230817922676,211.261455411686,142.755029343616,219.752208577983,249.4316399155,133.293057757965,261.979670554252
"ENSMUSG00000000131",1292.81002622837,981.634505600344,1002.05824178646,856.015887012666,586.433639252289,701.956921620594,568.163458982815,1065.67418506274,1121.45782335687,976.41729242108,707.95630918317
"ENSMUSG00000000134",501.286256535918,496.429560599606,668.505268521094,553.20783863651,322.701326016372,443.987688006642,461.416269041688,606.70055931119,486.159493100658,687.733292944067,372.082370353285
