"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050900","GO:0050900","leukocyte migration","112/1692","319/15445",4.99089455659877e-31,2.70107213403125e-27,1.97744495905661e-27,"Itgb2/Mmp14/Tgfb1/Ccl8/Rarres2/Trpm2/Csf1/Ager/Itga2/Eps8/Lbp/Mmp9/Cxcl16/Ccl9/Madcam1/Myo1g/Mmp28/Syk/Tnfsf11/Ednrb/Nckap1l/Retnlg/Cxadr/Cxcl13/Pla2g7/Vegfa/Trem2/Aif1/Tnf/Anxa1/Capn1/Adam8/Ccr1/Ccl20/Cxcr2/Selp/Il1rn/Il1f8/Stk39/Il1b/Il1a/Vcam1/Tlr2/Pde4b/Csf3r/Padi2/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Cd9/Itgam/Msn/Vegfd/Mpp1/F7/Ccl17/Slc37a4/Dapk2/Rac2/Mif/Vav1/Cd300a/Gpsm3/Plvap/Cxcl10/Ccl7/Ccl2/Fut7/Icam1/Serpine1/Sirpa/Cyp7b1/Prex1/Ptger4/Ccr6/Bdkrb1/Trem3/Cmklr1/Trem1/S100a14/Il1f9/Selplg/Jaml/Ccr2/C5ar1/Ch25h/Scg2/Plcb1/Ffar2/Cd177/Fpr2/Cx3cr1/Hrh1/Slamf8/Cd47/Nod2/S100a8/S100a9/Ptafr/Adtrp/Cxcl2/Fcer1g/Fcgr3/Ano6/Ccl19/Nlrp12/Ccl21a/2610528A11Rik",112
"GO:0097529","GO:0097529","myeloid leukocyte migration","81/1692","191/15445",3.31421778221695e-29,8.96827331867906e-26,6.56563985908663e-26,"Itgb2/Mmp14/Ccl8/Rarres2/Csf1/Ager/Lbp/Ccl9/Mmp28/Syk/Tnfsf11/Ednrb/Nckap1l/Retnlg/Cxadr/Cxcl13/Pla2g7/Vegfa/Trem2/Aif1/Anxa1/Adam8/Ccr1/Ccl20/Cxcr2/Il1rn/Il1f8/Il1b/Il1a/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Cd9/Itgam/Vegfd/Mpp1/Ccl17/Slc37a4/Dapk2/Rac2/Mif/Vav1/Cd300a/Cxcl10/Ccl7/Ccl2/Serpine1/Sirpa/Prex1/Ptger4/Trem3/Cmklr1/Trem1/S100a14/Il1f9/Jaml/Ccr2/C5ar1/Scg2/Plcb1/Cd177/Fpr2/Cx3cr1/Hrh1/Slamf8/Cd47/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Ano6/Ccl19/Ccl21a",81
"GO:0030595","GO:0030595","leukocyte chemotaxis","81/1692","198/15445",6.58331531311549e-28,1.18763008248603e-24,8.69459608370761e-25,"Itgb2/Ccl8/Rarres2/Trpm2/Csf1/Lbp/Cxcl16/Ccl9/Mmp28/Syk/Tnfsf11/Ednrb/Nckap1l/Retnlg/Cxadr/Cxcl13/Pla2g7/Vegfa/Aif1/Anxa1/Adam8/Ccr1/Ccl20/Cxcr2/Il1rn/Il1f8/Stk39/Il1b/Pde4b/Csf3r/Padi2/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Itgam/Vegfd/Mpp1/F7/Ccl17/Slc37a4/Dapk2/Rac2/Mif/Vav1/Gpsm3/Cxcl10/Ccl7/Ccl2/Serpine1/Cyp7b1/Prex1/Ccr6/Trem3/Cmklr1/Trem1/S100a14/Il1f9/Jaml/Ccr2/C5ar1/Ch25h/Scg2/Ffar2/Fpr2/Cx3cr1/Hrh1/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Ano6/Ccl19/Ccl21a/2610528A11Rik",81
"GO:0060326","GO:0060326","cell chemotaxis","93/1692","274/15445",1.09193223968218e-24,1.47738432028999e-21,1.08158761846414e-21,"Itgb2/Ccl8/Rarres2/Trpm2/Csf1/Lbp/Cxcl16/Ccl9/Mmp28/Syk/Tnfsf11/Ednrb/Enpp2/Nckap1l/Retnlg/Cxadr/Nr4a1/Cxcl13/Abcc1/Pla2g7/Vegfa/Aif1/Lox/Anxa1/Adam8/Ccr1/Ccl20/Cxcr2/Il1rn/Il1f8/Stk39/Il1b/Vcam1/Pde4b/Csf3r/Padi2/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Flt1/Il17rc/Itgam/Vegfd/Mpp1/F7/Ccl17/Bcar1/Slc37a4/Dapk2/Rac2/Mif/Vav1/Gpsm3/Cxcl10/Ccl7/Ccl2/Fgf1/Serpine1/Lpar1/Cyp7b1/Prex1/Saa3/Ccr6/Trem3/Cmklr1/Trem1/S100a14/Il1f9/Jaml/Ccr2/C5ar1/Ch25h/Scg2/Ffar2/Fpr2/Cx3cr1/Hrh1/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Arrb2/Kdr/Ano6/Ccl19/Rhog/Ccl21a/2610528A11Rik",93
"GO:0097530","GO:0097530","granulocyte migration","60/1692","133/15445",1.17853322227707e-23,1.2756443597927e-20,9.33894536558079e-21,"Itgb2/Ccl8/Rarres2/Csf1/Lbp/Ccl9/Syk/Nckap1l/Cxadr/Cxcl13/Vegfa/Anxa1/Adam8/Ccl20/Cxcr2/Il1rn/Il1f8/Il1b/Il1a/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Il17rc/Itgam/Mpp1/Ccl17/Slc37a4/Dapk2/Rac2/Vav1/Cd300a/Cxcl10/Ccl7/Ccl2/Sirpa/Prex1/Ptger4/Trem3/Cmklr1/Trem1/S100a14/Il1f9/Jaml/C5ar1/Scg2/Cd177/Hrh1/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Ccl19/Ccl21a",60
"GO:0071621","GO:0071621","granulocyte chemotaxis","53/1692","113/15445",5.01268688317222e-22,4.52144356862135e-19,3.31013218039654e-19,"Itgb2/Ccl8/Rarres2/Csf1/Lbp/Ccl9/Syk/Nckap1l/Cxadr/Cxcl13/Vegfa/Anxa1/Ccl20/Cxcr2/Il1rn/Il1f8/Il1b/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Il17rc/Itgam/Mpp1/Ccl17/Slc37a4/Dapk2/Rac2/Vav1/Cxcl10/Ccl7/Ccl2/Prex1/Trem3/Cmklr1/Trem1/S100a14/Il1f9/Jaml/C5ar1/Scg2/Hrh1/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Ccl19/Ccl21a",53
"GO:0006820","GO:0006820","anion transport","119/1692","465/15445",1.8066098295666e-19,1.39676748537349e-16,1.0225683305998e-16,"Slc7a7/Slc26a3/Ppard/Apoe/Cyp4f18/Psap/Clcn5/Slc1a2/Slc2a9/Slc34a3/Slc5a6/Slc16a12/Slc3a2/Ace2/Pltp/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Emb/Tnfsf11/Slc7a8/Ank/Slc52a2/Clcn2/Fabp2/Slc10a2/Abcc1/Slc26a6/Nfkbie/Clic5/Abcg1/Slc3a1/Abcg8/Slc23a1/Tnf/Nr3c1/Anxa1/Pitpnm1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Slc11a1/Cln8/Xpr1/Il1rn/Stk39/Il1b/Il1a/Slc52a3/Slc2a2/Slc7a11/Abcd3/Mttp/Clca3a2/Slc2a1/Mfsd2a/Pitpnm2/Slc13a1/Abcg2/Ttyh1/Slc7a9/Slco2b1/Ano1/Abcd1/Slc25a15/Slc25a4/Agt/Slc37a4/Slc37a2/Aqp9/Stra6/Cck/Abcc4/Acsl3/Mif/Slc26a2/Slc51a/Ttyh3/Slc6a20a/Hk1/Clic4/Nmur2/Best1/Atp8a1/Ano2/Slc43a2/Pdzk1/Kmo/Pla2g2d/Tspo/P2ry4/Kcnj10/Slc16a5/Cldn4/P2ry6/Tg/Pla2g4a/Cebpb/Ptafr/Abat/Slc27a4/Atp8b4/Slc4a4/Slc25a3/Ano6/Slc4a11",119
"GO:1990266","GO:1990266","neutrophil migration","49/1692","110/15445",2.8386107907345e-19,1.92032019993189e-16,1.40585934425324e-16,"Itgb2/Ccl8/Lbp/Ccl9/Syk/Nckap1l/Cxadr/Cxcl13/Adam8/Ccl20/Cxcr2/Il1rn/Il1f8/Il1b/Il1a/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Itgam/Mpp1/Ccl17/Slc37a4/Dapk2/Rac2/Vav1/Cxcl10/Ccl7/Ccl2/Prex1/Ptger4/Trem3/Trem1/Il1f9/Jaml/C5ar1/Cd177/Slamf8/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Ccl19/Ccl21a",49
"GO:0030593","GO:0030593","neutrophil chemotaxis","44/1692","93/15445",1.06494848600733e-18,6.40389022919072e-16,4.68826444600184e-16,"Itgb2/Ccl8/Lbp/Ccl9/Syk/Nckap1l/Cxadr/Cxcl13/Ccl20/Cxcr2/Il1rn/Il1f8/Il1b/Pde4b/Csf3r/Bst1/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Itgam/Mpp1/Ccl17/Slc37a4/Dapk2/Rac2/Vav1/Cxcl10/Ccl7/Ccl2/Prex1/Trem3/Trem1/Il1f9/Jaml/C5ar1/Nod2/S100a8/S100a9/Cxcl2/Fcer1g/Fcgr3/Ccl19/Ccl21a",44
"GO:0002443","GO:0002443","leukocyte mediated immunity","93/1692","336/15445",8.00325236162626e-18,4.33136017811213e-15,3.17097283043803e-15,"Itgb2/Tcirg1/Tgfb1/Il12b/Hmox1/Ager/Ncf1/H2-M2/Vsir/Havcr2/Myo1g/Ace/Pld2/Syk/Serping1/C3/Myo1f/Tnf/Dnase1l3/Il18rap/Slc11a1/Ptprc/Cd55/Fcgr2b/Traf2/Il1b/Tlr2/Bcl10/Tnfrsf1b/Fgr/Prkcz/Cxcl5/Cxcl1/Anxa3/Il4ra/Itgam/Il13ra2/Ctsh/Malt1/Nlrp3/Rac2/Crlf2/Vav1/Batf/Cd300a/Dpp4/H2-Q4/C1qa/C1qc/C1qb/Icam1/Arid5a/Mavs/Cd84/C1s1/Tlr4/Il18/Stx11/Ccr6/Trem3/Trem1/Serpinb9/Pik3r6/Igf2/Ccr2/Treml4/Cd177/Fes/Bcl3/H2-T24/C1ra/Nod2/Dennd1b/Ptafr/Sphk2/Fcer1g/Pirb/Fcgr3/Arrb2/H2-Q7/Cd300lb/Dusp22/Gm8909/H2-Bl/H2-Q6/C4b/C1s2/H2-T10/Gm11127/H2-Q1/Muc4/C1rb/Sh2d1b1",93
"GO:0002237","GO:0002237","response to molecule of bacterial origin","81/1692","276/15445",2.64372160912354e-17,1.30071103168878e-14,9.52245754712058e-15,"Ppard/Axl/Tgfb1/Il12b/Shpk/Ggt1/Lbp/Pdcd1lg2/Slpi/Cd68/Cxcl16/Tnfaip3/Irak3/Havcr2/Cmpk2/Ace/Nfkbia/Ly86/Erbin/Ednrb/Acod1/Cd86/Cxcl13/Trem2/Tnf/Slc11a1/Ncf2/Fcgr2b/Mrc1/Vim/Il1rn/Il1f8/Itgav/Il1b/Tlr2/Bcl10/Gbp2/Pde4b/Tnfrsf1b/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Irf5/Adm/Plscr1/Plscr4/Ptgs2/Mapkapk3/Malt1/Nlrp3/Mif/Cxcl10/Ccl2/Serpine1/Arid5a/Gch1/Sirpa/Cd84/Tlr4/Il18/Ptger4/Bdkrb1/Zc3h12a/Ptgir/Il1f9/Tnip3/Tlr1/C5ar1/Cd14/Tlr6/Wfdc21/Cx3cr1/Junb/Nod2/Ticam2/Cebpb/Ptafr/Upf1/Cxcl2/Cd300lb",81
"GO:0015711","GO:0015711","organic anion transport","94/1692","355/15445",1.24390665549266e-16,5.61001901627189e-14,4.10707425550383e-14,"Slc7a7/Slc26a3/Ppard/Apoe/Cyp4f18/Psap/Slc1a2/Slc2a9/Slc5a6/Slc16a12/Slc3a2/Ace2/Pltp/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Emb/Tnfsf11/Slc7a8/Slc52a2/Fabp2/Slc10a2/Abcc1/Slc26a6/Nfkbie/Abcg1/Slc3a1/Abcg8/Slc23a1/Tnf/Nr3c1/Anxa1/Pitpnm1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Slc11a1/Cln8/Il1rn/Stk39/Il1b/Il1a/Slc52a3/Slc2a2/Slc7a11/Abcd3/Mttp/Slc2a1/Mfsd2a/Pitpnm2/Slc13a1/Abcg2/Slc7a9/Slco2b1/Abcd1/Slc25a15/Slc25a4/Agt/Slc37a4/Slc37a2/Aqp9/Stra6/Cck/Abcc4/Acsl3/Mif/Slc51a/Slc6a20a/Nmur2/Atp8a1/Slc43a2/Kmo/Pla2g2d/Kcnj10/Slc16a5/Pla2g4a/Abat/Slc27a4/Atp8b4/Slc4a4/Slc4a11",94
"GO:0050727","GO:0050727","regulation of inflammatory response","88/1692","327/15445",4.12807610954368e-16,1.71854983883465e-13,1.25814400617995e-13,"Ppard/Apoe/Il12b/Cd44/Mmp8/Shpk/Ggt1/Ager/Itga2/Lbp/Tnfaip3/Enpp3/Egfr/Adora2a/Tnip1/Pik3cg/Ace/Nfkbia/Aoah/Nr1d2/Tnfsf11/Ednrb/Acod1/C6/Mefv/Abcc1/Serping1/Trem2/C3/Tnf/Anxa1/Dnase1l3/Adam8/Il1rl1/Il1r2/Cfh/Cd55/Fcgr2b/Stk39/Duoxa2/Il1b/Tlr2/Tnfrsf1b/Bst1/Il17rc/Pglyrp1/Siglece/Abcd1/Agt/Nt5e/Ptgs2/Nlrp3/Mif/Gpsm3/Serpine1/Sirpa/Sema7a/Ctss/Nlrp6/Tlr4/Il22ra2/Ptger4/Zc3h12a/C2cd4a/Ccr2/Ffar2/Tlr6/Fpr2/Cx3cr1/Slamf8/Pde5a/Ffar4/Cd47/Nod2/S100a8/S100a9/Pla2g4a/Cebpb/Fcer1g/Fcgr3/Alox5ap/Gpx1/Cst7/Cd59b/Lilra5/Nlrp12/Cd200r2/C2cd4b",88
"GO:0002274","GO:0002274","myeloid leukocyte activation","65/1692","205/15445",5.97541270132098e-16,2.30992382425351e-13,1.69108672238888e-13,"Itgb2/Spi1/Tgfb1/Lcp2/Hmox1/Mmp8/Shpk/Ager/Lbp/Enpp3/Havcr2/Pld2/Irf4/Syk/Clu/Dcstamp/Trem2/Myo1f/Aif1/Tnf/Dnase1l3/Il18rap/Il1rl1/Slc11a1/Cxcr2/Batf3/Tlr2/Bcl10/Fgr/Cxcl5/Anxa3/Clec4d/Tyrobp/Il4ra/Itgam/Il13ra2/Plscr1/Rac2/Crlf2/Batf/Cd300a/C1qa/Cd84/Tlr4/Rbpj/Il18/Stx11/Tlr8/Tlr1/Cd300lf/Ccr2/C5ar1/Tlr6/Cd177/Fpr2/Cx3cr1/Fes/Ptafr/Sphk2/Fcer1g/Pirb/Fcgr3/Cd300lb/Pilrb1/Cst7",65
"GO:0031349","GO:0031349","positive regulation of defense response","90/1692","343/15445",1.03448207497066e-15,3.73241132649415e-13,2.73248458258918e-13,"Il12b/Mmp8/Cyba/Cav1/Ager/Itga2/Lbp/Tnfaip3/Egfr/Irak3/Havcr2/Tnip1/Pik3cg/Ace/Coch/Nfkbia/Irf4/Erbin/Tnfsf11/Acod1/Cd86/Abcc1/Trem2/C3/Tnf/Adam8/Il18rap/Il1rl1/Ifi211/Optn/Il1b/Tlr2/Bcl10/Ereg/Cxcl1/Clec4e/Il17rc/Mmp2/Plscr1/Ptgs2/Cck/Mapkapk3/Mif/Tlr13/Vav1/Tkfc/Cd300a/Gpsm3/Unc93b1/Serpine1/Mavs/Nod1/Ctss/Nlrp6/Tlr4/Ptger4/Tlr8/Trem3/S100a14/Tnip3/Tlr1/Cd300lf/C2cd4a/Ccr2/Mmp12/Lrrc19/Ffar2/Cd14/Tlr6/Treml4/Fpr2/Pde5a/Ifi205/Cd47/Nod2/S100a8/S100a9/Ticam2/Pla2g4a/Cebpb/Fcer1g/Fcgr3/Alox5ap/Arrb2/Tlr12/Lilra5/Ifi204/Mndal/C2cd4b/Sh2d1b1",90
"GO:0032496","GO:0032496","response to lipopolysaccharide","74/1692","258/15445",2.48692079503885e-15,8.41200958921892e-13,6.15840123192516e-13,"Ppard/Axl/Tgfb1/Il12b/Shpk/Ggt1/Lbp/Pdcd1lg2/Slpi/Cd68/Cxcl16/Tnfaip3/Irak3/Havcr2/Cmpk2/Ace/Nfkbia/Ly86/Erbin/Ednrb/Acod1/Cd86/Cxcl13/Trem2/Tnf/Slc11a1/Ncf2/Mrc1/Vim/Il1rn/Il1f8/Il1b/Bcl10/Gbp2/Pde4b/Tnfrsf1b/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Adm/Plscr1/Plscr4/Ptgs2/Mapkapk3/Malt1/Nlrp3/Mif/Cxcl10/Ccl2/Serpine1/Arid5a/Gch1/Sirpa/Cd84/Tlr4/Il18/Ptger4/Bdkrb1/Zc3h12a/Ptgir/Il1f9/Tnip3/Cd14/Wfdc21/Cx3cr1/Junb/Nod2/Ticam2/Cebpb/Ptafr/Upf1/Cxcl2/Cd300lb",74
"GO:0046942","GO:0046942","carboxylic acid transport","74/1692","259/15445",3.11771970356483e-15,9.92535237393698e-13,7.26631390973252e-13,"Slc7a7/Ppard/Apoe/Cyp4f18/Psap/Slc1a2/Slc5a6/Slc16a12/Slc3a2/Ace2/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Emb/Tnfsf11/Slc7a8/Fabp2/Slc10a2/Abcc1/Slc26a6/Nfkbie/Slc3a1/Slc23a1/Tnf/Nr3c1/Anxa1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Slc11a1/Cln8/Il1rn/Stk39/Il1b/Il1a/Slc7a11/Abcd3/Mfsd2a/Slc13a1/Slc7a9/Slco2b1/Abcd1/Slc25a15/Agt/Aqp9/Stra6/Cck/Abcc4/Acsl3/Mif/Slc51a/Slc6a20a/Nmur2/Slc43a2/Kmo/Pla2g2d/Kcnj10/Slc16a5/Pla2g4a/Abat/Slc27a4",74
"GO:0015849","GO:0015849","organic acid transport","74/1692","260/15445",3.90250379801184e-15,1.15088349776876e-12,8.42557569067107e-13,"Slc7a7/Ppard/Apoe/Cyp4f18/Psap/Slc1a2/Slc5a6/Slc16a12/Slc3a2/Ace2/Slc6a8/Slc17a8/Adora2a/Acsl6/Slc7a15/Ace/Slc9a3r1/Slc46a1/Syk/Sfxn1/Slc6a19/Slc6a18/Emb/Tnfsf11/Slc7a8/Fabp2/Slc10a2/Abcc1/Slc26a6/Nfkbie/Slc3a1/Slc23a1/Tnf/Nr3c1/Anxa1/Slc1a1/Acsl5/Rbp4/Slc16a3/Slc15a1/Slco3a1/Slc25a10/Slc11a1/Cln8/Il1rn/Stk39/Il1b/Il1a/Slc7a11/Abcd3/Mfsd2a/Slc13a1/Slc7a9/Slco2b1/Abcd1/Slc25a15/Agt/Aqp9/Stra6/Cck/Abcc4/Acsl3/Mif/Slc51a/Slc6a20a/Nmur2/Slc43a2/Kmo/Pla2g2d/Kcnj10/Slc16a5/Pla2g4a/Abat/Slc27a4",74
"GO:0050663","GO:0050663","cytokine secretion","68/1692","228/15445",4.04042617472404e-15,1.15088349776876e-12,8.42557569067107e-13,"Tcirg1/Lcp2/Psg18/Mmp8/Fbln1/Ager/Tnfaip3/Srgn/Havcr2/Syk/Clec4n/Aif1/Tnf/Csf1r/Anxa1/Il1rl1/Il1r2/Optn/Itgav/Il1b/Il1a/Tlr2/Zbtb7b/Rorc/Tnfrsf1b/Fgr/Tnfrsf9/Prkcz/Tnfrsf4/Clec5a/Clec4e/Il17rc/Il4ra/Agt/Nlrp3/Mif/Crlf2/Unc93b1/Hk1/Arid5a/Mavs/Cd84/Tlr4/Rbpj/Ptger4/Tlr8/Trem3/Trem1/Zc3h12a/Flt3/Serpinb1a/Cd300c2/Tlr1/Mmp12/Serpinb1b/Ffar2/Cd14/Tlr6/Ezr/Mapk11/Ffar4/Nod2/Sphk2/Chil1/Nlrp1b/Lilra5/Ccl19/Nlrp12",68
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin","61/1692","192/15445",4.2661220489501e-15,1.1544126264459e-12,8.45141231170956e-13,"Ppard/Axl/Tgfb1/Il12b/Shpk/Lbp/Pdcd1lg2/Cd68/Cxcl16/Tnfaip3/Havcr2/Cmpk2/Nfkbia/Ly86/Acod1/Cd86/Cxcl13/Trem2/Tnf/Fcgr2b/Mrc1/Vim/Il1rn/Il1f8/Il1b/Tlr2/Bcl10/Gbp2/Pde4b/Tnfrsf1b/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Plscr1/Plscr4/Malt1/Nlrp3/Mif/Cxcl10/Ccl2/Serpine1/Arid5a/Gch1/Sirpa/Cd84/Tlr4/Il18/Zc3h12a/Il1f9/Tnip3/Tlr1/Cd14/Tlr6/Cx3cr1/Nod2/Ticam2/Cebpb/Upf1/Cxcl2/Cd300lb",61
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","113/1692","495/15445",1.1263124610989e-14,2.90266811403201e-12,2.12503263337155e-12,"Hk2/Srr/Ppard/Abhd3/Lipe/Cyp4f18/Ggt1/Elovl1/Prkag3/Cav1/Acaa1b/Fads1/Acsf3/Aldoc/Alox15/Vnn3/Hkdc1/Tysnd1/Ddit4/Pfkl/Acsl6/Fabp6/Ogdh/Aspa/Acox1/Hif1a/Entpd5/Esrrb/Aoah/Eci3/Acox2/Ephx2/Acod1/Amacr/Cyp2d26/Dgat1/Ehhadh/Gpd1/Fabp2/Cyp1b1/C3/Stard4/Me2/Anxa1/Acsl5/Gk/Jmjd8/Hk3/Rdh10/Cyp27a1/Kynu/Dhrs9/Il1b/Lpin3/Pck1/Fabp5/Abcd3/Pdpn/Khk/Ppargc1a/Cyp3a13/Tbxas1/Cyp2b10/Idh2/Me3/Aldoa/Fgf15/Pdha1/Abcd1/Erlin2/Hpgd/Ces1f/Agt/Bco2/Slc37a4/Ptgs2/Acsl3/Mif/Tnxb/Fa2h/Akr1c14/Faah/Tkfc/Slc2a6/Acaa2/Hk1/Wdtc1/Pdk2/Cyp7b1/Kyat1/Baat/Kmo/Rbp1/Acot4/Aldh1a1/Phgdh/Rdh9/Pla2g4a/Ces1d/Abat/Adtrp/Slc27a4/Alox5ap/Eno3/Cyp2d22/Cyp2c65/Acnat1/Malrd1/Acsf2/Cyp4v3/Acad11/Cyp4f40/Cyp2d34",113
"GO:0002685","GO:0002685","regulation of leukocyte migration","60/1692","191/15445",1.27400225072962e-14,3.13404553679487e-12,2.29442319222311e-12,"Mmp14/Tgfb1/Rarres2/Csf1/Ager/Itga2/Lbp/Mmp9/Madcam1/Mmp28/Nckap1l/Cxcl13/Pla2g7/Vegfa/Trem2/Aif1/Anxa1/Capn1/Adam8/Ccr1/Ccl20/Cxcr2/Selp/Stk39/Il1b/Il1a/Tlr2/Padi2/Bst1/Cd9/Msn/Vegfd/Mpp1/F7/Dapk2/Rac2/Mif/Cd300a/Gpsm3/Plvap/Cxcl10/Ccl2/Icam1/Serpine1/Ptger4/Ccr6/Bdkrb1/Cmklr1/S100a14/Ccr2/C5ar1/Plcb1/Fpr2/Slamf8/Nod2/Ptafr/Adtrp/Ano6/Ccl19/Ccl21a",60
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","78/1692","289/15445",1.69361101058427e-14,3.98514034316611e-12,2.91750656468612e-12,"Tgfb1/Mmp8/Cyba/Rarres2/Csf1/Ager/Itga2/Lbp/Egfr/Havcr2/Tnip1/Pik3cg/Ace/Nfkbia/Ly86/Tnfsf11/Acod1/Nckap1l/Cxcl13/Abcc1/Pla2g7/Vegfa/Trem2/C3/Aif1/Tnf/Adam8/Ccr1/Il1rl1/Cxcr2/Optn/Stk39/Il1b/Tlr2/Cxcl1/Ocm/Il17rc/Vegfd/F7/Dapk2/Ptgs2/Rac2/Mif/Gpsm3/Cxcl10/Ccl2/Serpine1/Nod1/Ctss/Lpar1/Tlr4/Ptger4/Ccr6/Cmklr1/S100a14/C2cd4a/Ccr2/C5ar1/Scg2/Ffar2/Tlr6/Fpr2/Pde5a/Cd47/Nod2/S100a8/S100a9/Pla2g4a/Cebpb/Fcer1g/Fcgr3/Alox5ap/Kdr/Ano6/Lilra5/Ccl19/C2cd4b/Ccl21a",78
"GO:0098542","GO:0098542","defense response to other organism","101/1692","426/15445",2.42927773597177e-14,5.47802129461635e-12,4.01043920973586e-12,"Tgfb1/Hck/Il12b/Cyba/Rarres2/Lpo/Apobec3/Ncf1/Lbp/Slpi/Ddit4/Havcr2/Map3k14/Coch/Irf4/Syk/Serinc5/Cxadr/Cd86/Ifnar2/Cxcl13/Clec4n/Trem2/Myo1f/Tnf/Ifitm1/Ifitm3/Slc11a1/Ptprc/Optn/Lcn2/Prg2/Il1b/Itch/Pld1/Tlr2/Gbp3/Gbp2/Fgr/Cxcl5/Cxcl1/Cxcl9/Anxa3/Irf5/Clec4e/Clec4d/Il17rc/Pglyrp1/Il4ra/Itgax/Hp/Cotl1/Plscr1/Nlrp3/Tagap/Batf/Tkfc/Cxcl10/Leap2/Unc93b1/Serpine1/Mavs/Nod1/Itln1/Tlr4/Rbpj/Gbp2b/Tlr8/Apobec1/Trem3/Trem1/Zc3h12a/Serpinb9/Ifit2/Bst2/Mpeg1/Ccdc88b/C5ar1/Mmp12/Treml4/Fpr2/Bcl3/Slamf8/Iigp1/Nod2/Ticam2/Cebpb/H2bc8/Fcer1g/H2-Q7/Ifitm2/Ifnlr1/Tnfaip8/Tlr12/Jchain/Ifit1bl2/Lyz1/Lyz2/Reg3b/Naip6/2610528A11Rik",101
