"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045177","GO:0045177","apical part of cell","96/1718","379/15743",1.04244932377313e-15,5.9940836116955e-13,5.278085523525e-13,"Slc26a3/Srr/Tcirg1/Cyp4f18/Clcn5/Aqp1/Cd44/Slc2a9/Slc34a3/Cyba/Cav1/Slc5a1/Ager/Slc22a5/Dpep1/Egfr/Slc9a3r1/Slc46a1/Numb/Amn/Ctsl/Slc6a19/Slc6a18/Upk3a/Cldn1/Fabp2/Slc10a2/Slc26a6/Abcg8/Slc23a1/Anxa1/Slc1a1/Slc6a20b/Myo1a/Ifitm3/Cdhr5/Slco3a1/Cd55/Atp1b1/Cubn/Itga8/Stk39/Duoxa2/Slc2a2/Pld1/Gpsm2/Vcam1/Enpep/Atp6v0d2/Epb41l4b/Dab1/Pdpn/Svbp/Slc2a1/Abcb1b/Slc2a5/Prkcz/Prom1/Abcg2/Cd9/Slc7a9/Slco2b1/Ano1/Msn/Pdzd3/C2cd2l/Atp1a1/Kcnk1/Slc26a2/Cdhr2/Dpp4/Reep6/Slc6a20a/Clic4/Kcnk2/Pdzk1/Snx10/Atp6v0a4/Il18/Abcg5/S100g/Muc1/Pkhd1/P2ry4/Kcnj10/Bst2/Cldn4/P2ry6/C5ar1/Ezr/Naaladl1/Itpk1/Slc39a4/Duox2/Reg3b/Muc4",96
"GO:0005903","GO:0005903","brush border","48/1718","131/15743",6.81215624841655e-15,1.95849492141976e-12,1.72455113446756e-12,"Slc26a3/Rgs19/Scin/Aqp1/Slc34a3/Slc5a6/Slc5a1/Ace2/Eps8/Slc22a5/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Slc3a1/Slc23a1/Slc6a20b/Myo1a/Cdhr5/Slc15a1/Vil1/Lct/Cubn/Slc2a2/Slc7a11/Sis/Mme/Enpep/Mttp/Aqp7/Dab1/Prom1/Slc7a9/Treh/Pdzd3/Kcnk1/Cdhr2/Itln1/Pdzk1/Atp6v0a4/Anpep/Pls1/Ezr/Slc27a4",48
"GO:0016324","GO:0016324","apical plasma membrane","75/1718","284/15743",1.5327003329488e-13,2.93767563815186e-11,2.58676793034516e-11,"Slc26a3/Tcirg1/Cyp4f18/Aqp1/Cd44/Slc2a9/Slc34a3/Cyba/Cav1/Slc5a1/Ager/Slc22a5/Egfr/Slc9a3r1/Slc46a1/Amn/Slc6a19/Slc6a18/Upk3a/Cldn1/Slc10a2/Slc26a6/Abcg8/Slc23a1/Anxa1/Slc1a1/Slc6a20b/Myo1a/Cdhr5/Slco3a1/Cd55/Atp1b1/Cubn/Stk39/Slc2a2/Pld1/Enpep/Atp6v0d2/Pdpn/Slc2a1/Abcb1b/Slc2a5/Prkcz/Prom1/Abcg2/Cd9/Slc7a9/Slco2b1/Ano1/Msn/C2cd2l/Atp1a1/Kcnk1/Slc26a2/Cdhr2/Dpp4/Slc6a20a/Kcnk2/Pdzk1/Atp6v0a4/Il18/Abcg5/S100g/Muc1/Pkhd1/P2ry4/Kcnj10/Bst2/Cldn4/P2ry6/Ezr/Naaladl1/Itpk1/Slc39a4/Muc4",75
"GO:0031526","GO:0031526","brush border membrane","32/1718","71/15743",2.76874767666951e-13,3.98007478521241e-11,3.50465166441587e-11,"Slc26a3/Aqp1/Slc34a3/Slc5a6/Slc5a1/Ace2/Slc22a5/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Slc3a1/Slc6a20b/Cdhr5/Cubn/Slc2a2/Slc7a11/Enpep/Mttp/Aqp7/Slc7a9/Kcnk1/Cdhr2/Itln1/Pdzk1/Atp6v0a4/Anpep/Slc27a4",32
"GO:0098862","GO:0098862","cluster of actin-based cell projections","53/1718","180/15743",6.57531748679949e-12,7.56161510981942e-10,6.65837412873801e-10,"Slc26a3/Rgs19/Scin/Calb2/Aqp1/Slc34a3/Slc5a6/Slc5a1/Ace2/Eps8/Slc22a5/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Twf2/Clic5/Slc3a1/Slc23a1/Slc6a20b/Myo1a/Cdhr5/Slc15a1/Vil1/Lct/Cubn/Slc2a2/Slc7a11/Sis/Mme/Enpep/Mttp/Aqp7/Dab1/Prom1/Ocm/Slc7a9/Bbs2/Treh/Pdzd3/Kcnk1/Cdhr2/Itln1/Pdzk1/Atp6v0a4/Anpep/Pls1/Ezr/Slc27a4",53
"GO:0009897","GO:0009897","external side of plasma membrane","83/1718","367/15743",5.75365362177209e-11,5.51391805419825e-09,4.85527612644276e-09,"Itga5/Apoe/Ebi3/Adgre1/Cd44/Prlr/Ager/Itga2/H2-M2/Pdcd1lg2/Slc2a4/Enpp3/Vsir/Ace/Ctsl/Gfra2/Cd86/Abcg1/Tnf/Anxa1/Ccr1/Il1rl1/Cxcr2/Ptprc/Cd55/Capn2/Selp/Fcgr2b/Itgav/Prnd/Anxa5/Vcam1/Tlr2/Enpep/Rorc/Pdpn/Csf3r/Tnfrsf9/Tnfrsf4/Cxcl9/Cd9/Siglece/Mfge8/Itgam/Itgax/Itgal/Ano1/Il13ra2/Il2rg/Crlf2/Cxcl10/H2-Q4/Icam1/Slamf7/Sema7a/Tlr4/Anpep/Tlr8/Dlk1/Ccr6/Flt3/Ccr2/Tmem123/Cd14/Cx3cr1/H2-T24/Fcer1g/Fcgr3/H2-Q7/Btnl1/Kdr/Cd59b/Ccl19/Gm8909/H2-Bl/H2-Q6/Ly6c1/Alpi/H2-T10/Gm11127/H2-Q1/Cd200r2/Btnl6",83
"GO:0031012","GO:0031012","extracellular matrix","89/1718","414/15743",1.96804540053899e-10,1.61660872187131e-08,1.42350351527707e-08,"Mmp14/Timp1/Ltbp2/Tgfb1/Apoe/Cstb/Mmp8/Fbln1/Ctsd/Rarres2/Podnl1/Gfod2/Adamtsl4/Ctsz/Mmp9/Dcn/Ntn4/Timp3/Ntn1/Coch/Ctsl/Col14a1/Serping1/Mmp25/Vegfa/Lama3/Lox/Anxa1/Clec3b/Col5a2/Il1rl1/Lamc2/Lamb3/Prg2/Anxa5/S100a11/Mmp23/Dmp1/Sparcl1/Anxa3/Col1a2/Pcsk6/Mfge8/Bgn/Sfrp1/Mmp2/Mmp15/Crispld2/Plscr1/Lama1/Wnt6/Tnxb/Fam20b/Scara3/Hpse/Tgfbi/Adamtsl2/Igfbp7/Lum/Fgf1/Serpine1/Spon1/Itln1/Olfml2b/Npnt/Lad1/Lman1/Vwa1/Cilp/Mfap4/Muc1/Mmp3/Serpinb1a/Serpinb9/Mmp10/Igf2/Mmp12/Phospho1/Col8a2/Col13a1/Col23a1/Tnfrsf11b/Serpinh1/Reg3b/Ang/Sod3/Col22a1/Muc4/Col6a5",89
"GO:0016323","GO:0016323","basolateral plasma membrane","54/1718","202/15743",2.40647192444309e-10,1.72965169569347e-08,1.52304341533833e-08,"Aqp1/Cd44/Slc2a9/Cav1/Lpo/Ager/Slc22a5/Egfr/Ace/Numb/Nkd2/Erbin/Cldn1/Cxadr/Abcc1/Slc26a6/Slc23a1/Myo1a/Slco3a1/Atp1b1/Stk39/Slc2a2/Mttp/Cdh17/Aqp3/Pdpn/Slc2a1/Stx2/Slco2b1/Msn/Heph/Hpgd/Aqp9/Abcc4/Atp1a1/Slc51a/Cnnm4/Best1/Nod1/Slc39a5/S100g/P2ry4/Kcnj10/Cldn4/P2ry6/C5ar1/Cldn8/Ezr/Nod2/Arrb2/Slc4a4/Ank3/Synj2bp/Rhbg",54
"GO:0005902","GO:0005902","microvillus","29/1718","83/15743",5.34349439282965e-09,3.41389919541894e-07,3.00610620228194e-07,"Tgfb1/Cd44/Myo1g/Slc9a3r1/Ctsl/Iqgap2/Fabp2/Slc10a2/Myo1a/Cdhr5/Vil1/Itgav/Vcam1/Mttp/Pdpn/Prom1/Fscn1/Msn/Bbs2/Slc26a2/Cdhr2/Clic4/Pdzk1/Kcnj10/Ezr/Slc27a4/Lyz1/Lyz2/Muc4",29
"GO:0031253","GO:0031253","cell projection membrane","60/1718","274/15743",9.0390569646807e-08,5.1974577546914e-06,4.57661726316991e-06,"Itga5/Slc26a3/Aqp1/Cd44/Slc1a2/Slc34a3/Slc5a6/Slc5a1/Ace2/Plekho1/Eps8/Slc22a5/Plek/Adora2a/Ace/Slc9a3r1/Pld2/Slc46a1/Amn/Slc6a19/Slc6a18/Slc26a6/Slc3a1/Aif1/Slc6a20b/Cdhr5/Cubn/Itga8/Psd4/Itgav/Slc2a2/Slc7a11/Enpep/Mttp/Aqp7/Pdpn/Fgr/Prom1/Fscn1/Ttyh1/Psd3/Slc7a9/Msn/Nox1/Phlpp2/Kcnk1/Slc26a2/Cdhr2/Dpp4/Itln1/Pdzk1/Atp6v0a4/Anpep/Gpr157/Fzd9/Ezr/Scimp/Slc27a4/Syne2/Muc4",60
