"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022804","GO:0022804","active transmembrane transporter activity","80/1684","306/15357",5.43118753016004e-14,5.07272915316948e-11,3.92760614023153e-11,"Slc13a2/Slc26a3/Tcirg1/Clcn5/Slc1a2/Letm1/Slc34a3/Slc5a6/Slc16a12/Slc47a1/Slc5a1/Slc2a4/Slc22a5/Slc6a8/Slc16a10/Slc17a8/Slc5a4b/Slc5a4a/Abca8b/Slc6a4/Slc6a19/Slc6a18/Ank/Slc10a2/Abcc1/Slc26a6/Slc22a3/Abcg1/Abcg8/Slc23a1/Slc15a3/Slc1a1/Slc16a3/Slc6a20b/Slc15a1/Slco3a1/Slc25a10/Slc11a1/Atp1b1/Anxa5/Abcd3/Cdh17/Atp6v0d2/Mfsd2a/Abcb1b/Abcg3/Slc13a1/Abcg2/Slc6a12/Slco2b1/Slc5a11/Abcd1/Slc25a4/Abcb10/Slc37a4/Slc37a2/Abcc4/Atp1a1/Slc26a2/Slc2a6/Slc6a20a/Slc2a12/Atp6v0a2/Atp6v0a4/Atp6v0e2/Abcg5/Atp1a3/Slc5a12/Abca8a/Slc35e2/Slc16a5/Slc29a4/Slc10a5/Slc35e3/Slc9a6/Slc4a4/Slc25a3/ATP6/COX3/Slc4a11",80
"GO:0008509","GO:0008509","anion transmembrane transporter activity","68/1684","247/15357",3.10420877137733e-13,1.44966549623321e-10,1.12241653996643e-10,"Slc7a7/Slc26a3/Clcn5/Slc1a2/Slc2a9/Slc34a3/Slc16a12/Slc3a2/Slc6a8/Slc16a10/Slc17a8/Slc7a15/Slc46a1/Slc6a4/Sfxn1/Slc6a19/Slc6a18/Slc7a8/Ank/Slc52a2/Clcn2/Slc10a2/Abcc1/Slc26a6/Slc22a3/Clic5/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slco3a1/Slc25a10/Xpr1/Slc52a3/Slc2a2/Slc7a11/Clca3a2/Slc2a1/Mfsd2a/Slc13a1/Slc6a12/Ttyh1/Slc7a9/Slco2b1/Ano1/Abcd1/Slc25a15/Slc25a4/Slc37a4/Slc37a2/Abcc4/Slc26a2/Slc51a/Ttyh3/Slc6a20a/Clca3b/Clic4/Nmur2/Best1/Ano2/Slc43a2/Slc5a12/Slc16a5/Slc25a23/Cldn4/Slc4a4/Ano6/Slc4a11",68
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","56/1684","199/15357",1.49700188219808e-11,4.66066585991002e-09,3.60856243182484e-09,"Slc13a2/Slc26a3/Clcn5/Slc1a2/Letm1/Slc34a3/Slc5a6/Slc16a12/Slc47a1/Slc5a1/Slc2a4/Slc22a5/Slc6a8/Slc16a10/Slc17a8/Slc5a4b/Slc5a4a/Slc6a4/Slc6a19/Slc6a18/Ank/Slc10a2/Slc26a6/Slc22a3/Slc23a1/Slc15a3/Slc1a1/Slc16a3/Slc6a20b/Slc15a1/Slco3a1/Slc25a10/Slc11a1/Cdh17/Mfsd2a/Slc13a1/Slc6a12/Slco2b1/Slc5a11/Slc25a4/Slc37a4/Slc37a2/Slc26a2/Slc2a6/Slc6a20a/Slc2a12/Atp1a3/Slc5a12/Slc35e2/Slc16a5/Slc10a5/Slc35e3/Slc9a6/Slc4a4/Slc25a3/Slc4a11",56
"GO:0061134","GO:0061134","peptidase regulator activity","49/1684","168/15357",6.99069568543595e-11,1.63232744254929e-08,1.26384419365645e-08,"Wfdc18/Timp1/Cstb/Fbln1/Cav1/Slpi/Dpep1/Timp3/Vsir/Serpina3n/Cast/Serping1/Mmp25/C3/Spink1/Xiap/Vil1/Serpinb8/Spint1/Bcl10/Tfpi2/Pcolce/Renbp/Agt/Birc3/Ctsh/Serpine1/Serpina3g/Serpina12/Serpinb6b/Wfikkn2/Serpinb1a/Serpinb9/Bst2/Serpinb1b/Wfdc21/Stfa2l1/Serpina10/Tnfaip8/Tank/Serpina3f/Serpinb5/Cst7/Wfdc17/Serpinh1/Naip6/R3hdml/Serpina1c/Cstdc4",49
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","48/1684","164/15357",9.55134845948871e-11,1.78419189223249e-08,1.38142660877237e-08,"Slc7a7/Slc26a3/Slc1a2/Slc2a9/Slc16a12/Slc3a2/Slc6a8/Slc16a10/Slc17a8/Slc7a15/Slc46a1/Sfxn1/Slc6a19/Slc6a18/Slc7a8/Slc52a2/Slc10a2/Abcc1/Slc26a6/Slc23a1/Slc1a1/Slc16a3/Slc6a20b/Slco3a1/Slc25a10/Slc52a3/Slc2a2/Slc7a11/Slc2a1/Mfsd2a/Slc13a1/Slc6a12/Slc7a9/Slco2b1/Abcd1/Slc25a15/Slc25a4/Slc37a2/Abcc4/Slc26a2/Slc51a/Slc6a20a/Slc43a2/Slc5a12/Slc16a5/Slc25a23/Slc4a4/Slc4a11",48
"GO:0030414","GO:0030414","peptidase inhibitor activity","41/1684","138/15357",1.34240642284518e-09,2.08967933156233e-07,1.61795300437656e-07,"Wfdc18/Timp1/Cstb/Slpi/Dpep1/Timp3/Serpina3n/Cast/Serping1/C3/Spink1/Xiap/Vil1/Serpinb8/Spint1/Tfpi2/Renbp/Agt/Birc3/Serpine1/Serpina3g/Serpina12/Serpinb6b/Wfikkn2/Serpinb1a/Serpinb9/Bst2/Serpinb1b/Wfdc21/Stfa2l1/Serpina10/Tnfaip8/Serpina3f/Serpinb5/Cst7/Wfdc17/Serpinh1/Naip6/R3hdml/Serpina1c/Cstdc4",41
"GO:0015144","GO:0015144","carbohydrate transmembrane transporter activity","18/1684","34/15357",1.88669829834559e-09,2.51739458664968e-07,1.9491153849074e-07,"Aqp1/Slc2a9/Slc5a1/Slc2a4/Slc5a4b/Slc5a4a/Slc23a1/Slc2a2/Aqp7/Aqp3/Slc2a1/Slc2a5/Slc5a11/Aqp9/Slc2a6/Slc2a12/Mfsd4b2/Mfsd4b3-ps",18
"GO:0048018","GO:0048018","receptor ligand activity","75/1684","344/15357",3.39963837367768e-09,3.9690778012687e-07,3.07309416146917e-07,"Timp1/Tgfb1/Ebi3/Il12b/Sst/Ccl8/Csf1/Cxcl16/Ccl9/Sema6a/Vip/Nts/Gdf10/Tnfsf11/Retnlb/Retnlg/Thpo/Cxcl13/Vegfa/Tnf/Sema4c/Ccl20/Il1rn/Il1f8/Il1b/Il1a/Pdyn/Pdgfc/Epha7/Bmp3/Cxcl5/Ereg/Cxcl3/Cxcl1/Cxcl9/Gpnmb/Gdf3/Pglyrp1/Adm/Fgf15/Fgf13/Vegfd/Tnfsf13b/Ccl17/Cmtm3/Agt/Cmtm7/Cck/Mif/Crlf2/Cxcl10/Ccl7/Ccl2/Fgf1/Sema7a/Colec10/Il18/Saa3/Inhba/Il1f9/Igf2/Scg2/Flrt3/Tg/Sema3b/Cxcl2/Gmfg/Ttr/Sema3e/Ccl19/Osgin1/Prl2c2/Btc/Ccl21a/2610528A11Rik",75
"GO:0030545","GO:0030545","receptor regulator activity","79/1684","373/15357",5.22323706195282e-09,5.42055935095992e-07,4.19691679714805e-07,"Timp1/Tgfb1/Ebi3/Il12b/Sst/Dgkq/Ccl8/Csf1/Cxcl16/Ccl9/Sema6a/Vip/Nts/Gdf10/Tnfsf11/Ly6e/Retnlb/Retnlg/Thpo/Cxcl13/Vegfa/Tnf/Sema4c/Ccl20/Il1rn/Il1f8/Il1b/Il1a/Pdyn/Pdgfc/Epha7/Bmp3/Cxcl5/Ereg/Cxcl3/Cxcl1/Cxcl9/Gpnmb/Gdf3/Pglyrp1/Adm/Fgf15/Fgf13/Vegfd/Tnfsf13b/Ccl17/Cmtm3/Agt/Cmtm7/Cck/Mif/Crlf2/Cxcl10/Ccl7/Ccl2/Fgf1/Sema7a/Colec10/Il18/Saa3/Inhba/Il1f9/Wfikkn2/Igf2/Scg2/Flrt3/Tg/Sema3b/Cxcl2/Gmfg/Ttr/Sema3e/Ccl19/Osgin1/Prl2c2/Btc/Ccl21a/2610528A11Rik/Gm20594",79
"GO:0005125","GO:0005125","cytokine activity","43/1684","157/15357",8.3552702378735e-09,7.80382240217385e-07,6.04217963517799e-07,"Timp1/Tgfb1/Ebi3/Il12b/Ccl8/Csf1/Cxcl16/Ccl9/Gdf10/Tnfsf11/Thpo/Cxcl13/Vegfa/Tnf/Ccl20/Il1rn/Il1f8/Il1b/Il1a/Bmp3/Cxcl5/Cxcl3/Cxcl1/Cxcl9/Gdf3/Pglyrp1/Tnfsf13b/Ccl17/Cmtm3/Cmtm7/Mif/Crlf2/Cxcl10/Ccl7/Ccl2/Il18/Inhba/Il1f9/Scg2/Cxcl2/Ccl19/Ccl21a/2610528A11Rik",43
