NAME,DESCRIPTION,GENE_SYMBOL,GENE_TITLE,SCORE
UST,uronyl 2-sulfotransferase [Source:HGNC Symbol;Acc:HGNC:17223],null,null,2.329977
JAM2,junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686],null,null,1.7483773
ETV1,ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490],null,null,1.7120155
CASP3,caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504],null,null,1.6760348
TLX2,T cell leukemia homeobox 2 [Source:HGNC Symbol;Acc:HGNC:5057],null,null,1.662921
POT1,protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284],null,null,1.6626706
TRIM37,tripartite motif containing 37 [Source:HGNC Symbol;Acc:HGNC:7523],null,null,1.6093601
FHL5,four and a half LIM domains 5 [Source:HGNC Symbol;Acc:HGNC:17371],null,null,1.5994123
SLC2A8,solute carrier family 2 member 8 [Source:HGNC Symbol;Acc:HGNC:13812],null,null,1.580733
NRG2,neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998],null,null,1.5402696
ANKRD63,ankyrin repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:40027],null,null,1.5370079
KLHL28,kelch like family member 28 [Source:HGNC Symbol;Acc:HGNC:19741],null,null,1.5249873
C14orf28,chromosome 14 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:19834],null,null,1.5246552
CAV2,caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528],null,null,1.5170641
AFF4,AF4/FMR2 family member 4 [Source:HGNC Symbol;Acc:HGNC:17869],null,null,1.5058557
TRPM3,transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992],null,null,1.4924749
ZNF334,zinc finger protein 334 [Source:HGNC Symbol;Acc:HGNC:15806],null,null,1.4914273
EDNRB,endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180],null,null,1.4683201
FGFR3,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690],null,null,1.4604338
