NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Details ...,190,0.44174638,2.3040955,0,0,0,3225,"tags=42%, list=22%, signal=53%"
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,Details ...,143,0.42710832,2.1646752,0,0,0,4677,"tags=57%, list=31%, signal=83%"
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Details ...,198,0.35390317,1.8420864,0,0.002566343,0.008,5332,"tags=55%, list=36%, signal=84%"
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,Details ...,35,0.47442144,1.8152645,0,0.002340528,0.01,3221,"tags=46%, list=22%, signal=58%"
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,Details ...,35,0.4209296,1.6185496,0.017204301,0.017303128,0.088,3654,"tags=49%, list=25%, signal=64%"
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,Details ...,180,0.3044299,1.5698522,0,0.021611298,0.128,4076,"tags=37%, list=27%, signal=50%"
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,Details ...,191,0.28925374,1.5081284,0.003984064,0.031883728,0.209,3627,"tags=37%, list=24%, signal=48%"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,39,0.371441,1.4511182,0.057142857,0.04736994,0.34,3932,"tags=41%, list=26%, signal=56%"
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,Details ...,196,0.27131158,1.4253525,0.006147541,0.05234712,0.399,3981,"tags=34%, list=27%, signal=45%"
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,Details ...,43,0.33918342,1.3559247,0.07474747,0.08451688,0.596,4182,"tags=49%, list=28%, signal=68%"
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,Details ...,188,0.2551313,1.3349851,0.02079395,0.093097195,0.662,2969,"tags=28%, list=20%, signal=34%"
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,Details ...,95,0.28612006,1.3119639,0.05645161,0.1056336,0.737,2353,"tags=25%, list=16%, signal=30%"
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,Details ...,54,0.29162988,1.2227672,0.168,0.19685698,0.932,3701,"tags=41%, list=25%, signal=54%"
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,Details ...,32,0.32440293,1.1877977,0.20930232,0.23812528,0.973,3564,"tags=44%, list=24%, signal=57%"
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,Details ...,149,0.2333094,1.1713642,0.14201184,0.25001207,0.983,1183,"tags=13%, list=8%, signal=14%"
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,Details ...,94,0.24025077,1.1221294,0.22338204,0.32914114,0.996,2185,"tags=22%, list=15%, signal=26%"
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Details ...,123,0.21038468,1.038257,0.37236086,0.5158633,1,3750,"tags=25%, list=25%, signal=33%"
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,Details ...,99,0.22254367,1.0342467,0.38610038,0.49694696,1,3611,"tags=26%, list=24%, signal=34%"
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,Details ...,186,0.19053625,0.99325573,0.4587525,0.58886725,1,2926,"tags=22%, list=20%, signal=26%"
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Details ...,196,0.18713021,0.98210883,0.501938,0.5926874,1,3266,"tags=24%, list=22%, signal=31%"
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,,34,0.2550894,0.9606318,0.5257143,0.624349,1,5502,"tags=50%, list=37%, signal=79%"
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,,192,0.17212471,0.8923379,0.74636173,0.7797575,1,5515,"tags=44%, list=37%, signal=69%"
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,,192,0.16542996,0.8583192,0.8404669,0.8286117,1,2714,"tags=22%, list=18%, signal=26%"
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,,182,0.13080262,0.68250734,0.9961612,0.9847101,1,3137,"tags=19%, list=21%, signal=23%"
