NAME	DESCRIPTION	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5	I_MKI_1	I_MKI_2	I_MKI_3	I_MKI_4	I_MKI_5	I_MKI_6
ENSMUSG00000000001	NA	2421.440195	2630.597667	2865.102384	2278.209959	2538.40517	2403.971329	3245.527047	2823.649957	2718.976242	3069.908183	2665.884771
ENSMUSG00000000028	NA	91.25332621	64.3383559	98.75758696	95.83883538	97.01398158	73.03326837	78.84389125	97.60051478	71.02491393	84.36371295	73.46547755
ENSMUSG00000000037	NA	3.335512093	1.624939636	3.509574042	2.774486876	5.566453517	6.04624108	5.924111903	3.885510303	3.43573261	5.496095055	9.669002929
ENSMUSG00000000049	NA	8.77481775	1.647360513	17.91436647	8.289091434	24.2143692	4.948564137	12.99201072	36.08064441	6.691922679	2.452291491	62.32942448
ENSMUSG00000000056	NA	581.9851905	468.7635571	702.7309457	443.3304687	417.2270677	624.1631782	528.6314773	557.9763582	513.3543542	774.9954224	562.3775501
ENSMUSG00000000058	NA	56.02182874	72.43086078	52.07320313	47.30335119	93.50952144	102.969351	154.2379113	110.9101862	181.8009886	129.1297946	143.8809291
ENSMUSG00000000078	NA	2093.15144	3714.328819	3626.858093	3156.674463	2756.269154	2099.766533	2892.876958	2635.258069	2593.250994	2339.084497	2663.800762
ENSMUSG00000000085	NA	184.6858892	129.9766858	119.1268862	147.8620006	146.609636	178.3509258	125.6683035	134.8873426	145.1610638	113.7087991	141.8850568
ENSMUSG00000000088	NA	2035.127202	3306.062494	4111.653259	3933.60295	2299.588137	1937.60819	2162.263502	2400.524645	1834.910824	1916.366444	2390.657718
ENSMUSG00000000093	NA	67.30001275	42.32622186	32.83834359	39.40712823	50.87146055	56.48188506	41.45253341	42.3088758	64.21677774	67.26877948	100.3085241
ENSMUSG00000000094	NA	27.23682137	8.121312181	14.6818267	7.773567519	8.490783222	19.46558877	12.61365668	12.01742242	30.44771617	20.19019597	14.19171181
ENSMUSG00000000120	NA	27.10073221	22.86100083	21.28176101	20.2273099	53.82909604	38.99138188	32.33000971	46.7330145	40.88785964	52.87795278	47.19459052
ENSMUSG00000000125	NA	42.75854865	14.21974683	46.19178161	55.08943935	98.76530918	52.28715306	59.06907429	90.12394945	56.27724678	81.99568034	90.77353872
ENSMUSG00000000126	NA	8.626259006	14.4423664	13.81766876	13.30196204	15.77132051	12.81364145	14.74555324	15.46403949	14.08923662	11.48352158	9.868240471
ENSMUSG00000000127	NA	91.18958847	108.2550835	120.2883418	100.7546669	91.83847535	119.1708066	118.8014904	114.0528833	119.5926099	129.7390736	157.6209581
ENSMUSG00000000131	NA	661.4407783	288.9555196	367.2503599	341.6635568	454.6841046	638.7098944	654.3815956	599.3121326	674.9628768	525.7537154	525.032192
ENSMUSG00000000134	NA	398.1370353	255.9692612	286.0626143	286.6417474	390.7348377	451.1568736	276.720263	331.4089092	352.6595802	386.7432935	388.1966158
ENSMUSG00000000142	NA	734.75703	369.3158147	293.641566	449.5171639	675.803241	646.4011506	471.2793692	460.6776314	561.1736001	709.6248427	582.2502554
ENSMUSG00000000148	NA	133.6430855	123.4219785	128.5580291	117.6739062	143.2168492	191.1639415	116.6721482	154.4746385	169.1507435	151.6136032	158.731626
ENSMUSG00000000149	NA	624.4799073	558.4086113	360.3623529	406.6100242	514.9766223	621.3283548	518.513412	539.8500767	671.3604065	564.8127205	554.2031632
ENSMUSG00000000154	NA	377.3201054	510.3462895	605.2881043	540.1572703	450.855989	350.8787575	492.2370818	483.6297615	456.80729	391.4135393	423.1044628
ENSMUSG00000000157	NA	2.79151902	4.245526536	11.09461829	0	2.004278993	3.569047022	3.89490271	1.755317423	1.82049998	1.197879045	3.505087766
ENSMUSG00000000159	NA	405.2787732	729.0746499	892.7640513	841.7271941	456.7094414	464.9120173	353.7002138	414.8253369	448.4039918	406.1460511	349.692795
