NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000000001	NA	2886.463503	3548.90272	3435.920002	4006.003557	3571.181727	2677.684923	2956.027756	3131.883221	2479.364183	2778.258527
ENSMUSG00000000028	NA	106.6050316	60.49606679	106.7230725	92.21555007	120.9649352	97.82215466	70.0852829	104.6498665	101.1092525	102.9316266
ENSMUSG00000000037	NA	7.304173852	13.95662652	7.991857033	3.763587596	4.017443663	3.886346554	1.923909277	4.042156301	3.181431167	6.419239486
ENSMUSG00000000049	NA	7.829204868	9.842827452	16.92521208	8.650096206	9.042252922	9.344135921	1.782617004	18.85741611	8.686980034	25.52114694
ENSMUSG00000000056	NA	468.3647671	513.2734243	712.941964	829.709618	804.4118895	663.8908775	543.3841418	792.4165444	497.7063694	471.0675944
ENSMUSG00000000058	NA	145.188409	164.9576428	96.42805614	156.7024878	76.88062337	68.66275799	90.21026525	63.08962459	57.05802339	113.4346624
ENSMUSG00000000078	NA	2494.326564	3826.120328	2965.93678	4495.538852	3897.626124	2316.262669	4176.724752	3967.321614	3437.777818	3018.802966
ENSMUSG00000000085	NA	150.1619641	71.45642127	93.81538656	77.39498672	133.0656725	207.1561517	148.148729	132.0850297	163.2230726	162.7618515
ENSMUSG00000000088	NA	2821.797556	3391.606335	3382.464448	5714.729729	3693.517626	2179.906617	3598.535075	4353.539621	4146.653078	2437.936424
ENSMUSG00000000093	NA	60.61758685	108.0771378	32.80526072	18.66142633	22.73985229	68.67831135	43.89169138	33.12572502	39.57674749	51.38124871
ENSMUSG00000000094	NA	0.713407236	2.212183533	2.898862254	1.038192686	0	28.59876418	8.665335859	15.23879496	8.032894632	8.823981388
ENSMUSG00000000120	NA	74.25565547	112.2121129	30.20292497	11.43226092	17.76869834	28.03618656	24.03264143	21.76332092	20.5938192	55.11641852
ENSMUSG00000000125	NA	81.67278674	50.82477944	85.40645588	70.73629661	74.92887349	45.04322083	15.22182403	48.10064312	57.11309367	102.9762081
ENSMUSG00000000126	NA	13.40575601	28.53954067	11.65370853	6.213202119	17.91693671	9.052172987	15.40057942	14.33325463	13.73747472	16.38039592
ENSMUSG00000000127	NA	97.59125442	146.1161274	121.7501326	115.645837	106.818174	97.48665432	117.6025017	127.1168541	106.0048981	97.17410773
ENSMUSG00000000131	NA	539.569405	438.5889478	595.0612683	312.9989926	458.6271108	678.0302435	300.9937278	372.1345714	344.6812099	461.3110504
ENSMUSG00000000134	NA	190.4247212	251.085703	350.7430139	210.2045557	394.2472048	462.8128289	302.3632305	328.7105189	327.9239257	449.5530321
ENSMUSG00000000142	NA	973.1918967	870.4359297	685.2080568	521.1075737	731.6757816	792.8757449	404.9744635	313.2265752	477.3847183	721.7846451
ENSMUSG00000000148	NA	124.9544	129.2901125	165.1773314	70.1445434	125.4785678	139.1234063	130.5613294	132.2917015	120.5576378	147.5617543
ENSMUSG00000000149	NA	414.6250723	447.1776599	332.5543263	188.2007767	258.421318	641.1028804	582.5453188	365.7028632	410.8167958	523.2662922
ENSMUSG00000000154	NA	549.0435231	753.1922547	625.2377363	777.8592541	724.9304366	389.1439662	534.8520523	617.0810087	548.2535228	460.2186172
ENSMUSG00000000157	NA	0	0	0	0	0	2.218484636	3.428591506	8.715812664	0	1.576521852
ENSMUSG00000000159	NA	569.1005096	689.925403	785.8228109	1615.429782	792.17293	434.1927263	793.7231275	945.464155	887.4847423	484.2779126
ENSMUSG00000000167	NA	12.88637501	5.418338526	4.084390668	7.210746862	8.159688519	5.104614033	4.786269757	13.93810945	9.461026079	6.472746024
ENSMUSG00000000168	NA	430.4038334	544.3602953	588.6821506	388.2835123	519.8843796	380.6183851	277.6405669	360.3077998	419.9268609	500.1767668
ENSMUSG00000000171	NA	2658.498961	2782.221588	3122.256904	7510.200517	3691.087853	1787.089488	2882.687043	4428.93571	4300.747794	2385.697714
ENSMUSG00000000182	NA	0	0	0	0	0	0.693058046	0	0	0	0
ENSMUSG00000000184	NA	2196.322104	2554.946527	2494.26741	1578.305482	1961.065803	3148.759224	1381.125804	1772.776359	2306.711514	3319.227595
ENSMUSG00000000194	NA	861.1180533	1127.099137	1077.615814	1343.96733	1189.791269	573.1091474	964.6540741	1002.129507	694.2728752	894.5256095
ENSMUSG00000000197	NA	9.984894051	15.54539344	7.667772065	3.082735403	3.243816712	2.089505881	4.273614723	2.214163553	0	5.374189454
ENSMUSG00000000202	NA	0	0	0.438293071	0	0	1.317944084	0.984775681	4.727763928	3.244623595	0.531867342
ENSMUSG00000000204	NA	7.549845639	6.615136041	35.07095789	86.04748899	29.81317407	28.90693383	61.34194436	90.0960703	72.05469807	41.68236754
ENSMUSG00000000214	NA	9.21977781	4.396097328	3.765179067	3.39178655	3.413487925	0.926041824	0	5.057877682	0.750171447	1.626912706
ENSMUSG00000000216	NA	0.721460112	0	0.966403261	0	1.055679997	2.085290671	0	0	1.148868448	0
ENSMUSG00000000223	NA	3.064659285	7.32377952	5.428820637	1.757328083	6.511641979	26.12568246	10.91366861	10.24072937	3.877662341	4.452168882
ENSMUSG00000000244	NA	48.23153355	8.544985324	23.84159062	65.28535977	13.4090851	30.17053829	63.75798232	34.68709683	41.28703522	64.81007219
ENSMUSG00000000247	NA	5.101351164	0	0.272818806	0	0	0	0	0	0	0
