NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000000001,NA,3117.118044,3889.323063,3717.78779,4267.364539,3856.690595,4078.150865,3764.294265,4470.436375,2692.350723,3949.447935
ENSMUSG00000000028,NA,118.7792124,68.4041771,119.1448932,101.3510223,134.7838646,116.1914006,120.3825792,69.61079385,144.754985,78.17718758
ENSMUSG00000000037,NA,6.553901657,12.70872613,7.185068279,3.331133838,3.604908813,5.609813774,1.469712438,3.864455227,5.638231507,23.5572831
ENSMUSG00000000049,NA,9.709431739,12.38764562,21.03122886,10.58177025,11.2142046,14.46003819,19.06945702,6.83625685,10.9063352,13.40109389
ENSMUSG00000000056,NA,474.6520217,527.8768801,723.9351604,829.4275883,815.2396012,837.4661748,1013.004732,698.8545866,579.2449108,678.4938366
ENSMUSG00000000058,NA,151.5509726,174.7398542,100.8520123,161.3481193,80.25264353,80.94935554,99.57863109,45.57091477,75.20920644,84.15185949
ENSMUSG00000000078,NA,2694.657224,4194.706566,3210.454215,4790.636363,4210.81405,3588.79595,4098.11707,4667.521089,3163.483336,3897.665005
ENSMUSG00000000085,NA,169.6421017,81.92335154,106.194531,86.24774898,150.3333747,181.4740905,72.89530075,110.2811411,149.2238291,125.4376191
ENSMUSG00000000088,NA,3055.997292,3727.565601,3670.41125,6104.977149,4000.211532,2814.92807,5283.029883,3746.063641,4557.31772,3115.680305
ENSMUSG00000000093,NA,65.89344927,119.2257818,35.73069524,20.01011884,24.71991125,55.76956884,33.70231222,28.9282559,50.53772908,46.51485717
ENSMUSG00000000094,NA,0.765877373,2.410103148,3.118197961,1.099413155,0,1.726661939,0,2.016183646,1.88778522,0.923865834
ENSMUSG00000000120,NA,79.74804173,122.2990199,32.50078642,12.11110736,19.0836646,56.00974978,21.61702984,28.33998972,28.02502921,27.7541421
ENSMUSG00000000125,NA,87.98187056,55.56279255,92.1851341,75.16564186,80.71991384,106.5626295,82.71919054,51.92091688,84.65995064,72.49547229
ENSMUSG00000000126,NA,14.464977,31.25116136,12.59925782,6.613070512,19.33329448,16.30494317,4.388337292,12.1603676,6.606964321,12.90991654
ENSMUSG00000000127,NA,105.4500463,160.2237061,131.8134393,123.2614048,115.4241522,151.7716526,163.4474885,145.1649661,97.76373937,89.06404319
ENSMUSG00000000131,NA,570.2848379,470.4299226,630.1741255,326.3237505,484.7523266,517.2088579,358.0762249,496.9367413,348.6801427,656.3447172
ENSMUSG00000000134,NA,209.2841548,280.0449527,386.239267,227.8853354,433.3086037,358.6531716,319.1065647,280.5192012,243.3451215,494.3152678
ENSMUSG00000000142,NA,1049.312312,952.4360812,740.258018,554.2362207,788.9339299,852.77326,481.7137123,864.1085357,656.9330102,1073.031424
ENSMUSG00000000148,NA,133.4561626,140.1345225,176.763218,73.89962028,134.0208296,140.9757541,89.29614439,141.709048,112.357916,151.8068078
ENSMUSG00000000149,NA,446.1293845,488.2903182,358.5273124,199.7505184,278.0668874,352.829692,280.9407428,268.4678117,318.1944304,372.5921475
ENSMUSG00000000154,NA,587.4461137,817.8240035,670.2870349,820.9628786,775.6633402,586.7109351,854.8171023,955.07333,682.9794575,744.2968596
ENSMUSG00000000159,NA,611.5188706,752.3428018,846.0575294,1712.261962,851.2488848,571.9756988,1169.821972,1012.280704,1022.007965,642.8246117
ENSMUSG00000000167,NA,12.23216246,5.219529486,3.884669935,6.751712782,7.745718773,1.03075958,6.760088174,4.071664454,5.850959129,3.009551755
ENSMUSG00000000168,NA,457.1643956,586.7802063,626.5150551,406.8238949,552.2283614,570.7076959,461.521277,397.1261398,546.1894262,468.185873
ENSMUSG00000000171,NA,2851.29423,3028.237979,3355.278311,7945.4465,3958.909665,2500.311648,5117.76118,3780.91561,5306.62256,2831.025394
ENSMUSG00000000184,NA,2371.899494,2800.108182,2698.967388,1681.328404,2117.912854,3034.399206,1873.6653,2021.560774,1717.244276,2208.363989
ENSMUSG00000000194,NA,908.7485015,1207.079505,1139.460682,1399.042669,1255.646703,1119.734529,858.1659376,1537.017914,923.8655838,1241.388941
ENSMUSG00000000197,NA,10.77384771,17.0224409,8.289931475,3.281140719,3.500252287,10.7165539,3.32580069,0,2.831861962,5.544246735
ENSMUSG00000000204,NA,8.081472489,7.185946042,37.61442515,90.85563389,31.9136378,11.26917474,23.82571154,41.47584345,29.23872412,12.72660227
ENSMUSG00000000214,NA,8.99359181,4.351838418,3.680041596,3.263641643,3.329866006,13.92814826,8.468290186,3.884099527,2.382735567,3.034043458
ENSMUSG00000000216,NA,0.774378509,0,1.039330634,0,1.133153981,0.879484543,0,1.00026671,0,0.926011513
ENSMUSG00000000223,NA,2.592013307,6.286125323,4.600604458,1.466118629,5.507585044,6.988811278,2.937119188,4.167760178,3.983878149,4.34319048
ENSMUSG00000000244,NA,52.78752979,9.490833079,26.14507366,70.4818517,14.67624947,12.087788,39.8730939,8.742047869,90.60216667,8.302009373
ENSMUSG00000000248,NA,0.640833953,4.219541691,2.569974034,7.219236756,0,1.497899878,3.696999792,0,2.327041049,0.779289815
ENSMUSG00000000253,NA,50.63009012,108.5393855,31.67495328,37.15254456,26.1958518,33.57634104,19.40193991,25.72662234,49.367026,33.60818454
ENSMUSG00000000266,NA,392.3717684,393.1975477,410.7277547,320.1990223,338.712087,592.364437,290.7833382,372.2361788,277.3541876,512.7529726
ENSMUSG00000000275,NA,1312.482454,1802.08493,1801.708528,1764.350262,1586.320164,1638.976078,1252.383131,1810.335303,1080.01738,2159.945954
ENSMUSG00000000276,NA,97.77894765,114.9350209,53.58224927,47.68703283,51.87345616,37.03169993,52.18634576,52.82266713,50.33894852,66.14275438
ENSMUSG00000000278,NA,746.7548771,1135.29517,922.4887482,710.723429,819.8351743,900.8307605,897.7082658,930.9443166,705.2893902,1055.787343
ENSMUSG00000000282,NA,215.4914451,471.1756602,264.0988909,105.9831962,252.3240285,302.7557333,114.311351,374.1428072,177.3609461,441.8442673
ENSMUSG00000000290,NA,359.331838,156.5436203,239.7184691,227.8488653,140.8407042,246.9506174,349.1022415,105.5034972,318.2629363,127.583989
ENSMUSG00000000295,NA,77.93490638,86.10813075,70.67491311,112.7318452,89.09828636,61.86009361,82.31584166,67.52584378,67.40529549,62.47538238
ENSMUSG00000000301,NA,25.24772866,14.25113627,35.21962975,18.29167342,37.19285318,27.06306706,12.96728044,7.155253277,48.8535763,14.36053877
ENSMUSG00000000303,NA,7470.817064,9706.339441,8447.600759,5867.105702,8051.095165,9186.944196,6369.024848,9241.127645,5017.661072,11124.90753
ENSMUSG00000000305,NA,3.058993304,3.649529913,1.042454318,0,4.522141177,4.32705331,1.087212065,2.03442637,4.657303241,3.696062273
ENSMUSG00000000308,NA,6380.67765,9711.923875,10320.25887,13146.34747,11733.5066,6608.386738,10657.76545,11313.35554,9162.044142,8300.577656
ENSMUSG00000000317,NA,15.86899964,26.76355715,11.47350286,3.312123291,3.479662046,9.408189947,14.52759846,8.125025969,6.71073855,23.78766327
ENSMUSG00000000318,NA,12.9062056,7.041651579,16.67557549,29.65855804,6.086649105,9.755294128,5.660520225,7.610079307,14.85149264,6.056156381
ENSMUSG00000000320,NA,11.37923456,17.08721101,2.828100396,2.966941351,2.758384323,4.750277604,5.313032676,1.216027397,3.382236941,4.161449253
ENSMUSG00000000325,NA,36.15615012,135.5255746,91.94759795,49.51064999,30.5167935,128.9300867,31.91709601,104.0845283,84.2373504,101.2638725
ENSMUSG00000000326,NA,1108.590572,1384.387879,1170.726564,1685.899147,1383.296698,1244.320404,1720.167907,1482.506483,1294.797905,1266.503316
ENSMUSG00000000339,NA,376.3638494,383.8829538,293.4669954,439.1832159,413.1474232,306.1788999,446.2291123,450.1919094,324.6962098,314.2498567
