"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04380","mmu04380","Osteoclast differentiation","38/376","64/2069",8.68029797768421e-14,2.19611538835410e-11,1.77260821860078e-11,"237038/14728/21926/16176/19261/18733/12978/17972/17969/20375/22177/12977/18729/21943/100038947/18725/18722/14131/14130/16175/83433/23797/21803/17970/668101/21813/18034/18724/18730/100038909/17342/18019/18707/17060/15976/16177/21812/20963",38
"mmu05133","mmu05133","Pertussis","21/376","31/2069",1.27751998013706e-09,1.61606277487338e-07,1.30441513761363e-07,"20311/12266/21926/16176/50908/50909/12258/12475/16414/12259/12260/16175/12262/216799/317677/16402/16409/21898/225471/667277/107607",21
"mmu04610","mmu04610","Complement and coagulation cascades","23/376","39/2069",1.10036728368301e-08,9.27976409239341e-07,7.49021940471945e-07,"12266/12759/14058/50908/50909/16411/12258/16414/12259/12260/12273/12262/18787/18793/317677/12628/16409/232345/19124/18792/14068/667277/12061",23
"mmu04662","mmu04662","B cell receptor signaling pathway","22/376","38/2069",3.75032406685752e-08,2.37207997228738e-06,1.91463912886936e-06,"14728/18733/68713/18729/16331/18725/18722/14130/18037/23797/18751/19354/18724/18730/100038909/18019/240168/22324/18707/17060/108723/20963",22
"mmu05152","mmu05152","Tuberculosis","27/376","55/2069",1.12179443838911e-07,5.67627985824888e-06,4.5816446536313e-06,"56619/12266/21926/16176/24088/16411/56644/12475/16414/14969/14131/14130/16175/14127/242341/23797/21803/16154/16409/21898/16803/17533/257632/81897/16985/20963/53970",27
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction","41/376","106/2069",2.6361592954189e-07,1.11158050290163e-05,8.97219128616256e-06,"16181/20311/12986/21926/16176/12984/12983/55985/12978/20296/12765/17082/16178/24099/12772/16186/12977/21943/14825/21938/16175/12458/100504346/24047/13051/16161/21803/16154/20307/16195/18414/20299/21813/20310/16323/16165/14562/16199/15976/16177/21812",41
"mmu05146","mmu05146","Amoebiasis","24/376","48/2069",3.82074520458537e-07,1.38092648108586e-05,1.11462341306701e-05,"21926/16176/12842/24088/16774/12475/16178/12843/16414/14825/16780/16782/12825/20723/21803/18751/16409/16772/20310/21898/14680/18796/18707/16177",24
"mmu04064","mmu04064","NF-kappa B signaling pathway","24/376","49/2069",6.2488017609232e-07,1.97618355689196e-05,1.59508887055145e-05,"21926/16176/12475/15894/24099/22329/21943/14825/12044/100504346/24047/18751/20310/21898/18034/16803/225471/18792/17060/11796/108723/16177/21929/20963",24
"mmu04933","mmu04933","AGE-RAGE signaling pathway in diabetic complications","21/376","40/2069",7.42504441515269e-07,2.08726248559292e-05,1.68474691992938e-05,"237038/21926/16176/13058/12842/20296/15894/12843/22329/12825/16175/17390/18787/23797/21803/18751/21813/18796/13653/18707/21812",21
"mmu05323","mmu05323","Rheumatoid arthritis","21/376","42/2069",2.12060692053211e-06,5.36513550894623e-05,4.33050255350767e-05,"20311/17392/21926/16176/20296/24088/15894/24099/12977/16414/21943/14825/14969/16408/16175/242341/21803/20310/21898/12524/13039",21
"mmu05142","mmu05142","Chagas disease (American trypanosomiasis)","18/376","34/2069",4.08382305485556e-06,9.39279302616778e-05,7.58145141284189e-05,"12266/21926/16176/20296/24088/12259/12260/12262/18787/23797/21803/21813/21898/81897/14680/18796/18707/21812",18
"mmu04062","mmu04062","Chemokine signaling pathway","28/376","68/2069",5.72090114017133e-06,0.000111337537574103,8.98667871411528e-05,"20311/55985/20296/12765/14191/17969/12772/14825/23797/12458/104709/100504346/24047/13051/30955/20307/18751/20299/20310/19354/320207/277360/15162/22376/18796/22324/18707/216869",28
"mmu04145","mmu04145","Phagosome","28/376","68/2069",5.72090114017133e-06,0.000111337537574103,8.98667871411528e-05,"12266/13058/50909/14990/17167/24088/17972/56644/12475/17969/20288/16414/14969/14131/110557/14130/242341/17970/16402/16409/21898/20778/17533/16410/16398/21827/667277/13039",28
"mmu05140","mmu05140","Leishmaniasis","17/376","33/2069",1.24103599578781e-05,0.000224272933524511,0.000181023295626191,"12266/21926/16176/13058/24088/17972/17969/16414/14969/16401/14131/16175/21803/17970/18751/16409/21898",17
