"","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000000001",11.2970356198736,11.358429063634,11.5075899672826,11.165072378768,11.3337814660122,11.2724276569461,11.6870458238756,11.4881267165941,11.4393965496583,11.6139356494456,11.4136156498483
"ENSMUSG00000000028",7.09141273784742,6.77144848018268,7.16956479577793,7.15271671311544,7.16258586072758,6.8771289374891,6.95336619989436,7.16557075858732,6.8524289817937,7.01558571206968,6.87959499912378
"ENSMUSG00000000037",5.17193562723815,5.00979766758526,5.18092712925126,5.11911291144884,5.31685273793101,5.3562169247385,5.34037834291447,5.21106988751594,5.18113587957834,5.32364688079062,5.53506913125065
"ENSMUSG00000000049",5.49260926619272,5.01460284105976,5.870040136962,5.45642220504693,6.00881151503084,5.27741581693518,5.67211690473715,6.27694154087435,5.37860583175233,5.09469610836628,6.74108369584075
"ENSMUSG00000000056",9.29970911659941,9.02309676138243,9.55945458654556,8.95110365900406,8.86455076223699,9.39381411981088,9.17184342562886,9.24089759922878,9.13153123989609,9.68324073335779,9.25325233526126
"ENSMUSG00000000058",6.63250174063299,6.88453643949828,6.54451875248458,6.45254497782051,7.09246537182913,7.24310226651791,7.68480527610155,7.33285135746442,7.86519549957371,7.49749751218567,7.54900865195379
"ENSMUSG00000000078",11.0735359764894,11.8597813167278,11.8381025797564,11.6358697299565,11.4426209225541,11.0701669907453,11.5197409606363,11.3902007242175,11.3724538761218,11.2336585051119,11.4022774760095
"ENSMUSG00000000085",7.85450599783729,7.49641754354787,7.36847588486625,7.6280881304952,7.60909931866284,7.80719976855397,7.43866502060897,7.5140394924445,7.61159290866072,7.22464617561489,7.56132127085438
"ENSMUSG00000000088",11.013048723067,11.7266763717355,12.0136164136045,11.9714294068821,11.2199787788708,10.9489987583749,11.1133948072876,11.2500583021911,10.8773300256725,10.932104651671,11.2536311834138
"ENSMUSG00000000093",6.78025917379335,6.43055692698894,6.23014399237501,6.37669134280811,6.55926151999593,6.64070202038883,6.40135401814848,6.40502831501957,6.75507185896066,6.78811693748607,7.18088046368641
"ENSMUSG00000000094",6.0857085281392,5.46101925626042,5.72913730415697,5.4431343536833,5.4749138146125,5.87899504600335,5.64960666118729,5.62503827338111,6.16785750386031,5.89873287078869,5.70809077789214
"ENSMUSG00000000120",6.07647842808388,5.99255810219363,5.93991220865834,5.91838054155187,6.6059037649496,6.33952930513815,6.20655928845276,6.48261126214933,6.3783981952233,6.58470401702626,6.49167127479445
"ENSMUSG00000000125",6.41329240387534,5.71393620323154,6.48301321341466,6.63585421468961,7.17375910152526,6.58079863315841,6.68640637606021,7.08342849038124,6.64285647325416,6.98520243864101,7.08814201876551
"ENSMUSG00000000126",5.47505696956826,5.72793708418768,5.70162140764962,5.68558064575234,5.75922766544582,5.65398128755797,5.73024618524563,5.7498247070724,5.70304681093315,5.60322135905589,5.53515018661847
"ENSMUSG00000000127",7.09491912238152,7.28368668692939,7.45342950112442,7.2203276438216,7.09462018356209,7.35964613172199,7.34549851497029,7.32096402832885,7.35766431577019,7.45292922381422,7.69907779542239
"ENSMUSG00000000131",9.47714992349259,8.41634951990802,8.70242542832786,8.64606876243495,8.96791586139055,9.43548954622233,9.42119785224946,9.32236794057531,9.50887949688815,9.14378924829313,9.16725818205524
"ENSMUSG00000000134",8.79363583452225,8.30154842429294,8.37378318186023,8.46817166111337,8.76819768019307,8.94681557516287,8.33103829008362,8.5544596647929,8.63692841892265,8.73541567167127,8.75390542379913
"ENSMUSG00000000142",9.6029594602725,8.73697305772748,8.43943365916746,8.91464925490336,9.49653740907055,9.45165176782249,9.03347583508323,9.00461083566911,9.26192166266136,9.57218399722257,9.26732383735642
"ENSMUSG00000000148",7.4736988039631,7.43097286959564,7.45868559135399,7.38344092719886,7.56704517968814,7.89014082880061,7.34957493378902,7.6431552987253,7.7516806816961,7.62412490685813,7.68281675624306
"ENSMUSG00000000149",9.37761972019753,9.2603455850435,8.68531907554588,8.85621513974162,9.13956606814747,9.38197007963031,9.14668087992117,9.19828704303403,9.48973477165899,9.25037718448129,9.23417145423367
"ENSMUSG00000000154",8.72209620091285,9.14678621749358,9.37152879573626,9.2216067253559,8.9593712275064,8.64115631960463,9.08031617607743,9.04515020694134,8.97579703783138,8.76587079139954,8.87996947824046
"ENSMUSG00000000157",5.12461053969539,5.24339711842573,5.59213947662421,4.64695449399119,5.05323409389881,5.18830128487913,5.20999726212996,5.02633478474959,5.03356549888104,4.96134446802301,5.18351299966439
"ENSMUSG00000000159",8.87396413837987,9.55539766098311,9.89469712765899,9.8006937363769,8.99080391737559,9.0404763954315,8.67517386988882,8.82813899938606,8.95450628856845,8.79632821759898,8.61371948726792
"ENSMUSG00000000167",5.36530823973439,5.23835931017088,5.67559936590323,5.55550912439667,5.34944826898337,5.4220701262257,5.16640655743238,5.27624183396988,5.3543890254723,5.24572296995287,5.33737932397717
"ENSMUSG00000000168",8.65499439512273,8.27322039336486,8.60848096427035,8.76345818339852,9.0228421353317,8.67415444515621,8.94456171992499,9.10033247666874,8.76459305512551,8.68928357487334,9.17287232987893
"ENSMUSG00000000171",10.7580915533101,11.3912221550586,12.0605077072867,12.0266331016553,11.1895514120815,10.8191753776602,11.1502607072931,11.1625800698118,10.8031642690439,10.9844454312813,11.1620960947962
"ENSMUSG00000000184",11.5268005496753,10.3332314352835,10.7235573406036,11.0998770646554,11.6003554549719,11.3615205510151,11.5964685671361,11.479612478948,11.3035826320837,11.3724757477165,11.477526569317
"ENSMUSG00000000194",9.25121589174203,9.92868643051158,10.0250283945641,9.52965467092205,9.85680607592169,9.53779815228612,9.80872729541087,10.0139587982973,9.95763183832916,9.87706850694317,9.89689080351536
"ENSMUSG00000000197",5.04612385163108,5.20559053442867,5.05659750745437,4.64695449399119,5.28460398151958,5.01449768212391,5.16653929288655,5.33522898304079,5.38630505408366,5.13880208836288,5.48693671871019
"ENSMUSG00000000202",4.95764691236921,4.92070611807625,5.23786615857497,5.15218000840197,4.84763235931611,4.64695449399119,4.80631532940795,4.93738149365295,4.64695449399119,4.64695449399119,4.64695449399119
"ENSMUSG00000000204",6.0739972224632,6.62746742999171,6.99692545475277,6.79697013996889,6.32946726036801,6.00374406715574,5.02602462158103,5.48318344304984,5.66806065335339,5.4393774584816,5.60779032369591
"ENSMUSG00000000214",4.88086933223476,4.64695449399119,5.19272240622058,4.86070221581153,4.95972031769422,5.20058229370858,4.89716200100483,5.07755282104204,5.47556485290013,5.2560584153167,5.0555134394173
"ENSMUSG00000000216",5.04952421051505,4.64695449399119,4.64695449399119,4.94948462081153,4.64695449399119,4.64695449399119,4.64695449399119,4.64695449399119,4.64695449399119,4.99130774590671,4.64695449399119
"ENSMUSG00000000223",5.98424221520912,5.51527002925964,5.50125419386281,5.17707946551308,5.21543625055103,5.57167920950081,5.49989919096782,5.29611433590016,5.92005952613409,5.4564752066011,6.10247893628187
"ENSMUSG00000000244",6.18953951384562,6.87428565169443,6.33945496516248,6.48024033381232,6.8139433112735,6.02151030730202,6.58759674440405,6.22145483928645,6.438901755724,6.07467047830385,6.14250437059016
"ENSMUSG00000000247",4.64695449399119,4.64695449399119,4.64695449399119,4.64695449399119,4.64695449399119,4.64695449399119,4.64695449399119,4.79589382681971,4.64695449399119,5.20896764155429,4.64695449399119
"ENSMUSG00000000248",4.82270111337175,5.06001479217147,5.43978635704456,5.1248637733128,4.89522275538985,5.24596928179137,5.04973812098287,4.83636000574056,5.05652330155998,5.44321798228487,5.26910992899777
"ENSMUSG00000000253",6.0563380779423,6.16648371918808,5.96501356674394,6.47141021317627,6.2519184931963,6.13678105804646,6.26339899156414,6.28817015412626,6.37789841403909,6.30639813675775,6.49518729894411
