"","I_V_1","I_V_2","I_V_3","I_V_4","I_V_5","I_MKI_1","I_MKI_2","I_MKI_3","I_MKI_4","I_MKI_5","I_MKI_6"
"ENSMUSG00000000001",2466.35022425791,2575.7272673062,2861.69499748865,2246.42918494409,2531.25562886794,2423.79966166609,3247.32890104582,2822.68177870961,2727.28231185698,3084.41034644888,2678.09938060274
"ENSMUSG00000000028",90.8681152054825,64.8850133939893,98.2166053104058,96.5963590130873,97.5430136528452,72.7821386834767,78.8861094980488,97.8306857352362,70.8789403311748,84.13394872869,72.9741238911109
"ENSMUSG00000000037",3.35426985695109,1.59312394225275,3.47147308210861,2.70752228577005,5.49959236181465,6.17827381190465,5.90018998123634,3.87959020553726,3.47421882127988,5.61376089539234,9.79791116412285
"ENSMUSG00000000049",8.85746103081489,1.63582882292529,19.1115076588942,8.09629499871084,24.0325337295941,4.86117239022634,13.1918868396942,35.5310565966756,6.58294480992472,2.43254897622537,62.731904685133
"ENSMUSG00000000056",581.107352239786,471.3617984592,705.264919567881,446.09860800782,417.356928739176,623.523115522892,527.747243130267,555.974498864827,511.884991647406,772.796248663572,561.169292059732
"ENSMUSG00000000058",55.4350626475025,73.3599024974811,49.9629930720008,44.6404159104092,90.9642961996904,105.528350561047,158.701208284065,115.002004901343,185.74764221033,134.071670438677,140.51846190614
"ENSMUSG00000000078",2105.27910011526,3666.696443356,3611.26828711805,3132.42415455136,2733.49561232411,2100.25306751219,2886.31937749546,2634.18546624645,2601.37351712227,2358.21797647901,2656.74598859718
"ENSMUSG00000000085",184.046449335138,133.939050146763,118.93751192411,150.891431947348,148.346737267839,176.670906953607,126.995382603011,136.115969699153,148.678933398278,103.656029024849,142.095102183212
"ENSMUSG00000000088",2016.80377428666,3339.15394436592,4084.88610021117,3965.73107907604,2335.49494863272,1927.0751891502,2165.64234375592,2385.74481776289,1831.28603083828,1904.06464837562,2391.78348478023
"ENSMUSG00000000093",65.5192552169306,43.425787382304,33.3229530838909,40.5414753247443,50.8534139984395,55.9647547550803,41.8461506547785,42.0428145523041,63.7175114993526,66.0885373222134,99.3161522457998
"ENSMUSG00000000094",27.0518383603493,8.19094996365503,14.7704548301012,7.826012776515,8.48064627184026,19.4092596173896,12.5960655238215,11.9631854335931,30.5198202685497,20.0750190673276,14.1761299677007
"ENSMUSG00000000120",26.6780204807489,23.4216044353952,21.5064455028218,20.7507842189068,53.7403620738039,38.6254871438596,32.243542203323,46.3369694169577,40.6309115908323,52.4149187360163,46.8563787997245
"ENSMUSG00000000125",42.4873294918578,14.3398191557467,46.3599324522475,55.6512006515369,98.6230994138354,52.173170841432,58.9802617600388,90.1410205309542,56.1044880935458,81.5407209404811,90.5697425783709
"ENSMUSG00000000126",8.48365923591114,14.7361922360985,13.9961986673209,13.5556129521276,15.6441793215614,12.7106575146081,14.8021498857621,15.3680939866604,14.0357322805905,11.4162788322409,9.79975583145859
"ENSMUSG00000000127",91.1887913110099,109.735556590686,128.743095212042,103.221569641076,91.1614193672374,117.952558720496,116.387510073435,113.71130936959,117.732354795021,128.683570432945,160.716835258917
"ENSMUSG00000000131",663.472639663599,293.373661286063,367.97227322354,352.073252466943,451.885326839012,643.212292602326,636.395963076232,591.068124157954,679.301705999529,516.6613447255,525.920510266164
"ENSMUSG00000000134",395.06699128091,267.393365182841,283.495817458361,305.80388247499,387.336184969376,444.633476574685,273.868789620246,327.528376417527,349.553103151116,377.573770324142,383.052508616416
