MGI Accession ID,Marker Symbol,EntrezGene ID,Ensembl Gene ID,HomoloGene ID
MGI:87853,a,50518,ENSMUSG00000027596,1264
MGI:87854,Pzp,11287,ENSMUSG00000030359,104112
MGI:87855,Aal,null,null,null
MGI:87859,Abl1,11350,ENSMUSG00000026842,3783
MGI:87860,Abl2,11352,ENSMUSG00000026596,5278
MGI:87861,abn,null,null,null
MGI:87862,Scgb1b27,11354,ENSMUSG00000066583,114479
MGI:87863,Scgb2b27,233099,ENSMUSG00000066584,83171
MGI:87864,Scgb2b26,110187,ENSMUSG00000066586,83171
MGI:87865,ac,null,null,null
MGI:87866,Acadl,11363,ENSMUSG00000026003,37498
MGI:87867,Acadm,11364,ENSMUSG00000062908,3
MGI:87868,Acads,11409,ENSMUSG00000029545,20057
MGI:87870,Acat1,110446,ENSMUSG00000032047,6
MGI:87871,Acat2,110460,ENSMUSG00000023832,55855
MGI:87872,Acc,null,null,null
MGI:87873,Acd,497652,ENSMUSG00000038000,23391
MGI:87874,Ace,11421,ENSMUSG00000020681,37351
MGI:87876,Ache,11423,ENSMUSG00000023328,543
MGI:87878,Apoc4,11425,ENSMUSG00000074336,1245
MGI:87879,Aco1,11428,ENSMUSG00000028405,1657
MGI:87880,Aco2,11429,ENSMUSG00000022477,856
MGI:87881,Acp1,11431,ENSMUSG00000044573,38274
MGI:87882,Acp2,11432,ENSMUSG00000002103,1217
MGI:87883,Acp5,11433,ENSMUSG00000001348,137203
MGI:87884,Acr,11434,ENSMUSG00000022622,855
MGI:87885,Chrna1,11435,ENSMUSG00000027107,59
MGI:87886,Chrna2,110902,ENSMUSG00000022041,20193
MGI:87887,Chrna3,110834,ENSMUSG00000032303,591
MGI:87888,Chrna4,11438,ENSMUSG00000027577,592
MGI:87889,Chrna5,110835,ENSMUSG00000035594,55485
MGI:87890,Chrnb1,11443,ENSMUSG00000041189,594
MGI:87891,Chrnb2,11444,ENSMUSG00000027950,595
MGI:87892,Chrnb4,108015,ENSMUSG00000035200,20196
MGI:87893,Chrnd,11447,ENSMUSG00000026251,37340
MGI:87894,Chrne,11448,ENSMUSG00000014609,60
MGI:87895,Chrng,11449,ENSMUSG00000026253,3810
MGI:87896,act,null,null,null
MGI:87902,Acta1,11459,ENSMUSG00000031972,121702
MGI:87903,Acta1-rs1,null,null,null
MGI:87904,Actb,11461,ENSMUSG00000029580,110648
MGI:87905,Actc1,11464,ENSMUSG00000068614,68446
MGI:87906,Actg1,11465,ENSMUSG00000062825,74402
MGI:87907,Actg-ps1,621269,ENSMUSG00000074978,null
MGI:87908,Actg-ps2,null,null,null
MGI:87909,Acta2,11475,ENSMUSG00000035783,133938
MGI:87911,Acvr1,11477,ENSMUSG00000026836,7
MGI:87912,Acvr2b,11481,ENSMUSG00000061393,863
MGI:87913,Acy1,109652,ENSMUSG00000023262,110440
MGI:87914,Aspa,11484,ENSMUSG00000020774,33
MGI:87915,Ad,null,null,null
MGI:87916,Ada,11486,ENSMUSG00000017697,37249
MGI:87917,Adcy6,11512,ENSMUSG00000022994,22400
MGI:87918,Add1,11518,ENSMUSG00000029106,22758
MGI:87919,Add2,11519,ENSMUSG00000030000,1221
MGI:87920,Plin2,11520,ENSMUSG00000028494,872
MGI:87921,Adh1,11522,ENSMUSG00000074207,73888
MGI:87923,Adh1-ps,null,null,null
MGI:87926,Adh7,11529,ENSMUSG00000055301,37333
MGI:87929,Adh5,11532,ENSMUSG00000028138,68076
MGI:87930,Adk,11534,ENSMUSG00000039197,4891
MGI:87931,Cfd,11537,ENSMUSG00000061780,20453
MGI:87934,Adra2a,11551,ENSMUSG00000033717,47944
MGI:87935,Adra2b,11552,ENSMUSG00000058620,553
MGI:87936,Adra2c,11553,ENSMUSG00000045318,20170
MGI:87937,Adrb1,11554,ENSMUSG00000035283,20171
MGI:87938,Adrb2,11555,ENSMUSG00000045730,30948
MGI:87939,Adrb3,11556,ENSMUSG00000031489,37250
MGI:87940,Grk2,110355,ENSMUSG00000024858,1223
MGI:87941,Grk3,320129,ENSMUSG00000042249,21072
MGI:87947,Adssl1,11565,ENSMUSG00000011148,111992
MGI:87948,Adss,11566,ENSMUSG00000015961,875
MGI:87951,Afp,11576,ENSMUSG00000054932,36278
MGI:87953,Afr2,null,null,null
MGI:87954,Aft,null,null,null
MGI:87955,ag,null,null,null
MGI:87961,Agrn,11603,ENSMUSG00000041936,27907
MGI:87963,Agt,11606,ENSMUSG00000031980,14
MGI:87964,Agtr1a,11607,ENSMUSG00000049115,3556
MGI:87965,Agtr1b,11608,ENSMUSG00000054988,84871
MGI:87966,Agtr2,11609,ENSMUSG00000068122,20172
MGI:87967,aha,null,null,null
MGI:87968,Ahcy,269378,ENSMUSG00000027597,554
MGI:87971,Ahi1,52906,ENSMUSG00000019986,9762
MGI:87975,Air1,null,null,null
MGI:87977,Ak1,11636,ENSMUSG00000026817,20135
MGI:87978,Ak2,11637,ENSMUSG00000028792,1227
