Human Marker Symbol,Human Entrez Gene ID,Mouse Marker Symbol,MGI Marker Accession ID
A1BG,1,A1bg,  MGI:2152878
A1CF,29974,A1cf,  MGI:1917115
A2M,2,A2m,  MGI:2449119
A3GALT2,127550,A3galt2,  MGI:2685279
A4GALT,53947,A4galt,  MGI:3512453
A4GNT,51146,A4gnt,  MGI:2143261
AAAS,8086,Aaas,  MGI:2443767
AACS,65985,Aacs,  MGI:1926144
AADAC,13,Aadac,  MGI:1915008
AADACL2,344752,Aadacl2,  MGI:3646333
AADACL3,126767,Aadacl3,  MGI:2685281
AADACL4,343066,Aadacl4,  MGI:3650257
AADAT,51166,Aadat,  MGI:1345167
AAGAB,79719,Aagab,  MGI:1914189
AAK1,22848,Aak1,  MGI:1098687
AAMDC,28971,Aamdc,  MGI:1913523
AAMP,14,Aamp,  MGI:107809
AANAT,15,Aanat,  MGI:1328365
AAR2,25980,Aar2,  MGI:1915545
AARD,441376,Aard,  MGI:2181621
AARS1,16,Aars,  MGI:2384560
AARS2,57505,Aars2,  MGI:2681839
AARSD1,80755,Aarsd1,  MGI:1916934
AASDH,132949,Aasdh,  MGI:2442517
AASDHPPT,60496,Aasdhppt,  MGI:1914868
AASS,10157,Aass,  MGI:1353573
AATF,26574,Aatf,  MGI:1929608
AATK,9625,Aatk,  MGI:1197518
ABAT,18,Abat,  MGI:2443582
ABCA1,19,Abca1,  MGI:99607
ABCA12,26154,Abca12,  MGI:2676312
ABCA13,154664,Abca13,  MGI:2388707
ABCA17P,650655,Abca17,  MGI:3625331
ABCA2,20,Abca2,  MGI:99606
ABCA3,21,Abca3,  MGI:1351617
ABCA4,24,Abca4,  MGI:109424
ABCA5,23461,Abca5,  MGI:2386607
ABCA6,23460,Abca6,  MGI:1923434
ABCA7,10347,Abca7,  MGI:1351646
ABCA8,10351,Abca8a,  MGI:2386846
ABCA8,10351,Abca8b,  MGI:1351668
ABCA9,10350,Abca9,  MGI:2386796
ABCB1,5243,Abcb1a,  MGI:97570
ABCB10,23456,Abcb10,  MGI:1860508
ABCB11,8647,Abcb11,  MGI:1351619
ABCB4,5244,Abcb4,  MGI:97569
ABCB5,340273,Abcb5,  MGI:1924956
ABCB6,10058,Abcb6,  MGI:1921354
ABCB7,22,Abcb7,  MGI:109533
ABCB8,11194,Abcb8,  MGI:1351667
ABCB9,23457,Abcb9,  MGI:1861729
ABCC1,4363,Abcc1,  MGI:102676
ABCC10,89845,Abcc10,  MGI:2386976
ABCC12,94160,Abcc12,  MGI:2441679
ABCC2,1244,Abcc2,  MGI:1352447
ABCC3,8714,Abcc3,  MGI:1923658
ABCC4,10257,Abcc4,  MGI:2443111
ABCC5,10057,Abcc5,  MGI:1351644
ABCC6,368,Abcc6,  MGI:1351634
ABCC8,6833,Abcc8,  MGI:1352629
ABCC9,10060,Abcc9,  MGI:1352630
ABCD1,215,Abcd1,  MGI:1349215
ABCD2,225,Abcd2,  MGI:1349467
ABCD3,5825,Abcd3,  MGI:1349216
ABCD4,5826,Abcd4,  MGI:1349217
ABCE1,6059,Abce1,  MGI:1195458
ABCF1,23,Abcf1,  MGI:1351658
ABCF2,10061,Abcf2,  MGI:1351657
ABCF3,55324,Abcf3,  MGI:1351656
ABCG1,9619,Abcg1,  MGI:107704
ABCG2,9429,Abcg2,  MGI:1347061
ABCG4,64137,Abcg4,  MGI:1890594
ABCG5,64240,Abcg5,  MGI:1351659
ABCG8,64241,Abcg8,  MGI:1914720
ABHD1,84696,Abhd1,  MGI:1931013
ABHD10,55347,Abhd10,  MGI:2442422
ABHD11,83451,Abhd11,  MGI:1916008
ABHD12,26090,Abhd12,  MGI:1923442
ABHD12B,145447,Abhd12b,  MGI:2685650
ABHD13,84945,Abhd13,  MGI:1916154
ABHD14A,25864,Abhd14a,  MGI:1915894
ABHD14B,84836,Abhd14b,  MGI:1923741
ABHD15,116236,Abhd15,  MGI:1914727
ABHD16A,7920,Abhd16a,  MGI:99476
ABHD16B,140701,Abhd16b,  MGI:3607711
ABHD17A,81926,Abhd17a,  MGI:106388
ABHD17B,51104,Abhd17b,  MGI:1917816
ABHD17C,58489,Abhd17c,  MGI:1917428
ABHD18,80167,Abhd18,  MGI:1915468
ABHD2,11057,Abhd2,  MGI:1914344
ABHD3,171586,Abhd3,  MGI:2147183
ABHD4,63874,Abhd4,  MGI:1915938
ABHD5,51099,Abhd5,  MGI:1914719
ABHD6,57406,Abhd6,  MGI:1913332
ABHD8,79575,Abhd8,  MGI:1918946
ABI1,10006,Abi1,  MGI:104913
ABI2,10152,Abi2,  MGI:106913
ABI3,51225,Abi3,  MGI:1913860
ABI3BP,25890,Abi3bp,  MGI:2444583
ABITRAM,54942,Abitram,  MGI:2677850
ABL1,25,Abl1,  MGI:87859
ABL2,27,Abl2,  MGI:87860
ABLIM1,3983,Ablim1,  MGI:1194500
ABLIM2,84448,Ablim2,  MGI:2385758
ABLIM3,22885,Ablim3,  MGI:2442582
ABO,28,Abo,  MGI:2135738
ABR,29,Abr,  MGI:107771
ABRA,137735,Abra,  MGI:2444891
ABRACL,58527,Abracl,  MGI:1920362
ABRAXAS1,84142,Abraxas1,  MGI:1917931
ABRAXAS2,23172,Abraxas2,  MGI:1926116
ABT1,29777,Abt1,  MGI:1353636
ABTB1,80325,Abtb1,  MGI:1933148
ABTB2,25841,Abtb2,  MGI:2139365
ACAA1,30,Acaa1a,  MGI:2148491
ACAA1,30,Acaa1b,  MGI:3605455
ACAA2,10449,Acaa2,  MGI:1098623
ACACA,31,Acaca,  MGI:108451
ACACB,32,Acacb,  MGI:2140940
ACAD10,80724,Acad10,  MGI:1919235
ACAD11,84129,Acad11,  MGI:2143169
ACAD8,27034,Acad8,  MGI:1914198
ACAD9,28976,Acad9,  MGI:1914272
ACADL,33,Acadl,  MGI:87866
ACADM,34,Acadm,  MGI:87867
ACADS,35,Acads,  MGI:87868
ACADSB,36,Acadsb,  MGI:1914135
ACADVL,37,Acadvl,  MGI:895149
ACAN,176,Acan,  MGI:99602
ACAP1,9744,Acap1,  MGI:2388270
ACAP2,23527,Acap2,  MGI:1925868
ACAP3,116983,Acap3,  MGI:2153589
ACAT1,38,Acat1,  MGI:87870
ACAT2,39,Acat2,  MGI:87871
ACAT2,39,Acat3,  MGI:109182
ACBD3,64746,Acbd3,  MGI:2181074
ACBD4,79777,Acbd4,  MGI:1914381
ACBD5,91452,Acbd5,  MGI:1921409
ACBD6,84320,Acbd6,  MGI:1919732
ACBD7,414149,Acbd7,  MGI:1925495
ACCS,84680,Accs,  MGI:1919717
ACCSL,390110,Accsl,  MGI:3584519
ACD,65057,Acd,  MGI:87873
ACE,1636,Ace,  MGI:87874
ACE2,59272,Ace2,  MGI:1917258
ACE3P,100129123,Ace3,  MGI:3644400
ACER1,125981,Acer1,  MGI:2181962
ACER2,340485,Acer2,  MGI:1920932
ACER3,55331,Acer3,  MGI:1913440
ACHE,43,Ache,  MGI:87876
ACIN1,22985,Acin1,  MGI:1891824
ACKR1,2532,Ackr1,  MGI:1097689
ACKR2,1238,Ackr2,  MGI:1891697
ACKR3,57007,Ackr3,  MGI:109562
ACKR4,51554,Ackr4,  MGI:2181676
ACLY,47,Acly,  MGI:103251
ACMSD,130013,Acmsd,  MGI:2386323
ACO1,48,Aco1,  MGI:87879
ACO2,50,Aco2,  MGI:87880
ACOD1,730249,Acod1,  MGI:103206
ACOT1,641371,Acot1,  MGI:1349396
ACOT11,26027,Acot11,  MGI:1913736
ACOT12,134526,Acot12,  MGI:1921406
ACOT13,55856,Acot13,  MGI:1914084
ACOT2,10965,Acot2,  MGI:2159605
ACOT4,122970,Acot4,  MGI:2159621
ACOT6,641372,Acot6,  MGI:1921287
ACOT7,11332,Acot7,  MGI:1917275
ACOT8,10005,Acot8,  MGI:2158201
ACOT9,23597,Acot9,  MGI:1928939
ACOX1,51,Acox1,  MGI:1330812
ACOX2,8309,Acox2,  MGI:1934852
ACOX3,8310,Acox3,  MGI:1933156
ACOXL,55289,Acoxl,  MGI:1921371
ACP1,52,Acp1,  MGI:87881
ACP2,53,Acp2,  MGI:87882
ACP3,55,Acpp,  MGI:1928480
ACP4,93650,Acp4,  MGI:3644563
ACP5,54,Acp5,  MGI:87883
ACP6,51205,Acp6,  MGI:1931010
ACP7,390928,Acp7,  MGI:2142121
ACR,49,Acr,  MGI:87884
ACRBP,84519,Acrbp,  MGI:1859515
ACRV1,56,Acrv1,  MGI:104590
ACSBG1,23205,Acsbg1,  MGI:2385656
ACSBG2,81616,Acsbg2,  MGI:3587728
ACSF2,80221,Acsf2,  MGI:2388287
ACSF3,197322,Acsf3,  MGI:2182591
ACSL1,2180,Acsl1,  MGI:102797
ACSL3,2181,Acsl3,  MGI:1921455
ACSL4,2182,Acsl4,  MGI:1354713
ACSL5,51703,Acsl5,  MGI:1919129
